Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2022-01-31,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-02-28,37.0,753912,"Pinehurst, NC",msa,398,NC
2022-03-31,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-04-30,34.0,753912,"Pinehurst, NC",msa,398,NC
2022-05-31,35.0,753912,"Pinehurst, NC",msa,398,NC
2022-06-30,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-07-31,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-08-31,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-09-30,36.0,753912,"Pinehurst, NC",msa,398,NC
2022-10-31,35.0,753912,"Pinehurst, NC",msa,398,NC
2022-11-30,34.0,753912,"Pinehurst, NC",msa,398,NC
2022-12-31,33.0,753912,"Pinehurst, NC",msa,398,NC
2023-01-31,34.0,753912,"Pinehurst, NC",msa,398,NC
2023-02-28,34.0,753912,"Pinehurst, NC",msa,398,NC
2023-03-31,34.0,753912,"Pinehurst, NC",msa,398,NC
2023-04-30,33.0,753912,"Pinehurst, NC",msa,398,NC
2023-05-31,34.0,753912,"Pinehurst, NC",msa,398,NC
2023-06-30,35.0,753912,"Pinehurst, NC",msa,398,NC
2023-07-31,36.0,753912,"Pinehurst, NC",msa,398,NC
2023-08-31,35.0,753912,"Pinehurst, NC",msa,398,NC
2023-09-30,35.0,753912,"Pinehurst, NC",msa,398,NC
2023-10-31,33.0,753912,"Pinehurst, NC",msa,398,NC
2023-11-30,33.0,753912,"Pinehurst, NC",msa,398,NC
2023-12-31,33.0,753912,"Pinehurst, NC",msa,398,NC
2024-01-31,34.0,753912,"Pinehurst, NC",msa,398,NC
2024-02-29,34.0,753912,"Pinehurst, NC",msa,398,NC
2024-03-31,33.0,753912,"Pinehurst, NC",msa,398,NC
2024-04-30,32.0,753912,"Pinehurst, NC",msa,398,NC
2024-05-31,33.0,753912,"Pinehurst, NC",msa,398,NC
2024-06-30,35.0,753912,"Pinehurst, NC",msa,398,NC
2024-07-31,35.0,753912,"Pinehurst, NC",msa,398,NC
2024-08-31,35.0,753912,"Pinehurst, NC",msa,398,NC
2018-03-31,,394953,"Paducah, KY",msa,399,KY
2018-04-30,,394953,"Paducah, KY",msa,399,KY
2018-05-31,,394953,"Paducah, KY",msa,399,KY
2018-06-30,,394953,"Paducah, KY",msa,399,KY
2018-07-31,,394953,"Paducah, KY",msa,399,KY
2018-08-31,,394953,"Paducah, KY",msa,399,KY
2018-09-30,,394953,"Paducah, KY",msa,399,KY
2018-10-31,,394953,"Paducah, KY",msa,399,KY
2018-11-30,,394953,"Paducah, KY",msa,399,KY
2018-12-31,,394953,"Paducah, KY",msa,399,KY
2019-01-31,,394953,"Paducah, KY",msa,399,KY
2019-02-28,,394953,"Paducah, KY",msa,399,KY
2019-03-31,,394953,"Paducah, KY",msa,399,KY
2019-04-30,,394953,"Paducah, KY",msa,399,KY
2019-05-31,,394953,"Paducah, KY",msa,399,KY
2019-06-30,,394953,"Paducah, KY",msa,399,KY
2019-07-31,,394953,"Paducah, KY",msa,399,KY
2019-08-31,,394953,"Paducah, KY",msa,399,KY
2019-09-30,,394953,"Paducah, KY",msa,399,KY
2019-10-31,,394953,"Paducah, KY",msa,399,KY
2019-11-30,,394953,"Paducah, KY",msa,399,KY
2019-12-31,,394953,"Paducah, KY",msa,399,KY
2020-01-31,,394953,"Paducah, KY",msa,399,KY
2020-02-29,,394953,"Paducah, KY",msa,399,KY
2020-03-31,,394953,"Paducah, KY",msa,399,KY
2020-04-30,,394953,"Paducah, KY",msa,399,KY
2020-05-31,,394953,"Paducah, KY",msa,399,KY
2020-06-30,,394953,"Paducah, KY",msa,399,KY
2020-07-31,,394953,"Paducah, KY",msa,399,KY
2020-08-31,,394953,"Paducah, KY",msa,399,KY
2020-09-30,,394953,"Paducah, KY",msa,399,KY
2020-10-31,,394953,"Paducah, KY",msa,399,KY
2020-11-30,,394953,"Paducah, KY",msa,399,KY
2020-12-31,,394953,"Paducah, KY",msa,399,KY
2021-01-31,,394953,"Paducah, KY",msa,399,KY
2021-02-28,,394953,"Paducah, KY",msa,399,KY
2021-03-31,,394953,"Paducah, KY",msa,399,KY
2021-04-30,,394953,"Paducah, KY",msa,399,KY
2021-05-31,,394953,"Paducah, KY",msa,399,KY
2021-06-30,,394953,"Paducah, KY",msa,399,KY
2021-07-31,,394953,"Paducah, KY",msa,399,KY
2021-08-31,,394953,"Paducah, KY",msa,399,KY
2021-09-30,,394953,"Paducah, KY",msa,399,KY
2021-10-31,,394953,"Paducah, KY",msa,399,KY
2021-11-30,,394953,"Paducah, KY",msa,399,KY
2021-12-31,,394953,"Paducah, KY",msa,399,KY
2022-01-31,,394953,"Paducah, KY",msa,399,KY
2022-02-28,,394953,"Paducah, KY",msa,399,KY
2022-03-31,,394953,"Paducah, KY",msa,399,KY
2022-04-30,,394953,"Paducah, KY",msa,399,KY
2022-05-31,,394953,"Paducah, KY",msa,399,KY
2022-06-30,,394953,"Paducah, KY",msa,399,KY
2022-07-31,,394953,"Paducah, KY",msa,399,KY
2022-08-31,,394953,"Paducah, KY",msa,399,KY
2022-09-30,,394953,"Paducah, KY",msa,399,KY
2022-10-31,,394953,"Paducah, KY",msa,399,KY
2022-11-30,,394953,"Paducah, KY",msa,399,KY
2022-12-31,,394953,"Paducah, KY",msa,399,KY
2023-01-31,,394953,"Paducah, KY",msa,399,KY
2023-02-28,,394953,"Paducah, KY",msa,399,KY
2023-03-31,,394953,"Paducah, KY",msa,399,KY
2023-04-30,30.0,394953,"Paducah, KY",msa,399,KY
2023-05-31,23.0,394953,"Paducah, KY",msa,399,KY
2023-06-30,18.0,394953,"Paducah, KY",msa,399,KY
2023-07-31,19.0,394953,"Paducah, KY",msa,399,KY
2023-08-31,21.0,394953,"Paducah, KY",msa,399,KY
2023-09-30,22.0,394953,"Paducah, KY",msa,399,KY
2023-10-31,23.0,394953,"Paducah, KY",msa,399,KY
2023-11-30,20.0,394953,"Paducah, KY",msa,399,KY
2023-12-31,21.0,394953,"Paducah, KY",msa,399,KY
2024-01-31,23.0,394953,"Paducah, KY",msa,399,KY
2024-02-29,22.0,394953,"Paducah, KY",msa,399,KY
2024-03-31,21.0,394953,"Paducah, KY",msa,399,KY
2024-04-30,18.0,394953,"Paducah, KY",msa,399,KY
2024-05-31,18.0,394953,"Paducah, KY",msa,399,KY
2024-06-30,20.0,394953,"Paducah, KY",msa,399,KY
2024-07-31,21.0,394953,"Paducah, KY",msa,399,KY
2024-08-31,26.0,394953,"Paducah, KY",msa,399,KY
2018-03-31,31.0,395190,"Victoria, TX",msa,400,TX
2018-04-30,31.0,395190,"Victoria, TX",msa,400,TX
2018-05-31,33.0,395190,"Victoria, TX",msa,400,TX
2018-06-30,33.0,395190,"Victoria, TX",msa,400,TX
2018-07-31,33.0,395190,"Victoria, TX",msa,400,TX
2018-08-31,32.0,395190,"Victoria, TX",msa,400,TX
2018-09-30,33.0,395190,"Victoria, TX",msa,400,TX
2018-10-31,32.0,395190,"Victoria, TX",msa,400,TX
2018-11-30,32.0,395190,"Victoria, TX",msa,400,TX
2018-12-31,31.0,395190,"Victoria, TX",msa,400,TX
2019-01-31,31.0,395190,"Victoria, TX",msa,400,TX
2019-02-28,31.0,395190,"Victoria, TX",msa,400,TX
2019-03-31,32.0,395190,"Victoria, TX",msa,400,TX
2019-04-30,32.0,395190,"Victoria, TX",msa,400,TX
2019-05-31,33.0,395190,"Victoria, TX",msa,400,TX
2019-06-30,33.0,395190,"Victoria, TX",msa,400,TX
2019-07-31,33.0,395190,"Victoria, TX",msa,400,TX
2019-08-31,33.0,395190,"Victoria, TX",msa,400,TX
2019-09-30,33.0,395190,"Victoria, TX",msa,400,TX
2019-10-31,33.0,395190,"Victoria, TX",msa,400,TX
2019-11-30,33.0,395190,"Victoria, TX",msa,400,TX
2019-12-31,32.0,395190,"Victoria, TX",msa,400,TX
2020-01-31,33.0,395190,"Victoria, TX",msa,400,TX
2020-02-29,33.0,395190,"Victoria, TX",msa,400,TX
2020-03-31,33.0,395190,"Victoria, TX",msa,400,TX
2020-04-30,32.0,395190,"Victoria, TX",msa,400,TX
2020-05-31,33.0,395190,"Victoria, TX",msa,400,TX
2020-06-30,33.0,395190,"Victoria, TX",msa,400,TX
2020-07-31,34.0,395190,"Victoria, TX",msa,400,TX
2020-08-31,35.0,395190,"Victoria, TX",msa,400,TX
2020-09-30,37.0,395190,"Victoria, TX",msa,400,TX
2020-10-31,36.0,395190,"Victoria, TX",msa,400,TX
2020-11-30,35.0,395190,"Victoria, TX",msa,400,TX
2020-12-31,34.0,395190,"Victoria, TX",msa,400,TX
2021-01-31,33.0,395190,"Victoria, TX",msa,400,TX
2021-02-28,32.0,395190,"Victoria, TX",msa,400,TX
2021-03-31,33.0,395190,"Victoria, TX",msa,400,TX
2021-04-30,33.0,395190,"Victoria, TX",msa,400,TX
2021-05-31,35.0,395190,"Victoria, TX",msa,400,TX
2021-06-30,35.0,395190,"Victoria, TX",msa,400,TX
2021-07-31,36.0,395190,"Victoria, TX",msa,400,TX
2021-08-31,36.0,395190,"Victoria, TX",msa,400,TX
2021-09-30,35.0,395190,"Victoria, TX",msa,400,TX
