Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2021-09-30,33.0,395107,"South Bend, IN",msa,159,IN
2021-10-31,33.0,395107,"South Bend, IN",msa,159,IN
2021-11-30,32.0,395107,"South Bend, IN",msa,159,IN
2021-12-31,32.0,395107,"South Bend, IN",msa,159,IN
2022-01-31,33.0,395107,"South Bend, IN",msa,159,IN
2022-02-28,32.0,395107,"South Bend, IN",msa,159,IN
2022-03-31,31.0,395107,"South Bend, IN",msa,159,IN
2022-04-30,30.0,395107,"South Bend, IN",msa,159,IN
2022-05-31,30.0,395107,"South Bend, IN",msa,159,IN
2022-06-30,31.0,395107,"South Bend, IN",msa,159,IN
2022-07-31,31.0,395107,"South Bend, IN",msa,159,IN
2022-08-31,31.0,395107,"South Bend, IN",msa,159,IN
2022-09-30,31.0,395107,"South Bend, IN",msa,159,IN
2022-10-31,30.0,395107,"South Bend, IN",msa,159,IN
2022-11-30,30.0,395107,"South Bend, IN",msa,159,IN
2022-12-31,30.0,395107,"South Bend, IN",msa,159,IN
2023-01-31,31.0,395107,"South Bend, IN",msa,159,IN
2023-02-28,30.0,395107,"South Bend, IN",msa,159,IN
2023-03-31,30.0,395107,"South Bend, IN",msa,159,IN
2023-04-30,29.0,395107,"South Bend, IN",msa,159,IN
2023-05-31,29.0,395107,"South Bend, IN",msa,159,IN
2023-06-30,29.0,395107,"South Bend, IN",msa,159,IN
2023-07-31,30.0,395107,"South Bend, IN",msa,159,IN
2023-08-31,30.0,395107,"South Bend, IN",msa,159,IN
2023-09-30,29.0,395107,"South Bend, IN",msa,159,IN
2023-10-31,29.0,395107,"South Bend, IN",msa,159,IN
2023-11-30,28.0,395107,"South Bend, IN",msa,159,IN
2023-12-31,28.0,395107,"South Bend, IN",msa,159,IN
2024-01-31,28.0,395107,"South Bend, IN",msa,159,IN
2024-02-29,28.0,395107,"South Bend, IN",msa,159,IN
2024-03-31,29.0,395107,"South Bend, IN",msa,159,IN
2024-04-30,29.0,395107,"South Bend, IN",msa,159,IN
2024-05-31,29.0,395107,"South Bend, IN",msa,159,IN
2024-06-30,29.0,395107,"South Bend, IN",msa,159,IN
2024-07-31,30.0,395107,"South Bend, IN",msa,159,IN
2024-08-31,29.0,395107,"South Bend, IN",msa,159,IN
2018-03-31,37.0,395109,"Spartanburg, SC",msa,160,SC
2018-04-30,35.0,395109,"Spartanburg, SC",msa,160,SC
2018-05-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2018-06-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2018-07-31,36.0,395109,"Spartanburg, SC",msa,160,SC
2018-08-31,37.0,395109,"Spartanburg, SC",msa,160,SC
2018-09-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2018-10-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2018-11-30,35.0,395109,"Spartanburg, SC",msa,160,SC
2018-12-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2019-01-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2019-02-28,32.0,395109,"Spartanburg, SC",msa,160,SC
2019-03-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2019-04-30,34.0,395109,"Spartanburg, SC",msa,160,SC
2019-05-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2019-06-30,34.0,395109,"Spartanburg, SC",msa,160,SC
2019-07-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2019-08-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2019-09-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2019-10-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2019-11-30,34.0,395109,"Spartanburg, SC",msa,160,SC
2019-12-31,34.0,395109,"Spartanburg, SC",msa,160,SC
2020-01-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2020-02-29,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-03-31,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-04-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-05-31,37.0,395109,"Spartanburg, SC",msa,160,SC
2020-06-30,38.0,395109,"Spartanburg, SC",msa,160,SC
2020-07-31,39.0,395109,"Spartanburg, SC",msa,160,SC
2020-08-31,40.0,395109,"Spartanburg, SC",msa,160,SC
2020-09-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-10-31,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-11-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2020-12-31,40.0,395109,"Spartanburg, SC",msa,160,SC
2021-01-31,40.0,395109,"Spartanburg, SC",msa,160,SC
2021-02-28,38.0,395109,"Spartanburg, SC",msa,160,SC
2021-03-31,37.0,395109,"Spartanburg, SC",msa,160,SC
2021-04-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2021-05-31,34.0,395109,"Spartanburg, SC",msa,160,SC
2021-06-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2021-07-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2021-08-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2021-09-30,36.0,395109,"Spartanburg, SC",msa,160,SC
2021-10-31,36.0,395109,"Spartanburg, SC",msa,160,SC
2021-11-30,34.0,395109,"Spartanburg, SC",msa,160,SC
2021-12-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2022-01-31,35.0,395109,"Spartanburg, SC",msa,160,SC
2022-02-28,35.0,395109,"Spartanburg, SC",msa,160,SC
2022-03-31,34.0,395109,"Spartanburg, SC",msa,160,SC
2022-04-30,33.0,395109,"Spartanburg, SC",msa,160,SC
2022-05-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2022-06-30,33.0,395109,"Spartanburg, SC",msa,160,SC
2022-07-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2022-08-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2022-09-30,33.0,395109,"Spartanburg, SC",msa,160,SC
2022-10-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2022-11-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2022-12-31,31.0,395109,"Spartanburg, SC",msa,160,SC
2023-01-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-02-28,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-03-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-04-30,31.0,395109,"Spartanburg, SC",msa,160,SC
2023-05-31,31.0,395109,"Spartanburg, SC",msa,160,SC
2023-06-30,33.0,395109,"Spartanburg, SC",msa,160,SC
2023-07-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2023-08-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2023-09-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-10-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-11-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2023-12-31,31.0,395109,"Spartanburg, SC",msa,160,SC
2024-01-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2024-02-29,31.0,395109,"Spartanburg, SC",msa,160,SC
2024-03-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2024-04-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2024-05-31,32.0,395109,"Spartanburg, SC",msa,160,SC
2024-06-30,32.0,395109,"Spartanburg, SC",msa,160,SC
2024-07-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2024-08-31,33.0,395109,"Spartanburg, SC",msa,160,SC
2018-03-31,33.0,394645,"Greeley, CO",msa,161,CO
2018-04-30,32.0,394645,"Greeley, CO",msa,161,CO
2018-05-31,32.0,394645,"Greeley, CO",msa,161,CO
2018-06-30,32.0,394645,"Greeley, CO",msa,161,CO
2018-07-31,32.0,394645,"Greeley, CO",msa,161,CO
2018-08-31,32.0,394645,"Greeley, CO",msa,161,CO
2018-09-30,32.0,394645,"Greeley, CO",msa,161,CO
2018-10-31,32.0,394645,"Greeley, CO",msa,161,CO
2018-11-30,32.0,394645,"Greeley, CO",msa,161,CO
2018-12-31,32.0,394645,"Greeley, CO",msa,161,CO
2019-01-31,32.0,394645,"Greeley, CO",msa,161,CO
2019-02-28,31.0,394645,"Greeley, CO",msa,161,CO
2019-03-31,31.0,394645,"Greeley, CO",msa,161,CO
2019-04-30,30.0,394645,"Greeley, CO",msa,161,CO
2019-05-31,26.0,394645,"Greeley, CO",msa,161,CO
2019-06-30,26.0,394645,"Greeley, CO",msa,161,CO
2019-07-31,27.0,394645,"Greeley, CO",msa,161,CO
2019-08-31,32.0,394645,"Greeley, CO",msa,161,CO
2019-09-30,33.0,394645,"Greeley, CO",msa,161,CO
2019-10-31,33.0,394645,"Greeley, CO",msa,161,CO
2019-11-30,33.0,394645,"Greeley, CO",msa,161,CO
2019-12-31,32.0,394645,"Greeley, CO",msa,161,CO
2020-01-31,33.0,394645,"Greeley, CO",msa,161,CO
2020-02-29,33.0,394645,"Greeley, CO",msa,161,CO
2020-03-31,33.0,394645,"Greeley, CO",msa,161,CO
2020-04-30,33.0,394645,"Greeley, CO",msa,161,CO
2020-05-31,34.0,394645,"Greeley, CO",msa,161,CO
2020-06-30,35.0,394645,"Greeley, CO",msa,161,CO
2020-07-31,35.0,394645,"Greeley, CO",msa,161,CO
2020-08-31,35.0,394645,"Greeley, CO",msa,161,CO
2020-09-30,36.0,394645,"Greeley, CO",msa,161,CO
2020-10-31,35.0,394645,"Greeley, CO",msa,161,CO
2020-11-30,35.0,394645,"Greeley, CO",msa,161,CO
2020-12-31,34.0,394645,"Greeley, CO",msa,161,CO
2021-01-31,34.0,394645,"Greeley, CO",msa,161,CO
2021-02-28,34.0,394645,"Greeley, CO",msa,161,CO
2021-03-31,32.0,394645,"Greeley, CO",msa,161,CO
2021-04-30,31.0,394645,"Greeley, CO",msa,161,CO
2021-05-31,30.0,394645,"Greeley, CO",msa,161,CO
2021-06-30,30.0,394645,"Greeley, CO",msa,161,CO
2021-07-31,30.0,394645,"Greeley, CO",msa,161,CO
2021-08-31,30.0,394645,"Greeley, CO",msa,161,CO
2021-09-30,27.0,394645,"Greeley, CO",msa,161,CO
2021-10-31,28.0,394645,"Greeley, CO",msa,161,CO
2021-11-30,28.0,394645,"Greeley, CO",msa,161,CO
2021-12-31,31.0,394645,"Greeley, CO",msa,161,CO
2022-01-31,31.0,394645,"Greeley, CO",msa,161,CO
2022-02-28,31.0,394645,"Greeley, CO",msa,161,CO
2022-03-31,30.0,394645,"Greeley, CO",msa,161,CO
2022-04-30,29.0,394645,"Greeley, CO",msa,161,CO
2022-05-31,28.0,394645,"Greeley, CO",msa,161,CO
2022-06-30,28.0,394645,"Greeley, CO",msa,161,CO
2022-07-31,28.0,394645,"Greeley, CO",msa,161,CO
2022-08-31,28.0,394645,"Greeley, CO",msa,161,CO
2022-09-30,29.0,394645,"Greeley, CO",msa,161,CO
2022-10-31,29.0,394645,"Greeley, CO",msa,161,CO
2022-11-30,29.0,394645,"Greeley, CO",msa,161,CO
2022-12-31,29.0,394645,"Greeley, CO",msa,161,CO
2023-01-31,29.0,394645,"Greeley, CO",msa,161,CO
2023-02-28,29.0,394645,"Greeley, CO",msa,161,CO
2023-03-31,28.0,394645,"Greeley, CO",msa,161,CO
2023-04-30,28.0,394645,"Greeley, CO",msa,161,CO
2023-05-31,29.0,394645,"Greeley, CO",msa,161,CO
2023-06-30,30.0,394645,"Greeley, CO",msa,161,CO
2023-07-31,30.0,394645,"Greeley, CO",msa,161,CO
2023-08-31,29.0,394645,"Greeley, CO",msa,161,CO
2023-09-30,29.0,394645,"Greeley, CO",msa,161,CO
2023-10-31,29.0,394645,"Greeley, CO",msa,161,CO
2023-11-30,30.0,394645,"Greeley, CO",msa,161,CO
2023-12-31,30.0,394645,"Greeley, CO",msa,161,CO
2024-01-31,30.0,394645,"Greeley, CO",msa,161,CO
2024-02-29,29.0,394645,"Greeley, CO",msa,161,CO
2024-03-31,30.0,394645,"Greeley, CO",msa,161,CO
2024-04-30,29.0,394645,"Greeley, CO",msa,161,CO
2024-05-31,29.0,394645,"Greeley, CO",msa,161,CO
2024-06-30,29.0,394645,"Greeley, CO",msa,161,CO
2024-07-31,29.0,394645,"Greeley, CO",msa,161,CO
2024-08-31,28.0,394645,"Greeley, CO",msa,161,CO
2018-03-31,,394808,"Lubbock, TX",msa,162,TX
2018-04-30,,394808,"Lubbock, TX",msa,162,TX
2018-05-31,,394808,"Lubbock, TX",msa,162,TX
2018-06-30,,394808,"Lubbock, TX",msa,162,TX
2018-07-31,,394808,"Lubbock, TX",msa,162,TX
2018-08-31,,394808,"Lubbock, TX",msa,162,TX
2018-09-30,,394808,"Lubbock, TX",msa,162,TX
2018-10-31,,394808,"Lubbock, TX",msa,162,TX
2018-11-30,,394808,"Lubbock, TX",msa,162,TX
2018-12-31,,394808,"Lubbock, TX",msa,162,TX
2019-01-31,,394808,"Lubbock, TX",msa,162,TX
2019-02-28,,394808,"Lubbock, TX",msa,162,TX
2019-03-31,,394808,"Lubbock, TX",msa,162,TX
2019-04-30,,394808,"Lubbock, TX",msa,162,TX
2019-05-31,,394808,"Lubbock, TX",msa,162,TX
2019-06-30,,394808,"Lubbock, TX",msa,162,TX
2019-07-31,,394808,"Lubbock, TX",msa,162,TX
2019-08-31,,394808,"Lubbock, TX",msa,162,TX
2019-09-30,,394808,"Lubbock, TX",msa,162,TX
2019-10-31,,394808,"Lubbock, TX",msa,162,TX
2019-11-30,,394808,"Lubbock, TX",msa,162,TX
2019-12-31,,394808,"Lubbock, TX",msa,162,TX
2020-01-31,,394808,"Lubbock, TX",msa,162,TX
2020-02-29,,394808,"Lubbock, TX",msa,162,TX
2020-03-31,,394808,"Lubbock, TX",msa,162,TX
2020-04-30,,394808,"Lubbock, TX",msa,162,TX
2020-05-31,,394808,"Lubbock, TX",msa,162,TX
2020-06-30,,394808,"Lubbock, TX",msa,162,TX
2020-07-31,,394808,"Lubbock, TX",msa,162,TX
2020-08-31,,394808,"Lubbock, TX",msa,162,TX
2020-09-30,26.0,394808,"Lubbock, TX",msa,162,TX
2020-10-31,24.0,394808,"Lubbock, TX",msa,162,TX
2020-11-30,24.0,394808,"Lubbock, TX",msa,162,TX
2020-12-31,29.0,394808,"Lubbock, TX",msa,162,TX
2021-01-31,29.0,394808,"Lubbock, TX",msa,162,TX
2021-02-28,29.0,394808,"Lubbock, TX",msa,162,TX
2021-03-31,29.0,394808,"Lubbock, TX",msa,162,TX
2021-04-30,31.0,394808,"Lubbock, TX",msa,162,TX
2021-05-31,26.0,394808,"Lubbock, TX",msa,162,TX
2021-06-30,25.0,394808,"Lubbock, TX",msa,162,TX
2021-07-31,24.0,394808,"Lubbock, TX",msa,162,TX
2021-08-31,31.0,394808,"Lubbock, TX",msa,162,TX
2021-09-30,32.0,394808,"Lubbock, TX",msa,162,TX
2021-10-31,32.0,394808,"Lubbock, TX",msa,162,TX
2021-11-30,31.0,394808,"Lubbock, TX",msa,162,TX
2021-12-31,31.0,394808,"Lubbock, TX",msa,162,TX
2022-01-31,31.0,394808,"Lubbock, TX",msa,162,TX
2022-02-28,31.0,394808,"Lubbock, TX",msa,162,TX
2022-03-31,30.0,394808,"Lubbock, TX",msa,162,TX
2022-04-30,30.0,394808,"Lubbock, TX",msa,162,TX
2022-05-31,30.0,394808,"Lubbock, TX",msa,162,TX
2022-06-30,31.0,394808,"Lubbock, TX",msa,162,TX
2022-07-31,31.0,394808,"Lubbock, TX",msa,162,TX
2022-08-31,31.0,394808,"Lubbock, TX",msa,162,TX
2022-09-30,30.0,394808,"Lubbock, TX",msa,162,TX
2022-10-31,30.0,394808,"Lubbock, TX",msa,162,TX
2022-11-30,30.0,394808,"Lubbock, TX",msa,162,TX
2022-12-31,29.0,394808,"Lubbock, TX",msa,162,TX
2023-01-31,29.0,394808,"Lubbock, TX",msa,162,TX
2023-02-28,28.0,394808,"Lubbock, TX",msa,162,TX
2023-03-31,28.0,394808,"Lubbock, TX",msa,162,TX
2023-04-30,29.0,394808,"Lubbock, TX",msa,162,TX
2023-05-31,30.0,394808,"Lubbock, TX",msa,162,TX
2023-06-30,31.0,394808,"Lubbock, TX",msa,162,TX
2023-07-31,31.0,394808,"Lubbock, TX",msa,162,TX
2023-08-31,31.0,394808,"Lubbock, TX",msa,162,TX
2023-09-30,29.0,394808,"Lubbock, TX",msa,162,TX
2023-10-31,29.0,394808,"Lubbock, TX",msa,162,TX
2023-11-30,28.0,394808,"Lubbock, TX",msa,162,TX
2023-12-31,28.0,394808,"Lubbock, TX",msa,162,TX
2024-01-31,29.0,394808,"Lubbock, TX",msa,162,TX
2024-02-29,29.0,394808,"Lubbock, TX",msa,162,TX
2024-03-31,29.0,394808,"Lubbock, TX",msa,162,TX
2024-04-30,30.0,394808,"Lubbock, TX",msa,162,TX
2024-05-31,31.0,394808,"Lubbock, TX",msa,162,TX
2024-06-30,31.0,394808,"Lubbock, TX",msa,162,TX
2024-07-31,30.0,394808,"Lubbock, TX",msa,162,TX
2024-08-31,30.0,394808,"Lubbock, TX",msa,162,TX
2018-03-31,34.0,394471,"Clarksville, TN",msa,163,TN
2018-04-30,32.0,394471,"Clarksville, TN",msa,163,TN
2018-05-31,33.0,394471,"Clarksville, TN",msa,163,TN
2018-06-30,34.0,394471,"Clarksville, TN",msa,163,TN
2018-07-31,36.0,394471,"Clarksville, TN",msa,163,TN
2018-08-31,36.0,394471,"Clarksville, TN",msa,163,TN
2018-09-30,35.0,394471,"Clarksville, TN",msa,163,TN
2018-10-31,34.0,394471,"Clarksville, TN",msa,163,TN
2018-11-30,33.0,394471,"Clarksville, TN",msa,163,TN
2018-12-31,33.0,394471,"Clarksville, TN",msa,163,TN
2019-01-31,33.0,394471,"Clarksville, TN",msa,163,TN
2019-02-28,33.0,394471,"Clarksville, TN",msa,163,TN
2019-03-31,32.0,394471,"Clarksville, TN",msa,163,TN
2019-04-30,33.0,394471,"Clarksville, TN",msa,163,TN
2019-05-31,34.0,394471,"Clarksville, TN",msa,163,TN
2019-06-30,36.0,394471,"Clarksville, TN",msa,163,TN
2019-07-31,34.0,394471,"Clarksville, TN",msa,163,TN
2019-08-31,30.0,394471,"Clarksville, TN",msa,163,TN
