Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2021-11-30,35.0,395079,"Sebastian, FL",msa,274,FL
2021-12-31,34.0,395079,"Sebastian, FL",msa,274,FL
2022-01-31,35.0,395079,"Sebastian, FL",msa,274,FL
2022-02-28,34.0,395079,"Sebastian, FL",msa,274,FL
2022-03-31,33.0,395079,"Sebastian, FL",msa,274,FL
2022-04-30,32.0,395079,"Sebastian, FL",msa,274,FL
2022-05-31,32.0,395079,"Sebastian, FL",msa,274,FL
2022-06-30,32.0,395079,"Sebastian, FL",msa,274,FL
2022-07-31,32.0,395079,"Sebastian, FL",msa,274,FL
2022-08-31,31.0,395079,"Sebastian, FL",msa,274,FL
2022-09-30,31.0,395079,"Sebastian, FL",msa,274,FL
2022-10-31,31.0,395079,"Sebastian, FL",msa,274,FL
2022-11-30,31.0,395079,"Sebastian, FL",msa,274,FL
2022-12-31,31.0,395079,"Sebastian, FL",msa,274,FL
2023-01-31,31.0,395079,"Sebastian, FL",msa,274,FL
2023-02-28,31.0,395079,"Sebastian, FL",msa,274,FL
2023-03-31,31.0,395079,"Sebastian, FL",msa,274,FL
2023-04-30,31.0,395079,"Sebastian, FL",msa,274,FL
2023-05-31,32.0,395079,"Sebastian, FL",msa,274,FL
2023-06-30,34.0,395079,"Sebastian, FL",msa,274,FL
2023-07-31,33.0,395079,"Sebastian, FL",msa,274,FL
2023-08-31,33.0,395079,"Sebastian, FL",msa,274,FL
2023-09-30,32.0,395079,"Sebastian, FL",msa,274,FL
2023-10-31,32.0,395079,"Sebastian, FL",msa,274,FL
2023-11-30,31.0,395079,"Sebastian, FL",msa,274,FL
2023-12-31,30.0,395079,"Sebastian, FL",msa,274,FL
2024-01-31,30.0,395079,"Sebastian, FL",msa,274,FL
2024-02-29,30.0,395079,"Sebastian, FL",msa,274,FL
2024-03-31,30.0,395079,"Sebastian, FL",msa,274,FL
2024-04-30,31.0,395079,"Sebastian, FL",msa,274,FL
2024-05-31,32.0,395079,"Sebastian, FL",msa,274,FL
2024-06-30,34.0,395079,"Sebastian, FL",msa,274,FL
2024-07-31,34.0,395079,"Sebastian, FL",msa,274,FL
2024-08-31,32.0,395079,"Sebastian, FL",msa,274,FL
2018-03-31,35.0,394814,"Madera, CA",msa,275,CA
2018-04-30,37.0,394814,"Madera, CA",msa,275,CA
2018-05-31,37.0,394814,"Madera, CA",msa,275,CA
2018-06-30,39.0,394814,"Madera, CA",msa,275,CA
2018-07-31,37.0,394814,"Madera, CA",msa,275,CA
2018-08-31,35.0,394814,"Madera, CA",msa,275,CA
2018-09-30,33.0,394814,"Madera, CA",msa,275,CA
2018-10-31,33.0,394814,"Madera, CA",msa,275,CA
2018-11-30,35.0,394814,"Madera, CA",msa,275,CA
2018-12-31,35.0,394814,"Madera, CA",msa,275,CA
2019-01-31,37.0,394814,"Madera, CA",msa,275,CA
2019-02-28,37.0,394814,"Madera, CA",msa,275,CA
2019-03-31,36.0,394814,"Madera, CA",msa,275,CA
2019-04-30,34.0,394814,"Madera, CA",msa,275,CA
2019-05-31,37.0,394814,"Madera, CA",msa,275,CA
2019-06-30,36.0,394814,"Madera, CA",msa,275,CA
2019-07-31,36.0,394814,"Madera, CA",msa,275,CA
2019-08-31,35.0,394814,"Madera, CA",msa,275,CA
2019-09-30,37.0,394814,"Madera, CA",msa,275,CA
