Date,Median Days To Pending,RegionID,RegionName,RegionType,SizeRank,StateName
2023-10-31,8.0,395031,"Rochester, NY",msa,52,NY
2023-11-30,9.0,395031,"Rochester, NY",msa,52,NY
2023-12-31,9.0,395031,"Rochester, NY",msa,52,NY
2024-01-31,9.0,395031,"Rochester, NY",msa,52,NY
2024-02-29,9.0,395031,"Rochester, NY",msa,52,NY
2024-03-31,8.0,395031,"Rochester, NY",msa,52,NY
2024-04-30,8.0,395031,"Rochester, NY",msa,52,NY
2024-05-31,8.0,395031,"Rochester, NY",msa,52,NY
2024-06-30,8.0,395031,"Rochester, NY",msa,52,NY
2024-07-31,8.0,395031,"Rochester, NY",msa,52,NY
2024-08-31,8.0,395031,"Rochester, NY",msa,52,NY
2024-09-30,8.0,395031,"Rochester, NY",msa,52,NY
2018-03-31,16.0,394640,"Grand Rapids, MI",msa,53,MI
2018-04-30,8.0,394640,"Grand Rapids, MI",msa,53,MI
2018-05-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2018-06-30,7.0,394640,"Grand Rapids, MI",msa,53,MI
2018-07-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2018-08-31,9.0,394640,"Grand Rapids, MI",msa,53,MI
2018-09-30,13.0,394640,"Grand Rapids, MI",msa,53,MI
2018-10-31,15.0,394640,"Grand Rapids, MI",msa,53,MI
2018-11-30,16.0,394640,"Grand Rapids, MI",msa,53,MI
2018-12-31,17.0,394640,"Grand Rapids, MI",msa,53,MI
2019-01-31,18.0,394640,"Grand Rapids, MI",msa,53,MI
2019-02-28,19.0,394640,"Grand Rapids, MI",msa,53,MI
2019-03-31,15.0,394640,"Grand Rapids, MI",msa,53,MI
2019-04-30,12.0,394640,"Grand Rapids, MI",msa,53,MI
2019-05-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2019-06-30,7.0,394640,"Grand Rapids, MI",msa,53,MI
2019-07-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2019-08-31,9.0,394640,"Grand Rapids, MI",msa,53,MI
2019-09-30,11.0,394640,"Grand Rapids, MI",msa,53,MI
2019-10-31,13.0,394640,"Grand Rapids, MI",msa,53,MI
2019-11-30,16.0,394640,"Grand Rapids, MI",msa,53,MI
2019-12-31,21.0,394640,"Grand Rapids, MI",msa,53,MI
2020-01-31,28.0,394640,"Grand Rapids, MI",msa,53,MI
2020-02-29,27.0,394640,"Grand Rapids, MI",msa,53,MI
2020-03-31,19.0,394640,"Grand Rapids, MI",msa,53,MI
2020-04-30,12.0,394640,"Grand Rapids, MI",msa,53,MI
2020-05-31,10.0,394640,"Grand Rapids, MI",msa,53,MI
2020-06-30,14.0,394640,"Grand Rapids, MI",msa,53,MI
2020-07-31,10.0,394640,"Grand Rapids, MI",msa,53,MI
2020-08-31,10.0,394640,"Grand Rapids, MI",msa,53,MI
2020-09-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2020-10-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2020-11-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2020-12-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2021-01-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2021-02-28,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-03-31,5.0,394640,"Grand Rapids, MI",msa,53,MI
2021-04-30,5.0,394640,"Grand Rapids, MI",msa,53,MI
2021-05-31,5.0,394640,"Grand Rapids, MI",msa,53,MI
2021-06-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-07-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-08-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-09-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-10-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2021-11-30,7.0,394640,"Grand Rapids, MI",msa,53,MI
2021-12-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2022-01-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2022-02-28,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-03-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-04-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-05-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-06-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-07-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2022-08-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2022-09-30,7.0,394640,"Grand Rapids, MI",msa,53,MI
2022-10-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2022-11-30,9.0,394640,"Grand Rapids, MI",msa,53,MI
2022-12-31,12.0,394640,"Grand Rapids, MI",msa,53,MI
2023-01-31,13.0,394640,"Grand Rapids, MI",msa,53,MI
2023-02-28,11.0,394640,"Grand Rapids, MI",msa,53,MI
2023-03-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2023-04-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2023-05-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2023-06-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2023-07-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2023-08-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2023-09-30,7.0,394640,"Grand Rapids, MI",msa,53,MI
2023-10-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2023-11-30,8.0,394640,"Grand Rapids, MI",msa,53,MI
2023-12-31,11.0,394640,"Grand Rapids, MI",msa,53,MI
2024-01-31,11.0,394640,"Grand Rapids, MI",msa,53,MI
2024-02-29,10.0,394640,"Grand Rapids, MI",msa,53,MI
2024-03-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2024-04-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2024-05-31,6.0,394640,"Grand Rapids, MI",msa,53,MI
2024-06-30,6.0,394640,"Grand Rapids, MI",msa,53,MI
2024-07-31,7.0,394640,"Grand Rapids, MI",msa,53,MI
2024-08-31,8.0,394640,"Grand Rapids, MI",msa,53,MI
2024-09-30,9.0,394640,"Grand Rapids, MI",msa,53,MI
2018-03-31,27.0,395167,"Tucson, AZ",msa,54,AZ
2018-04-30,21.0,395167,"Tucson, AZ",msa,54,AZ
2018-05-31,18.0,395167,"Tucson, AZ",msa,54,AZ
2018-06-30,16.0,395167,"Tucson, AZ",msa,54,AZ
2018-07-31,16.0,395167,"Tucson, AZ",msa,54,AZ
2018-08-31,16.0,395167,"Tucson, AZ",msa,54,AZ
