Date,Median Days To Pending,RegionID,RegionName,RegionType,SizeRank,StateName
2021-04-30,6.0,394572,"Erie, PA",msa,184,PA
2021-05-31,5.0,394572,"Erie, PA",msa,184,PA
2021-06-30,5.0,394572,"Erie, PA",msa,184,PA
2021-07-31,6.0,394572,"Erie, PA",msa,184,PA
2021-08-31,7.0,394572,"Erie, PA",msa,184,PA
2021-09-30,8.0,394572,"Erie, PA",msa,184,PA
2021-10-31,8.0,394572,"Erie, PA",msa,184,PA
2021-11-30,10.0,394572,"Erie, PA",msa,184,PA
2021-12-31,11.0,394572,"Erie, PA",msa,184,PA
2022-01-31,12.0,394572,"Erie, PA",msa,184,PA
2022-02-28,10.0,394572,"Erie, PA",msa,184,PA
2022-03-31,7.0,394572,"Erie, PA",msa,184,PA
2022-04-30,6.0,394572,"Erie, PA",msa,184,PA
2022-05-31,6.0,394572,"Erie, PA",msa,184,PA
2022-06-30,6.0,394572,"Erie, PA",msa,184,PA
2022-07-31,6.0,394572,"Erie, PA",msa,184,PA
2022-08-31,8.0,394572,"Erie, PA",msa,184,PA
2022-09-30,9.0,394572,"Erie, PA",msa,184,PA
2022-10-31,11.0,394572,"Erie, PA",msa,184,PA
2022-11-30,13.0,394572,"Erie, PA",msa,184,PA
2022-12-31,16.0,394572,"Erie, PA",msa,184,PA
2023-01-31,17.0,394572,"Erie, PA",msa,184,PA
2023-02-28,14.0,394572,"Erie, PA",msa,184,PA
2023-03-31,9.0,394572,"Erie, PA",msa,184,PA
2023-04-30,7.0,394572,"Erie, PA",msa,184,PA
2023-05-31,6.0,394572,"Erie, PA",msa,184,PA
2023-06-30,6.0,394572,"Erie, PA",msa,184,PA
2023-07-31,6.0,394572,"Erie, PA",msa,184,PA
2023-08-31,6.0,394572,"Erie, PA",msa,184,PA
2023-09-30,7.0,394572,"Erie, PA",msa,184,PA
2023-10-31,8.0,394572,"Erie, PA",msa,184,PA
2023-11-30,10.0,394572,"Erie, PA",msa,184,PA
2023-12-31,18.0,394572,"Erie, PA",msa,184,PA
2024-01-31,19.0,394572,"Erie, PA",msa,184,PA
2024-02-29,18.0,394572,"Erie, PA",msa,184,PA
2024-03-31,9.0,394572,"Erie, PA",msa,184,PA
2024-04-30,7.0,394572,"Erie, PA",msa,184,PA
2024-05-31,6.0,394572,"Erie, PA",msa,184,PA
2024-06-30,7.0,394572,"Erie, PA",msa,184,PA
2024-07-31,7.0,394572,"Erie, PA",msa,184,PA
2024-08-31,7.0,394572,"Erie, PA",msa,184,PA
2024-09-30,7.0,394572,"Erie, PA",msa,184,PA
2018-03-31,47.0,394924,"Norwich, CT",msa,185,CT
2018-04-30,25.0,394924,"Norwich, CT",msa,185,CT
2018-05-31,22.0,394924,"Norwich, CT",msa,185,CT
2018-06-30,24.0,394924,"Norwich, CT",msa,185,CT
2018-07-31,26.0,394924,"Norwich, CT",msa,185,CT
2018-08-31,35.0,394924,"Norwich, CT",msa,185,CT
2018-09-30,42.0,394924,"Norwich, CT",msa,185,CT
2018-10-31,50.0,394924,"Norwich, CT",msa,185,CT
2018-11-30,52.0,394924,"Norwich, CT",msa,185,CT
2018-12-31,59.0,394924,"Norwich, CT",msa,185,CT
2019-01-31,65.0,394924,"Norwich, CT",msa,185,CT
2019-02-28,57.0,394924,"Norwich, CT",msa,185,CT
2019-03-31,45.0,394924,"Norwich, CT",msa,185,CT
2019-04-30,29.0,394924,"Norwich, CT",msa,185,CT
2019-05-31,24.0,394924,"Norwich, CT",msa,185,CT
2019-06-30,21.0,394924,"Norwich, CT",msa,185,CT
2019-07-31,26.0,394924,"Norwich, CT",msa,185,CT
2019-08-31,35.0,394924,"Norwich, CT",msa,185,CT
2019-09-30,38.0,394924,"Norwich, CT",msa,185,CT
2019-10-31,40.0,394924,"Norwich, CT",msa,185,CT
2019-11-30,35.0,394924,"Norwich, CT",msa,185,CT
2019-12-31,53.0,394924,"Norwich, CT",msa,185,CT
2020-01-31,63.0,394924,"Norwich, CT",msa,185,CT
2020-02-29,63.0,394924,"Norwich, CT",msa,185,CT
2020-03-31,41.0,394924,"Norwich, CT",msa,185,CT
2020-04-30,25.0,394924,"Norwich, CT",msa,185,CT
2020-05-31,19.0,394924,"Norwich, CT",msa,185,CT
2020-06-30,17.0,394924,"Norwich, CT",msa,185,CT
2020-07-31,14.0,394924,"Norwich, CT",msa,185,CT
2020-08-31,11.0,394924,"Norwich, CT",msa,185,CT
2020-09-30,11.0,394924,"Norwich, CT",msa,185,CT
2020-10-31,10.0,394924,"Norwich, CT",msa,185,CT
2020-11-30,12.0,394924,"Norwich, CT",msa,185,CT
2020-12-31,13.0,394924,"Norwich, CT",msa,185,CT
2021-01-31,22.0,394924,"Norwich, CT",msa,185,CT
2021-02-28,21.0,394924,"Norwich, CT",msa,185,CT
2021-03-31,17.0,394924,"Norwich, CT",msa,185,CT
2021-04-30,6.0,394924,"Norwich, CT",msa,185,CT
2021-05-31,5.0,394924,"Norwich, CT",msa,185,CT
2021-06-30,6.0,394924,"Norwich, CT",msa,185,CT
2021-07-31,6.0,394924,"Norwich, CT",msa,185,CT
2021-08-31,8.0,394924,"Norwich, CT",msa,185,CT
2021-09-30,9.0,394924,"Norwich, CT",msa,185,CT
2021-10-31,11.0,394924,"Norwich, CT",msa,185,CT
2021-11-30,11.0,394924,"Norwich, CT",msa,185,CT
2021-12-31,12.0,394924,"Norwich, CT",msa,185,CT
2022-01-31,10.0,394924,"Norwich, CT",msa,185,CT
2022-02-28,9.0,394924,"Norwich, CT",msa,185,CT
2022-03-31,6.0,394924,"Norwich, CT",msa,185,CT
2022-04-30,5.0,394924,"Norwich, CT",msa,185,CT
2022-05-31,5.0,394924,"Norwich, CT",msa,185,CT
2022-06-30,6.0,394924,"Norwich, CT",msa,185,CT
2022-07-31,6.0,394924,"Norwich, CT",msa,185,CT
2022-08-31,7.0,394924,"Norwich, CT",msa,185,CT
2022-09-30,8.0,394924,"Norwich, CT",msa,185,CT
2022-10-31,8.0,394924,"Norwich, CT",msa,185,CT
2022-11-30,10.0,394924,"Norwich, CT",msa,185,CT
2022-12-31,11.0,394924,"Norwich, CT",msa,185,CT
2023-01-31,11.0,394924,"Norwich, CT",msa,185,CT
2023-02-28,10.0,394924,"Norwich, CT",msa,185,CT
2023-03-31,7.0,394924,"Norwich, CT",msa,185,CT
2023-04-30,6.0,394924,"Norwich, CT",msa,185,CT
2023-05-31,5.0,394924,"Norwich, CT",msa,185,CT
2023-06-30,5.0,394924,"Norwich, CT",msa,185,CT
2023-07-31,7.0,394924,"Norwich, CT",msa,185,CT
2023-08-31,8.0,394924,"Norwich, CT",msa,185,CT
2023-09-30,8.0,394924,"Norwich, CT",msa,185,CT
2023-10-31,7.0,394924,"Norwich, CT",msa,185,CT
2023-11-30,7.0,394924,"Norwich, CT",msa,185,CT
2023-12-31,9.0,394924,"Norwich, CT",msa,185,CT
2024-01-31,10.0,394924,"Norwich, CT",msa,185,CT
2024-02-29,10.0,394924,"Norwich, CT",msa,185,CT
2024-03-31,8.0,394924,"Norwich, CT",msa,185,CT
2024-04-30,7.0,394924,"Norwich, CT",msa,185,CT
2024-05-31,6.0,394924,"Norwich, CT",msa,185,CT
2024-06-30,7.0,394924,"Norwich, CT",msa,185,CT
2024-07-31,7.0,394924,"Norwich, CT",msa,185,CT
2024-08-31,8.0,394924,"Norwich, CT",msa,185,CT
2024-09-30,8.0,394924,"Norwich, CT",msa,185,CT
2018-03-31,53.0,394323,"Amarillo, TX",msa,186,TX
2018-04-30,39.0,394323,"Amarillo, TX",msa,186,TX
2018-05-31,30.0,394323,"Amarillo, TX",msa,186,TX
2018-06-30,24.0,394323,"Amarillo, TX",msa,186,TX
2018-07-31,27.0,394323,"Amarillo, TX",msa,186,TX
2018-08-31,31.0,394323,"Amarillo, TX",msa,186,TX
2018-09-30,39.0,394323,"Amarillo, TX",msa,186,TX
2018-10-31,40.0,394323,"Amarillo, TX",msa,186,TX
2018-11-30,47.0,394323,"Amarillo, TX",msa,186,TX
2018-12-31,57.0,394323,"Amarillo, TX",msa,186,TX
2019-01-31,64.0,394323,"Amarillo, TX",msa,186,TX
2019-02-28,60.0,394323,"Amarillo, TX",msa,186,TX
2019-03-31,50.0,394323,"Amarillo, TX",msa,186,TX
2019-04-30,39.0,394323,"Amarillo, TX",msa,186,TX
2019-05-31,35.0,394323,"Amarillo, TX",msa,186,TX
2019-06-30,32.0,394323,"Amarillo, TX",msa,186,TX
2019-07-31,33.0,394323,"Amarillo, TX",msa,186,TX
2019-08-31,41.0,394323,"Amarillo, TX",msa,186,TX
2019-09-30,41.0,394323,"Amarillo, TX",msa,186,TX
2019-10-31,44.0,394323,"Amarillo, TX",msa,186,TX
2019-11-30,44.0,394323,"Amarillo, TX",msa,186,TX
2019-12-31,49.0,394323,"Amarillo, TX",msa,186,TX
2020-01-31,50.0,394323,"Amarillo, TX",msa,186,TX
2020-02-29,47.0,394323,"Amarillo, TX",msa,186,TX
2020-03-31,42.0,394323,"Amarillo, TX",msa,186,TX
2020-04-30,37.0,394323,"Amarillo, TX",msa,186,TX
2020-05-31,30.0,394323,"Amarillo, TX",msa,186,TX
2020-06-30,26.0,394323,"Amarillo, TX",msa,186,TX
2020-07-31,22.0,394323,"Amarillo, TX",msa,186,TX
2020-08-31,20.0,394323,"Amarillo, TX",msa,186,TX
2020-09-30,18.0,394323,"Amarillo, TX",msa,186,TX
2020-10-31,17.0,394323,"Amarillo, TX",msa,186,TX
2020-11-30,19.0,394323,"Amarillo, TX",msa,186,TX
2020-12-31,21.0,394323,"Amarillo, TX",msa,186,TX
2021-01-31,20.0,394323,"Amarillo, TX",msa,186,TX
2021-02-28,19.0,394323,"Amarillo, TX",msa,186,TX
2021-03-31,15.0,394323,"Amarillo, TX",msa,186,TX
2021-04-30,12.0,394323,"Amarillo, TX",msa,186,TX
2021-05-31,7.0,394323,"Amarillo, TX",msa,186,TX
2021-06-30,6.0,394323,"Amarillo, TX",msa,186,TX
2021-07-31,6.0,394323,"Amarillo, TX",msa,186,TX
2021-08-31,6.0,394323,"Amarillo, TX",msa,186,TX
2021-09-30,7.0,394323,"Amarillo, TX",msa,186,TX
2021-10-31,7.0,394323,"Amarillo, TX",msa,186,TX
2021-11-30,8.0,394323,"Amarillo, TX",msa,186,TX
2021-12-31,9.0,394323,"Amarillo, TX",msa,186,TX
2022-01-31,9.0,394323,"Amarillo, TX",msa,186,TX
2022-02-28,8.0,394323,"Amarillo, TX",msa,186,TX
2022-03-31,6.0,394323,"Amarillo, TX",msa,186,TX
2022-04-30,5.0,394323,"Amarillo, TX",msa,186,TX
2022-05-31,5.0,394323,"Amarillo, TX",msa,186,TX
2022-06-30,6.0,394323,"Amarillo, TX",msa,186,TX
2022-07-31,7.0,394323,"Amarillo, TX",msa,186,TX
2022-08-31,8.0,394323,"Amarillo, TX",msa,186,TX
2022-09-30,8.0,394323,"Amarillo, TX",msa,186,TX
2022-10-31,10.0,394323,"Amarillo, TX",msa,186,TX
2022-11-30,13.0,394323,"Amarillo, TX",msa,186,TX
2022-12-31,15.0,394323,"Amarillo, TX",msa,186,TX
2023-01-31,17.0,394323,"Amarillo, TX",msa,186,TX
2023-02-28,16.0,394323,"Amarillo, TX",msa,186,TX
2023-03-31,15.0,394323,"Amarillo, TX",msa,186,TX
2023-04-30,12.0,394323,"Amarillo, TX",msa,186,TX
2023-05-31,11.0,394323,"Amarillo, TX",msa,186,TX
2023-06-30,11.0,394323,"Amarillo, TX",msa,186,TX
2023-07-31,12.0,394323,"Amarillo, TX",msa,186,TX
2023-08-31,13.0,394323,"Amarillo, TX",msa,186,TX
2023-09-30,16.0,394323,"Amarillo, TX",msa,186,TX
2023-10-31,21.0,394323,"Amarillo, TX",msa,186,TX
2023-11-30,23.0,394323,"Amarillo, TX",msa,186,TX
2023-12-31,27.0,394323,"Amarillo, TX",msa,186,TX
2024-01-31,34.0,394323,"Amarillo, TX",msa,186,TX
2024-02-29,34.0,394323,"Amarillo, TX",msa,186,TX
2024-03-31,30.0,394323,"Amarillo, TX",msa,186,TX
2024-04-30,22.0,394323,"Amarillo, TX",msa,186,TX
2024-05-31,19.0,394323,"Amarillo, TX",msa,186,TX
2024-06-30,19.0,394323,"Amarillo, TX",msa,186,TX
2024-07-31,19.0,394323,"Amarillo, TX",msa,186,TX
2024-08-31,25.0,394323,"Amarillo, TX",msa,186,TX
2024-09-30,31.0,394323,"Amarillo, TX",msa,186,TX
2018-03-31,,394772,"Laredo, TX",msa,187,TX
2018-04-30,,394772,"Laredo, TX",msa,187,TX
2018-05-31,,394772,"Laredo, TX",msa,187,TX
2018-06-30,,394772,"Laredo, TX",msa,187,TX
2018-07-31,,394772,"Laredo, TX",msa,187,TX
2018-08-31,,394772,"Laredo, TX",msa,187,TX
2018-09-30,,394772,"Laredo, TX",msa,187,TX
2018-10-31,,394772,"Laredo, TX",msa,187,TX
2018-11-30,,394772,"Laredo, TX",msa,187,TX
2018-12-31,,394772,"Laredo, TX",msa,187,TX
2019-01-31,,394772,"Laredo, TX",msa,187,TX
2019-02-28,,394772,"Laredo, TX",msa,187,TX
2019-03-31,,394772,"Laredo, TX",msa,187,TX
