Date,Median Days To Pending,RegionID,RegionName,RegionType,SizeRank,StateName
2024-05-31,12.0,395023,"Richmond, KY",msa,373,KY
2024-06-30,10.0,395023,"Richmond, KY",msa,373,KY
2024-07-31,11.0,395023,"Richmond, KY",msa,373,KY
2024-08-31,12.0,395023,"Richmond, KY",msa,373,KY
2024-09-30,15.0,395023,"Richmond, KY",msa,373,KY
2018-03-31,,395168,"Tullahoma, TN",msa,374,TN
2018-04-30,,395168,"Tullahoma, TN",msa,374,TN
2018-05-31,,395168,"Tullahoma, TN",msa,374,TN
2018-06-30,,395168,"Tullahoma, TN",msa,374,TN
2018-07-31,,395168,"Tullahoma, TN",msa,374,TN
2018-08-31,,395168,"Tullahoma, TN",msa,374,TN
2018-09-30,,395168,"Tullahoma, TN",msa,374,TN
2018-10-31,,395168,"Tullahoma, TN",msa,374,TN
2018-11-30,,395168,"Tullahoma, TN",msa,374,TN
2018-12-31,,395168,"Tullahoma, TN",msa,374,TN
2019-01-31,,395168,"Tullahoma, TN",msa,374,TN
2019-02-28,,395168,"Tullahoma, TN",msa,374,TN
2019-03-31,,395168,"Tullahoma, TN",msa,374,TN
2019-04-30,,395168,"Tullahoma, TN",msa,374,TN
2019-05-31,,395168,"Tullahoma, TN",msa,374,TN
2019-06-30,,395168,"Tullahoma, TN",msa,374,TN
2019-07-31,,395168,"Tullahoma, TN",msa,374,TN
2019-08-31,,395168,"Tullahoma, TN",msa,374,TN
2019-09-30,,395168,"Tullahoma, TN",msa,374,TN
2019-10-31,,395168,"Tullahoma, TN",msa,374,TN
2019-11-30,,395168,"Tullahoma, TN",msa,374,TN
2019-12-31,,395168,"Tullahoma, TN",msa,374,TN
2020-01-31,,395168,"Tullahoma, TN",msa,374,TN
2020-02-29,,395168,"Tullahoma, TN",msa,374,TN
2020-03-31,,395168,"Tullahoma, TN",msa,374,TN
2020-04-30,,395168,"Tullahoma, TN",msa,374,TN
2020-05-31,,395168,"Tullahoma, TN",msa,374,TN
2020-06-30,,395168,"Tullahoma, TN",msa,374,TN
2020-07-31,,395168,"Tullahoma, TN",msa,374,TN
2020-08-31,,395168,"Tullahoma, TN",msa,374,TN
2020-09-30,,395168,"Tullahoma, TN",msa,374,TN
2020-10-31,,395168,"Tullahoma, TN",msa,374,TN
2020-11-30,,395168,"Tullahoma, TN",msa,374,TN
2020-12-31,,395168,"Tullahoma, TN",msa,374,TN
2021-01-31,37.0,395168,"Tullahoma, TN",msa,374,TN
2021-02-28,31.0,395168,"Tullahoma, TN",msa,374,TN
2021-03-31,15.0,395168,"Tullahoma, TN",msa,374,TN
2021-04-30,5.0,395168,"Tullahoma, TN",msa,374,TN
2021-05-31,5.0,395168,"Tullahoma, TN",msa,374,TN
2021-06-30,5.0,395168,"Tullahoma, TN",msa,374,TN
