Date,Median Days To Pending,RegionID,RegionName,RegionType,SizeRank,StateName
2020-04-30,35.0,395009,"Punta Gorda, FL",msa,237,FL
2020-05-31,40.0,395009,"Punta Gorda, FL",msa,237,FL
2020-06-30,41.0,395009,"Punta Gorda, FL",msa,237,FL
2020-07-31,38.0,395009,"Punta Gorda, FL",msa,237,FL
2020-08-31,27.0,395009,"Punta Gorda, FL",msa,237,FL
2020-09-30,19.0,395009,"Punta Gorda, FL",msa,237,FL
2020-10-31,16.0,395009,"Punta Gorda, FL",msa,237,FL
2020-11-30,16.0,395009,"Punta Gorda, FL",msa,237,FL
2020-12-31,17.0,395009,"Punta Gorda, FL",msa,237,FL
2021-01-31,17.0,395009,"Punta Gorda, FL",msa,237,FL
2021-02-28,13.0,395009,"Punta Gorda, FL",msa,237,FL
2021-03-31,9.0,395009,"Punta Gorda, FL",msa,237,FL
2021-04-30,6.0,395009,"Punta Gorda, FL",msa,237,FL
2021-05-31,5.0,395009,"Punta Gorda, FL",msa,237,FL
2021-06-30,5.0,395009,"Punta Gorda, FL",msa,237,FL
2021-07-31,5.0,395009,"Punta Gorda, FL",msa,237,FL
2021-08-31,6.0,395009,"Punta Gorda, FL",msa,237,FL
2021-09-30,6.0,395009,"Punta Gorda, FL",msa,237,FL
2021-10-31,7.0,395009,"Punta Gorda, FL",msa,237,FL
2021-11-30,7.0,395009,"Punta Gorda, FL",msa,237,FL
2021-12-31,8.0,395009,"Punta Gorda, FL",msa,237,FL
2022-01-31,8.0,395009,"Punta Gorda, FL",msa,237,FL
2022-02-28,7.0,395009,"Punta Gorda, FL",msa,237,FL
2022-03-31,6.0,395009,"Punta Gorda, FL",msa,237,FL
2022-04-30,6.0,395009,"Punta Gorda, FL",msa,237,FL
2022-05-31,6.0,395009,"Punta Gorda, FL",msa,237,FL
2022-06-30,8.0,395009,"Punta Gorda, FL",msa,237,FL
2022-07-31,11.0,395009,"Punta Gorda, FL",msa,237,FL
2022-08-31,15.0,395009,"Punta Gorda, FL",msa,237,FL
2022-09-30,18.0,395009,"Punta Gorda, FL",msa,237,FL
2022-10-31,24.0,395009,"Punta Gorda, FL",msa,237,FL
2022-11-30,23.0,395009,"Punta Gorda, FL",msa,237,FL
2022-12-31,24.0,395009,"Punta Gorda, FL",msa,237,FL
2023-01-31,19.0,395009,"Punta Gorda, FL",msa,237,FL
2023-02-28,21.0,395009,"Punta Gorda, FL",msa,237,FL
2023-03-31,20.0,395009,"Punta Gorda, FL",msa,237,FL
2023-04-30,21.0,395009,"Punta Gorda, FL",msa,237,FL
2023-05-31,24.0,395009,"Punta Gorda, FL",msa,237,FL
2023-06-30,26.0,395009,"Punta Gorda, FL",msa,237,FL
2023-07-31,30.0,395009,"Punta Gorda, FL",msa,237,FL
2023-08-31,32.0,395009,"Punta Gorda, FL",msa,237,FL
2023-09-30,35.0,395009,"Punta Gorda, FL",msa,237,FL
2023-10-31,36.0,395009,"Punta Gorda, FL",msa,237,FL
2023-11-30,36.0,395009,"Punta Gorda, FL",msa,237,FL
2023-12-31,37.0,395009,"Punta Gorda, FL",msa,237,FL
2024-01-31,44.0,395009,"Punta Gorda, FL",msa,237,FL
2024-02-29,48.0,395009,"Punta Gorda, FL",msa,237,FL
2024-03-31,48.0,395009,"Punta Gorda, FL",msa,237,FL
2024-04-30,49.0,395009,"Punta Gorda, FL",msa,237,FL
2024-05-31,52.0,395009,"Punta Gorda, FL",msa,237,FL
2024-06-30,61.0,395009,"Punta Gorda, FL",msa,237,FL
2024-07-31,66.0,395009,"Punta Gorda, FL",msa,237,FL
2024-08-31,71.0,395009,"Punta Gorda, FL",msa,237,FL
2024-09-30,67.0,395009,"Punta Gorda, FL",msa,237,FL
2018-03-31,47.0,394386,"Billings, MT",msa,239,MT
2018-04-30,37.0,394386,"Billings, MT",msa,239,MT
2018-05-31,28.0,394386,"Billings, MT",msa,239,MT
