RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
394612,132,"Fort Wayne, IN",msa,IN,140363.0,141582.0,144417.0,144804.0,142476.0,141109.0,144522.0,147274.0,151605.0,149805.0,150736.0,149974.0,152294.0,154648.0,153564.0,153225.0,151248.0,152243.0,152658.0,154485.0,155311.0,156940.0,159533.0,161021.0,161842.0,163745.0,169097.0,171541.0,170472.0,171020.0,172076.0,173880.0,171858.0,172748.0,175344.0,178015.0,179455.0,181830.0,184038.0,187061.0,187001.0,187967.0,191078.0,192237.0,196577.0,198835.0,203312.0,204653.0,206326.0,205045.0,204425.0,207092.0,206387.0,205828.0,200738.0,203435.0,208643.0,209441.0,212045.0,216809.0,222927.0,227337.0,220608.0,220190.0,217469.0,222946.0,224509.0,227746.0,228816.0,230474.0,232539.0,233005.0
394658,133,"Gulfport, MS",msa,MS,143045.0,141729.0,141505.0,141766.0,138434.0,140088.0,139986.0,144446.0,146056.0,144165.0,143883.0,146126.0,148372.0,148904.0,149352.0,149981.0,153051.0,154583.0,159035.0,162111.0,162621.0,160882.0,159148.0,160056.0,161145.0,161777.0,163726.0,167501.0,172957.0,175062.0,173877.0,175390.0,175979.0,180130.0,179357.0,180743.0,180877.0,182523.0,186425.0,186805.0,187083.0,189828.0,194744.0,199853.0,201897.0,207817.0,210918.0,213227.0,209893.0,207335.0,201951.0,203423.0,201499.0,202652.0,199787.0,201022.0,207572.0,212946.0,219128.0,216384.0,211571.0,208841.0,212857.0,217540.0,215135.0,206612.0,206286.0,207026.0,210942.0,207984.0,210058.0,210625.0
395051,134,"Salisbury, MD",msa,DE,228088.0,225152.0,229481.0,231444.0,226016.0,224928.0,228533.0,235436.0,237309.0,238516.0,234767.0,236626.0,238929.0,244501.0,246992.0,247942.0,249852.0,252982.0,251034.0,253591.0,256830.0,254107.0,258370.0,263898.0,281122.0,288777.0,290667.0,293817.0,297377.0,295320.0,297091.0,294961.0,303859.0,303637.0,306785.0,310386.0,311540.0,317565.0,317422.0,324108.0,327992.0,333450.0,341842.0,345576.0,353678.0,359164.0,365386.0,362247.0,352885.0,349433.0,345076.0,345355.0,334099.0,337842.0,341273.0,354885.0,355905.0,356357.0,358300.0,360781.0,370807.0,377481.0,382281.0,378229.0,371627.0,374221.0,380981.0,386746.0,389807.0,387481.0,387448.0,383077.0
394596,135,"Flint, MI",msa,MI,141814.0,139544.0,135357.0,131500.0,130084.0,130383.0,134076.0,132420.0,132853.0,133688.0,137471.0,140964.0,140654.0,139163.0,136627.0,135999.0,137373.0,135211.0,137250.0,138818.0,145273.0,143600.0,147090.0,148208.0,152844.0,151902.0,152338.0,154726.0,154197.0,154307.0,151086.0,153116.0,153969.0,160324.0,160784.0,164166.0,162470.0,168229.0,170395.0,171646.0,168846.0,165925.0,165084.0,166333.0,171811.0,175310.0,177385.0,174819.0,178952.0,176624.0,175425.0,169118.0,167989.0,164573.0,166995.0,167760.0,174740.0,177600.0,180856.0,179965.0,181018.0,179714.0,177520.0,172471.0,171164.0,171116.0,175858.0,176305.0,183763.0,188982.0,193564.0,188330.0
394972,136,"Peoria, IL",msa,IL,117037.0,118487.0,113500.0,112910.0,114856.0,117354.0,121629.0,117677.0,115219.0,112392.0,113922.0,112450.0,110180.0,110478.0,117458.0,120219.0,121216.0,118488.0,120727.0,123792.0,126769.0,124755.0,122077.0,118962.0,116212.0,117631.0,120445.0,127391.0,126976.0,124820.0,122496.0,123911.0,122505.0,122492.0,120858.0,122652.0,124353.0,124276.0,126787.0,123583.0,123286.0,120135.0,122502.0,123733.0,124645.0,126452.0,128279.0,128731.0,128063.0,127654.0,128947.0,129575.0,130311.0,130705.0,128880.0,124690.0,124975.0,128366.0,135455.0,138363.0,137326.0,136289.0,133583.0,134429.0,137980.0,140830.0,131874.0,127339.0,123920.0,135126.0,140215.0,148252.0
394439,137,"Canton, OH",msa,OH,123908.0,126593.0,128189.0,128169.0,130101.0,129770.0,130203.0,125820.0,125257.0,126808.0,130133.0,130745.0,127345.0,126260.0,128946.0,127118.0,130569.0,132747.0,135280.0,135799.0,131773.0,132969.0,133221.0,135584.0,140113.0,143518.0,144230.0,142478.0,141641.0,142494.0,141048.0,140065.0,142233.0,149643.0,147884.0,147021.0,141425.0,145279.0,148245.0,154522.0,155355.0,152780.0,151077.0,151209.0,147993.0,148826.0,147321.0,150579.0,148728.0,151215.0,154242.0,154881.0,157337.0,153275.0,154044.0,152234.0,160156.0,159553.0,159516.0,159049.0,161634.0,165006.0,164041.0,163107.0,160499.0,158322.0,158460.0,162460.0,165001.0,165080.0,164394.0,166310.0
395070,138,"Savannah, GA",msa,GA,195985.0,197388.0,199626.0,198748.0,197261.0,197189.0,196690.0,196788.0,199008.0,203919.0,205431.0,208306.0,207001.0,207503.0,205213.0,204860.0,210476.0,214352.0,214607.0,212786.0,214176.0,212983.0,211788.0,210064.0,217468.0,226091.0,235033.0,241597.0,243102.0,243302.0,241801.0,243439.0,245008.0,245014.0,245535.0,251607.0,255346.0,259763.0,257383.0,265474.0,266426.0,268724.0,267721.0,270925.0,280434.0,287186.0,293592.0,291709.0,289479.0,289209.0,292494.0,293243.0,289921.0,287324.0,295469.0,302602.0,306202.0,307591.0,312156.0,313965.0,312053.0,316684.0,326835.0,334398.0,327291.0,325354.0,321434.0,333195.0,337410.0,341212.0,340915.0,338465.0
394372,140,"Beaumont, TX",msa,TX,157409.0,157779.0,153838.0,153702.0,153611.0,155868.0,155836.0,154452.0,153280.0,155228.0,157997.0,161145.0,161658.0,166642.0,169145.0,174505.0,173719.0,175079.0,170668.0,172362.0,168395.0,172376.0,174607.0,176465.0,173425.0,172201.0,175999.0,176118.0,178755.0,177315.0,180396.0,176941.0,182947.0,187083.0,194947.0,194585.0,192659.0,190490.0,187451.0,187632.0,189363.0,190691.0,193508.0,196396.0,198108.0,199974.0,201460.0,202593.0,207936.0,206062.0,206249.0,192718.0,184433.0,177892.0,185230.0,189223.0,196073.0,198063.0,196034.0,194503.0,187071.0,187342.0,192933.0,194966.0,192050.0,196467.0,204022.0,203722.0,193951.0,187360.0,194459.0,201086.0
395096,141,"Shreveport, LA",msa,LA,140722.0,142149.0,135705.0,135658.0,131321.0,133361.0,130096.0,131345.0,136058.0,140102.0,142749.0,144119.0,145139.0,148030.0,143294.0,144078.0,145724.0,146636.0,152217.0,149797.0,152595.0,141071.0,140807.0,141132.0,149238.0,154381.0,159032.0,159023.0,159250.0,159171.0,165854.0,173356.0,177508.0,181195.0,185039.0,184928.0,182822.0,178649.0,189149.0,185933.0,187935.0,180605.0,183718.0,182000.0,185287.0,190099.0,195649.0,198101.0,197166.0,193454.0,184422.0,182118.0,183583.0,185889.0,182913.0,179835.0,176707.0,183451.0,188463.0,198197.0,188576.0,181261.0,178344.0,177915.0,182126.0,185748.0,193723.0,193508.0,197119.0,203617.0,206457.0,204341.0
395164,142,"Trenton, NJ",msa,NJ,224682.0,224723.0,219453.0,218538.0,215197.0,214646.0,213830.0,217527.0,219306.0,219763.0,215507.0,215982.0,219006.0,225323.0,236651.0,245052.0,248898.0,236560.0,234862.0,239951.0,256817.0,254908.0,249077.0,240751.0,244799.0,256149.0,271151.0,283147.0,288409.0,295034.0,298798.0,302522.0,296514.0,290176.0,285315.0,286574.0,293879.0,295925.0,298686.0,302604.0,306636.0,309697.0,311254.0,304799.0,298360.0,295450.0,299023.0,298269.0,301957.0,311475.0,325445.0,321621.0,318134.0,306047.0,303517.0,300282.0,303240.0,316676.0,328524.0,335464.0,335163.0,335624.0,352675.0,352779.0,362394.0,361420.0,365120.0,363790.0,358333.0,368327.0,385125.0,390750.0
