Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States,105729,68997,1562,1292,33878,mar,2019
Northeast,9455,4075,322,255,4803,mar,2019
New England,2613,1127,98,47,1341,mar,2019
Connecticut,491,242,2,0,247,mar,2019
Maine,618,172,52,4,390,mar,2019
Massachusetts,1026,457,28,36,505,mar,2019
New Hampshire,264,122,10,0,132,mar,2019
Rhode Island,66,53,4,0,9,mar,2019
Vermont,148,81,2,7,58,mar,2019
Middle Atlantic,6842,2948,224,208,3462,mar,2019
New Jersey,2288,776,66,79,1367,mar,2019
New York,2699,763,118,40,1778,mar,2019
Pennsylvania,1855,1409,40,89,317,mar,2019
Midwest,13862,8130,256,172,5304,mar,2019
East North Central D,7888,5064,122,106,2596,mar,2019
Illinois,1192,779,36,61,316,mar,2019
Indiana,1642,1215,16,3,408,mar,2019
Michigan,2053,1155,26,7,865,mar,2019
Ohio,1873,1181,6,27,659,mar,2019
Wisconsin,1128,734,38,8,348,mar,2019
West North Central D,5974,3066,134,66,2708,mar,2019
Iowa,617,532,4,4,77,mar,2019
Kansas,507,299,16,12,180,mar,2019
Minnesota,2136,879,4,4,1249,mar,2019
Missouri,1787,785,104,34,864,mar,2019
Nebraska,572,336,2,0,234,mar,2019
North Dakota,86,71,0,0,15,mar,2019
South Dakota,269,164,4,12,89,mar,2019
South,55557,40564,494,348,14151,mar,2019
South Atlantic,29628,21690,256,146,7536,mar,2019
Delaware,508,473,8,0,27,mar,2019
District of Columbia,250,13,6,0,231,mar,2019
Florida,11661,7977,124,79,3481,mar,2019
Georgia,4690,3743,34,4,909,mar,2019
Maryland,1788,1147,0,0,641,mar,2019
North Carolina,5174,4144,34,4,992,mar,2019
South Carolina,2734,2300,12,7,415,mar,2019
Virginia,2496,1658,34,19,785,mar,2019
West Virginia,327,235,4,33,55,mar,2019
East South Central D,6556,4899,60,18,1579,mar,2019
Alabama,1283,1198,8,4,73,mar,2019
Kentucky,811,684,50,11,66,mar,2019
Mississippi,585,570,0,0,15,mar,2019
Tennessee,3877,2447,2,3,1425,mar,2019
West South Central D,19373,13975,178,184,5036,mar,2019
Arkansas,746,654,28,31,33,mar,2019
Louisiana,1496,1473,14,0,9,mar,2019
Oklahoma,1279,880,12,15,372,mar,2019
Texas,15852,10968,124,138,4622,mar,2019
West,26855,16228,490,517,9620,mar,2019
Mountain,11597,8555,132,195,2715,mar,2019
Arizona,3691,2758,40,21,872,mar,2019
Colorado,3078,1866,2,47,1163,mar,2019
Idaho,1125,1044,12,22,47,mar,2019
Montana,316,157,32,24,103,mar,2019
Nevada,1100,936,22,40,102,mar,2019
New Mexico,398,381,8,3,6,mar,2019
Utah,1751,1299,14,31,407,mar,2019
Wyoming,138,114,2,7,15,mar,2019
Pacific,15258,7673,358,322,6905,mar,2019
Alaska,120,93,6,8,13,mar,2019
California,8345,4624,200,197,3324,mar,2019
Hawaii,247,243,4,0,0,mar,2019
Oregon,2252,852,44,32,1324,mar,2019
Washington,4294,1861,104,85,2244,mar,2019
United States,89694,57379,1428,1091,29796,feb,2019
Northeast,8001,3459,230,207,4105,feb,2019
New England,1871,1158,38,47,628,feb,2019
Connecticut,310,168,6,11,125,feb,2019
Maine,380,305,2,3,70,feb,2019
Massachusetts,816,377,22,33,384,feb,2019
New Hampshire,161,150,6,0,5,feb,2019
Rhode Island,70,65,0,0,5,feb,2019
Vermont,134,93,2,0,39,feb,2019
Middle Atlantic,6130,2301,192,160,3477,feb,2019
New Jersey,1520,693,70,39,718,feb,2019
New York,2924,712,96,54,2062,feb,2019
Pennsylvania,1686,896,26,67,697,feb,2019
Midwest,9929,5664,156,92,4017,feb,2019
East North Central D,6359,3673,122,66,2498,feb,2019
Illinois,1229,512,16,40,661,feb,2019
Indiana,1279,920,32,0,327,feb,2019
Michigan,1611,832,6,19,754,feb,2019
Ohio,1506,898,50,4,554,feb,2019
Wisconsin,734,511,18,3,202,feb,2019
West North Central D,3570,1991,34,26,1519,feb,2019
Iowa,248,243,0,0,5,feb,2019
Kansas,366,290,14,4,58,feb,2019
Minnesota,1558,584,2,6,966,feb,2019
Missouri,838,527,10,12,289,feb,2019
Nebraska,404,245,2,0,157,feb,2019
North Dakota,32,32,0,0,0,feb,2019
South Dakota,124,70,6,4,44,feb,2019
South,51405,34735,598,450,15622,feb,2019
South Atlantic,28721,19347,328,187,8859,feb,2019
Delaware,534,429,20,7,78,feb,2019
District of Columbia,954,35,6,4,909,feb,2019
Florida,11099,7432,172,59,3436,feb,2019
Georgia,4422,3248,28,31,1115,feb,2019
Maryland,930,665,22,12,231,feb,2019
North Carolina,5092,3567,38,0,1487,feb,2019
South Carolina,2815,2389,2,3,421,feb,2019
Virginia,2610,1413,40,31,1126,feb,2019
West Virginia,265,169,0,40,56,feb,2019
East South Central D,4771,3812,64,62,833,feb,2019
Alabama,1089,992,8,6,83,feb,2019
Kentucky,770,529,46,7,188,feb,2019
Mississippi,410,381,6,7,16,feb,2019
Tennessee,2502,1910,4,42,546,feb,2019
West South Central D,17913,11576,206,201,5930,feb,2019
Arkansas,954,482,14,55,403,feb,2019
Louisiana,1347,1275,32,3,37,feb,2019
Oklahoma,1101,734,36,27,304,feb,2019
Texas,14511,9085,124,116,5186,feb,2019
West,20359,13521,444,342,6052,feb,2019
Mountain,9969,7620,80,117,2152,feb,2019
Arizona,2897,2374,24,0,499,feb,2019
Colorado,2676,1820,6,47,803,feb,2019
Idaho,789,689,6,13,81,feb,2019
Montana,134,102,12,11,9,feb,2019
Nevada,1335,1040,16,4,275,feb,2019
New Mexico,444,299,0,0,145,feb,2019
Utah,1570,1199,12,34,325,feb,2019
Wyoming,124,97,4,8,15,feb,2019
Pacific,10390,5901,364,225,3900,feb,2019
Alaska,88,68,6,6,8,feb,2019
California,6228,3689,186,118,2235,feb,2019
Hawaii,246,169,2,0,75,feb,2019
Oregon,1544,534,62,8,940,feb,2019
Washington,2284,1441,108,93,642,feb,2019
United States,107300,63002,1758,1389,41151,dec,2019
Northeast Region,11880,3259,272,184,8165,dec,2019
New England Division,2416,943,54,55,1364,dec,2019
Connecticut,444,133,0,0,311,dec,2019
Maine,189,168,6,0,15,dec,2019
Massachusetts,1410,379,28,32,971,dec,2019
New Hampshire,202,163,8,0,31,dec,2019
Rhode Island,113,80,10,23,0,dec,2019
Vermont,58,20,2,0,36,dec,2019
Middle Atlantic Division,9464,2316,218,129,6801,dec,2019
New Jersey,2690,745,70,53,1822,dec,2019
New York,4560,575,104,40,3841,dec,2019
Pennsylvania,2214,996,44,36,1138,dec,2019
Midwest Region,12901,7503,316,205,4877,dec,2019
East North Central Division,6859,4474,122,64,2199,dec,2019
Illinois,2025,551,20,43,1411,dec,2019
Indiana,1475,1266,24,0,185,dec,2019
Michigan,1105,1008,2,4,91,dec,2019
Ohio,1384,1088,8,14,274,dec,2019
Wisconsin,870,561,68,3,238,dec,2019
West North Central Division,6042,3029,194,141,2678,dec,2019
Iowa,506,408,6,8,84,dec,2019
Kansas,497,366,50,25,56,dec,2019
Minnesota,2979,963,16,44,1956,dec,2019
Missouri,1311,803,118,32,358,dec,2019
Nebraska,410,304,2,21,83,dec,2019
North Dakota,35,35,0,0,0,dec,2019
South Dakota,304,150,2,11,141,dec,2019
South Region,51811,35747,696,651,14717,dec,2019
South Atlantic Division,28090,19754,272,184,7880,dec,2019
Delaware,453,423,12,7,11,dec,2019
District of Columbia,57,5,24,0,28,dec,2019
Florida,12079,7674,146,109,4150,dec,2019
Georgia,3727,3364,4,39,320,dec,2019
Maryland,1557,811,38,0,708,dec,2019
North Carolina,5044,3586,8,8,1442,dec,2019
South Carolina,2509,2295,12,3,199,dec,2019
Virginia,2468,1461,28,15,964,dec,2019
West Virginia,196,135,0,3,58,dec,2019
East South Central Division,5783,3943,52,271,1517,dec,2019
Alabama,1366,1023,14,38,291,dec,2019
Kentucky,712,452,22,15,223,dec,2019
Mississippi,515,449,4,44,18,dec,2019
Tennessee,3190,2019,12,174,985,dec,2019
West South Central Division,17938,12050,372,196,5320,dec,2019
Arkansas,1322,617,68,30,607,dec,2019
Louisiana,1099,1019,22,7,51,dec,2019
Oklahoma,803,715,74,0,14,dec,2019
Texas,14714,9699,208,159,4648,dec,2019
West Region,30708,16493,474,349,13392,dec,2019
Mountain Division,12464,8042,148,140,4134,dec,2019
Arizona,3779,2582,76,3,1118,dec,2019
Colorado,4037,2131,22,15,1869,dec,2019
Idaho,1248,881,20,52,295,dec,2019
Montana,189,120,10,19,40,dec,2019
Nevada,1276,821,10,12,433,dec,2019
New Mexico,308,282,2,0,24,dec,2019
Utah,1559,1166,2,36,355,dec,2019
Wyoming,68,59,6,3,0,dec,2019
Pacific Division,18244,8451,326,209,9258,dec,2019
Alaska,117,80,4,3,30,dec,2019
California,11523,5723,174,109,5517,dec,2019
Hawaii,342,187,0,0,155,dec,2019
Oregon,1821,684,18,15,1104,dec,2019
Washington,4441,1777,130,82,2452,dec,2019
United States,118711,75680,2162,1947,38922,apr,2019
Northeast,10193,4522,352,341,4978,apr,2019
New England,2605,1555,130,57,863,apr,2019
Connecticut,721,284,4,0,433,apr,2019
Maine,318,265,16,3,34,apr,2019
Massachusetts,1021,600,66,51,304,apr,2019
New Hampshire,280,228,42,0,10,apr,2019
Rhode Island,86,77,0,0,9,apr,2019
Vermont,179,101,2,3,73,apr,2019
Middle Atlantic,7588,2967,222,284,4115,apr,2019
New Jersey,1900,788,66,90,956,apr,2019
New York,3752,959,94,56,2643,apr,2019
Pennsylvania,1936,1220,62,138,516,apr,2019
Midwest,18654,11801,384,218,6251,apr,2019
East North Central D,11643,6984,222,131,4306,apr,2019
Illinois,3378,975,32,54,2317,apr,2019
Indiana,2130,1602,72,7,449,apr,2019
Michigan,2035,1687,10,21,317,apr,2019
Ohio,2133,1568,16,46,503,apr,2019
Wisconsin,1967,1152,92,3,720,apr,2019
West North Central D,7011,4817,162,87,1945,apr,2019
Iowa,1000,949,20,7,24,apr,2019
Kansas,869,597,74,7,191,apr,2019
Minnesota,2570,1275,6,8,1281,apr,2019
Missouri,1107,954,8,38,107,apr,2019
Nebraska,734,505,46,20,163,apr,2019
North Dakota,281,263,0,0,18,apr,2019
South Dakota,450,274,8,7,161,apr,2019
South,59049,40858,790,577,16824,apr,2019
South Atlantic,33764,21865,336,240,11323,apr,2019
Delaware,413,379,4,0,30,apr,2019
District of Columbia,473,31,12,0,430,apr,2019
Florida,14518,7861,132,102,6423,apr,2019
Georgia,4440,3438,0,30,972,apr,2019
Maryland,1805,1127,24,30,624,apr,2019
North Carolina,5588,4250,58,56,1224,apr,2019
South Carolina,3114,2584,34,3,493,apr,2019
Virginia,3186,1998,56,16,1116,apr,2019
West Virginia,227,197,16,3,11,apr,2019
East South Central D,6286,5264,70,124,828,apr,2019
Alabama,1500,1377,26,8,89,apr,2019
Kentucky,1245,796,10,23,416,apr,2019
Mississippi,593,569,4,3,17,apr,2019
Tennessee,2948,2522,30,90,306,apr,2019
West South Central D,18999,13729,384,213,4673,apr,2019
Arkansas,758,632,44,33,49,apr,2019
Louisiana,1442,1302,126,0,14,apr,2019
Oklahoma,904,846,38,3,17,apr,2019
Texas,15895,10949,176,177,4593,apr,2019
West,30815,18499,636,811,10869,apr,2019
Mountain,14570,9723,224,275,4348,apr,2019
Arizona,4590,2933,70,3,1584,apr,2019
Colorado,3593,2383,48,33,1129,apr,2019
Idaho,1365,1112,34,50,169,apr,2019
Montana,413,231,28,57,97,apr,2019
Nevada,1310,989,20,45,256,apr,2019
New Mexico,484,375,0,0,109,apr,2019
Utah,2608,1534,14,73,987,apr,2019
Wyoming,207,166,10,14,17,apr,2019
Pacific,16245,8776,412,536,6521,apr,2019
Alaska,150,120,4,6,20,apr,2019
California,9045,5508,214,208,3115,apr,2019
Hawaii,153,147,6,0,0,apr,2019
Oregon,1820,916,58,195,651,apr,2019
Washington,5077,2085,130,127,2735,apr,2019
United States,111010,75091,2114,1898,31907,jun,2019
Northeast,11770,4980,502,489,5799,jun,2019
New England,2684,1425,196,59,1004,jun,2019
Connecticut,336,169,60,22,85,jun,2019
