Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States                 ,104944,64918,1956,1465,36605,dec,2023
Northeast Region              ,8108,3489,174,131,4314,dec,2023
     New England Division          ,2838,993,56,51,1738,dec,2023
          Connecticut                   ,406,139,6,4,257,dec,2023
          Maine                         ,294,211,8,3,72,dec,2023
          Massachusetts                 ,1798,403,24,41,1330,dec,2023
          New Hampshire                 ,215,140,8,0,67,dec,2023
          Rhode Island                  ,54,47,4,3,0,dec,2023
          Vermont                       ,71,53,6,0,12,dec,2023
     Middle Atlantic Division      ,5270,2496,118,80,2576,dec,2023
          New Jersey                    ,2507,837,82,35,1553,dec,2023
          New York                      ,1323,570,20,18,715,dec,2023
          Pennsylvania                  ,1440,1089,16,27,308,dec,2023
Midwest Region                ,11786,6856,324,224,4382,dec,2023
     East North Central Division   ,6830,4238,218,131,2243,dec,2023
          Illinois                      ,911,647,16,64,184,dec,2023
          Indiana                       ,1779,1105,74,12,588,dec,2023
          Michigan                      ,1199,861,28,0,310,dec,2023
          Ohio                          ,1544,1052,34,35,423,dec,2023
          Wisconsin                     ,1397,573,66,20,738,dec,2023
     West North Central Division   ,4956,2618,106,93,2139,dec,2023
          Iowa                          ,860,448,8,28,376,dec,2023
          Kansas                        ,777,380,50,16,331,dec,2023
          Minnesota                     ,1459,636,12,10,801,dec,2023
          Missouri                      ,1043,712,30,29,272,dec,2023
          Nebraska                      ,461,261,4,0,196,dec,2023
          North Dakota                  ,32,32,0,0,0,dec,2023
          South Dakota                  ,324,149,2,10,163,dec,2023
South Region                  ,59076,39435,948,785,17908,dec,2023
     South Atlantic Division       ,35437,22687,290,307,12153,dec,2023
          Delaware                      ,881,414,12,0,455,dec,2023
          District of Columbia          ,93,13,4,0,76,dec,2023
          Florida                       ,14796,9584,158,186,4868,dec,2023
          Georgia                       ,4159,3147,30,41,941,dec,2023
          Maryland                      ,1320,719,4,12,585,dec,2023
          North Carolina                ,8080,4505,40,3,3532,dec,2023
          South Carolina                ,2802,2587,38,47,130,dec,2023
          Virginia                      ,3085,1515,4,15,1551,dec,2023
          West Virginia                 ,221,203,0,3,15,dec,2023
     East South Central Division   ,6450,4380,92,74,1904,dec,2023
          Alabama                       ,1856,1214,12,8,622,dec,2023
          Kentucky                      ,1109,489,42,13,565,dec,2023
          Mississippi                   ,551,511,0,3,37,dec,2023
          Tennessee                     ,2934,2166,38,50,680,dec,2023
     West South Central Division   ,17189,12368,566,404,3851,dec,2023
          Arkansas                      ,1110,918,134,20,38,dec,2023
          Louisiana                     ,1114,765,46,0,303,dec,2023
          Oklahoma                      ,785,702,40,18,25,dec,2023
          Texas                         ,14180,9983,346,366,3485,dec,2023
West Region                   ,25974,15138,510,325,10001,dec,2023
     Mountain Division             ,14800,8471,240,185,5904,dec,2023
          Arizona                       ,4737,2841,104,0,1792,dec,2023
          Colorado                      ,4177,1939,68,29,2141,dec,2023
          Idaho                         ,1416,758,12,49,597,dec,2023
          Montana                       ,195,117,6,13,59,dec,2023
          Nevada                        ,1698,1177,8,18,495,dec,2023
          New Mexico                    ,547,471,16,4,56,dec,2023
          Utah                          ,1926,1107,18,42,759,dec,2023
          Wyoming                       ,104,61,8,30,5,dec,2023
     Pacific Division              ,11174,6667,270,140,4097,dec,2023
          Alaska                        ,24,22,2,0,0,dec,2023
          California                    ,7179,4534,152,83,2410,dec,2023
          Hawaii                        ,334,154,22,0,158,dec,2023
          Oregon                        ,895,633,30,17,215,dec,2023
          Washington                    ,2742,1324,64,40,1314,dec,2023
United States                 ,110878,58654,2070,1151,49003,feb,2023
Northeast Region              ,7337,3347,224,126,3640,feb,2023
     New England Division          ,2317,906,110,23,1278,feb,2023
          Connecticut                   ,493,118,14,3,358,feb,2023
          Maine                         ,266,206,8,7,45,feb,2023
          Massachusetts                 ,1165,327,22,7,809,feb,2023
          New Hampshire                 ,222,155,6,6,55,feb,2023
          Rhode Island                  ,87,55,32,0,0,feb,2023
          Vermont                       ,84,45,28,0,11,feb,2023
     Middle Atlantic Division      ,5020,2441,114,103,2362,feb,2023
          New Jersey                    ,1862,1078,76,29,679,feb,2023
          New York                      ,1855,485,12,17,1341,feb,2023
          Pennsylvania                  ,1303,878,26,57,342,feb,2023
Midwest Region                ,10582,5898,248,234,4202,feb,2023
     East North Central Division   ,5964,3699,150,169,1946,feb,2023
          Illinois                      ,784,496,16,43,229,feb,2023
          Indiana                       ,1466,978,30,3,455,feb,2023
          Michigan                      ,1008,647,14,10,337,feb,2023
          Ohio                          ,1605,1019,22,109,455,feb,2023
          Wisconsin                     ,1101,559,68,4,470,feb,2023
     West North Central Division   ,4618,2199,98,65,2256,feb,2023
          Iowa                          ,638,363,8,16,251,feb,2023
          Kansas                        ,349,284,38,0,27,feb,2023
          Minnesota                     ,1302,520,6,12,764,feb,2023
          Missouri                      ,1111,637,24,18,432,feb,2023
          Nebraska                      ,814,237,12,9,556,feb,2023
          North Dakota                  ,253,36,2,0,215,feb,2023
          South Dakota                  ,151,122,8,10,11,feb,2023
South Region                  ,65533,37804,1104,476,26149,feb,2023
     South Atlantic Division       ,37436,21782,420,178,15056,feb,2023
          Delaware                      ,356,340,4,0,12,feb,2023
          District of Columbia          ,299,19,4,4,272,feb,2023
          Florida                       ,16279,8402,278,122,7477,feb,2023
          Georgia                       ,5136,3086,24,30,1996,feb,2023
          Maryland                      ,1351,749,6,4,592,feb,2023
          North Carolina                ,8095,4768,54,8,3265,feb,2023
          South Carolina                ,3039,2609,4,10,416,feb,2023
          Virginia                      ,2642,1606,42,0,994,feb,2023
          West Virginia                 ,239,203,4,0,32,feb,2023
     East South Central Division   ,7998,4324,124,104,3446,feb,2023
          Alabama                       ,1518,1006,10,18,484,feb,2023
          Kentucky                      ,1191,570,32,25,564,feb,2023
          Mississippi                   ,656,518,12,6,120,feb,2023
          Tennessee                     ,4633,2230,70,55,2278,feb,2023
     West South Central Division   ,20099,11698,560,194,7647,feb,2023
          Arkansas                      ,948,593,90,14,251,feb,2023
          Louisiana                     ,991,761,32,3,195,feb,2023
          Oklahoma                      ,797,700,48,27,22,feb,2023
          Texas                         ,17363,9644,390,150,7179,feb,2023
West Region                   ,27426,11605,494,315,15012,feb,2023
     Mountain Division             ,13144,6004,156,196,6788,feb,2023
          Arizona                       ,4600,1995,86,0,2519,feb,2023
          Colorado                      ,3247,1241,14,56,1936,feb,2023
          Idaho                         ,1060,692,18,43,307,feb,2023
          Montana                       ,380,75,6,4,295,feb,2023
          Nevada                        ,1041,779,16,9,237,feb,2023
          New Mexico                    ,397,381,0,0,16,feb,2023
          Utah                          ,2342,770,14,80,1478,feb,2023
          Wyoming                       ,77,71,2,4,0,feb,2023
     Pacific Division              ,14282,5601,338,119,8224,feb,2023
          Alaska                        ,80,52,2,3,23,feb,2023
          California                    ,8275,3612,176,64,4423,feb,2023
          Hawaii                        ,203,159,2,0,42,feb,2023
          Oregon                        ,1519,632,50,12,825,feb,2023
          Washington                    ,4205,1146,108,40,2911,feb,2023
United States                 ,131310,79384,3060,1687,47179,mar,2023
Northeast Region              ,12611,4528,360,252,7471,mar,2023
     New England Division          ,3180,1293,156,111,1620,mar,2023
          Connecticut                   ,542,176,8,3,355,mar,2023
          Maine                         ,476,299,12,4,161,mar,2023
          Massachusetts                 ,1475,444,94,64,873,mar,2023
          New Hampshire                 ,258,194,14,27,23,mar,2023
          Rhode Island                  ,101,71,14,6,10,mar,2023
          Vermont                       ,328,109,14,7,198,mar,2023
     Middle Atlantic Division      ,9431,3235,204,141,5851,mar,2023
          New Jersey                    ,3498,1302,130,55,2011,mar,2023
          New York                      ,3888,788,26,33,3041,mar,2023
          Pennsylvania                  ,2045,1145,48,53,799,mar,2023
Midwest Region                ,17562,9255,414,281,7612,mar,2023
     East North Central Division   ,10496,5719,230,135,4412,mar,2023
          Illinois                      ,1850,787,34,47,982,mar,2023
          Indiana                       ,2087,1454,16,4,613,mar,2023
          Michigan                      ,1738,1174,50,13,501,mar,2023
          Ohio                          ,3347,1454,60,68,1765,mar,2023
          Wisconsin                     ,1474,850,70,3,551,mar,2023
     West North Central Division   ,7066,3536,184,146,3200,mar,2023
          Iowa                          ,1048,615,28,34,371,mar,2023
          Kansas                        ,548,398,38,25,87,mar,2023
          Minnesota                     ,1840,859,20,14,947,mar,2023
          Missouri                      ,1623,949,72,57,545,mar,2023
          Nebraska                      ,671,399,10,9,253,mar,2023
