Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
          North Dakota                  ,216,103,8,0,105,mar,2023
          South Dakota                  ,1120,213,8,7,892,mar,2023
South Region                  ,71840,49003,1662,573,20602,mar,2023
     South Atlantic Division       ,41777,28274,526,205,12772,mar,2023
          Delaware                      ,536,480,18,0,38,mar,2023
          District of Columbia          ,129,18,6,0,105,mar,2023
          Florida                       ,18743,10891,290,112,7450,mar,2023
          Georgia                       ,5357,4167,38,63,1089,mar,2023
          Maryland                      ,1035,871,4,0,160,mar,2023
          North Carolina                ,8515,6164,76,20,2255,mar,2023
          South Carolina                ,3820,3375,44,3,398,mar,2023
          Virginia                      ,3308,2020,46,4,1238,mar,2023
          West Virginia                 ,334,288,4,3,39,mar,2023
     East South Central Division   ,8175,5586,100,123,2366,mar,2023
          Alabama                       ,2455,1563,14,32,846,mar,2023
          Kentucky                      ,1637,701,56,57,823,mar,2023
          Mississippi                   ,625,578,6,12,29,mar,2023
          Tennessee                     ,3458,2744,24,22,668,mar,2023
     West South Central Division   ,21888,15143,1036,245,5464,mar,2023
          Arkansas                      ,812,705,36,25,46,mar,2023
          Louisiana                     ,1234,1040,44,7,143,mar,2023
          Oklahoma                      ,946,857,50,22,17,mar,2023
          Texas                         ,18896,12541,906,191,5258,mar,2023
West Region                   ,29297,16598,624,581,11494,mar,2023
     Mountain Division             ,16630,9318,236,326,6750,mar,2023
          Arizona                       ,6525,2938,140,18,3429,mar,2023
          Colorado                      ,3580,1849,30,44,1657,mar,2023
          Idaho                         ,1297,957,26,84,230,mar,2023
          Montana                       ,468,143,18,30,277,mar,2023
          Nevada                        ,1781,1526,4,70,181,mar,2023
          New Mexico                    ,894,543,0,4,347,mar,2023
          Utah                          ,1928,1251,14,40,623,mar,2023
          Wyoming                       ,157,111,4,36,6,mar,2023
     Pacific Division              ,12667,7280,388,255,4744,mar,2023
          Alaska                        ,122,70,2,4,46,mar,2023
          California                    ,7410,4608,152,120,2530,mar,2023
          Hawaii                        ,300,238,30,0,32,mar,2023
          Oregon                        ,1442,906,36,22,478,mar,2023
          Washington                    ,3393,1458,168,109,1658,mar,2023
United States                 ,117601,75123,2802,1859,37817,apr,2023
Northeast Region              ,8498,4663,292,142,3401,apr,2023
     New England Division          ,2354,1544,124,35,651,apr,2023
          Connecticut                   ,289,171,8,8,102,apr,2023
          Maine                         ,596,448,20,6,122,apr,2023
          Massachusetts                 ,819,417,28,15,359,apr,2023
          New Hampshire                 ,397,312,42,3,40,apr,2023
          Rhode Island                  ,88,59,18,3,8,apr,2023
          Vermont                       ,165,137,8,0,20,apr,2023
     Middle Atlantic Division      ,6144,3119,168,107,2750,apr,2023
          New Jersey                    ,2194,965,78,34,1117,apr,2023
          New York                      ,2011,863,38,33,1077,apr,2023
          Pennsylvania                  ,1939,1291,52,40,556,apr,2023
Midwest Region                ,15192,10029,466,403,4294,apr,2023
     East North Central Division   ,8837,5913,232,215,2477,apr,2023
          Illinois                      ,1576,756,26,53,741,apr,2023
          Indiana                       ,2401,1567,34,30,770,apr,2023
          Michigan                      ,1688,1323,18,29,318,apr,2023
          Ohio                          ,1845,1360,48,93,344,apr,2023
          Wisconsin                     ,1327,907,106,10,304,apr,2023
     West North Central Division   ,6355,4116,234,188,1817,apr,2023
          Iowa                          ,924,766,48,44,66,apr,2023
          Kansas                        ,561,407,46,11,97,apr,2023
          Minnesota                     ,2088,1031,18,14,1025,apr,2023
          Missouri                      ,1295,1017,74,65,139,apr,2023
          Nebraska                      ,606,411,6,33,156,apr,2023
          North Dakota                  ,164,160,4,0,0,apr,2023
          South Dakota                  ,717,324,38,21,334,apr,2023
South Region                  ,65898,45269,1368,714,18547,apr,2023
     South Atlantic Division       ,36552,24599,542,234,11177,apr,2023
          Delaware                      ,471,424,8,0,39,apr,2023
          District of Columbia          ,224,13,4,0,207,apr,2023
          Florida                       ,14957,9388,358,117,5094,apr,2023
          Georgia                       ,5256,3772,48,64,1372,apr,2023
          Maryland                      ,1230,837,4,4,385,apr,2023
          North Carolina                ,7997,5314,58,9,2616,apr,2023
          South Carolina                ,3472,2935,34,18,485,apr,2023
          Virginia                      ,2657,1665,22,14,956,apr,2023
          West Virginia                 ,288,251,6,8,23,apr,2023
     East South Central Division   ,8660,5210,138,132,3180,apr,2023
          Alabama                       ,1402,1226,48,34,94,apr,2023
          Kentucky                      ,1540,689,46,47,758,apr,2023
          Mississippi                   ,634,596,14,6,18,apr,2023
          Tennessee                     ,5084,2699,30,45,2310,apr,2023
     West South Central Division   ,20686,15460,688,348,4190,apr,2023
          Arkansas                      ,851,613,78,72,88,apr,2023
          Louisiana                     ,1393,988,48,3,354,apr,2023
          Oklahoma                      ,1096,1010,66,7,13,apr,2023
          Texas                         ,17346,12849,496,266,3735,apr,2023
West Region                   ,28013,15162,676,600,11575,apr,2023
     Mountain Division             ,13787,8116,374,278,5019,apr,2023
          Arizona                       ,4268,2582,170,43,1473,apr,2023
          Colorado                      ,3857,1580,104,39,2134,apr,2023
          Idaho                         ,1450,972,26,81,371,apr,2023
          Montana                       ,354,203,18,12,121,apr,2023
          Nevada                        ,1245,975,6,19,245,apr,2023
          New Mexico                    ,680,530,14,0,136,apr,2023
          Utah                          ,1804,1163,26,81,534,apr,2023
          Wyoming                       ,129,111,10,3,5,apr,2023
     Pacific Division              ,14226,7046,302,322,6556,apr,2023
          Alaska                        ,41,41,0,0,0,apr,2023
          California                    ,9186,4470,186,181,4349,apr,2023
          Hawaii                        ,341,206,12,0,123,apr,2023
          Oregon                        ,1840,810,20,23,987,apr,2023
          Washington                    ,2818,1519,84,118,1097,apr,2023
United States                 ,108831,69619,2252,1418,35542,nov,2023
Northeast Region              ,7128,4337,392,200,2199,nov,2023
     New England Division          ,1904,1335,98,63,408,nov,2023
          Connecticut                   ,268,161,18,32,57,nov,2023
          Maine                         ,423,345,22,3,53,nov,2023
          Massachusetts                 ,729,455,40,16,218,nov,2023
          New Hampshire                 ,309,223,8,3,75,nov,2023
          Rhode Island                  ,76,67,6,3,0,nov,2023
          Vermont                       ,99,84,4,6,5,nov,2023
     Middle Atlantic Division      ,5224,3002,294,137,1791,nov,2023
          New Jersey                    ,1852,1031,230,63,528,nov,2023
          New York                      ,1528,760,38,20,710,nov,2023
          Pennsylvania                  ,1844,1211,26,54,553,nov,2023
Midwest Region                ,14898,8648,472,342,5436,nov,2023
     East North Central Division   ,8923,5175,280,228,3240,nov,2023
          Illinois                      ,1139,845,28,45,221,nov,2023
          Indiana                       ,2187,1232,62,31,862,nov,2023
          Michigan                      ,1759,1050,36,55,618,nov,2023
          Ohio                          ,2237,1239,74,86,838,nov,2023
          Wisconsin                     ,1601,809,80,11,701,nov,2023
     West North Central Division   ,5975,3473,192,114,2196,nov,2023
          Iowa                          ,870,744,22,22,82,nov,2023
          Kansas                        ,861,408,80,9,364,nov,2023
          Minnesota                     ,1453,837,14,18,584,nov,2023
          Missouri                      ,1373,870,38,52,413,nov,2023
          Nebraska                      ,842,374,26,4,438,nov,2023
          North Dakota                  ,54,52,2,0,0,nov,2023
          South Dakota                  ,522,188,10,9,315,nov,2023
South Region                  ,56229,41073,810,466,13880,nov,2023
     South Atlantic Division       ,31622,23293,316,193,7820,nov,2023
          Delaware                      ,475,454,16,0,5,nov,2023
          District of Columbia          ,9,9,0,0,0,nov,2023
          Florida                       ,12776,9379,170,50,3177,nov,2023
          Georgia                       ,4470,3222,46,71,1131,nov,2023
          Maryland                      ,1288,718,0,8,562,nov,2023
          North Carolina                ,6761,5034,54,3,1670,nov,2023
          South Carolina                ,2960,2664,16,49,231,nov,2023
          Virginia                      ,2673,1614,14,12,1033,nov,2023
          West Virginia                 ,210,199,0,0,11,nov,2023
     East South Central Division   ,6624,4604,126,23,1871,nov,2023
          Alabama                       ,1348,1161,8,10,169,nov,2023
          Kentucky                      ,1157,609,44,0,504,nov,2023
          Mississippi                   ,495,463,2,3,27,nov,2023
          Tennessee                     ,3624,2371,72,10,1171,nov,2023
     West South Central Division   ,17983,13176,368,250,4189,nov,2023
          Arkansas                      ,1172,676,54,57,385,nov,2023
          Louisiana                     ,962,882,34,3,43,nov,2023
          Oklahoma                      ,894,783,32,3,76,nov,2023
          Texas                         ,14955,10835,248,187,3685,nov,2023
West Region                   ,30576,15561,578,410,14027,nov,2023
     Mountain Division             ,16698,8673,238,178,7609,nov,2023
          Arizona                       ,5590,3048,134,15,2393,nov,2023
          Colorado                      ,3641,1546,32,30,2033,nov,2023
          Idaho                         ,1551,924,16,24,587,nov,2023
          Montana                       ,343,152,12,18,161,nov,2023
          Nevada                        ,1414,1114,16,22,262,nov,2023
          New Mexico                    ,1335,526,0,4,805,nov,2023
          Utah                          ,2708,1279,24,45,1360,nov,2023
          Wyoming                       ,116,84,4,20,8,nov,2023
     Pacific Division              ,13878,6888,340,232,6418,nov,2023
          Alaska                        ,52,24,0,0,28,nov,2023
          California                    ,9757,4543,222,151,4841,nov,2023
          Hawaii                        ,366,183,14,0,169,nov,2023
          Oregon                        ,1328,784,32,21,491,nov,2023
          Washington                    ,2375,1354,72,60,889,nov,2023
United States                 ,100998,53062,2516,1295,44125,jan,2023
Northeast Region              ,7488,3662,300,177,3349,jan,2023
     New England Division          ,2444,1023,92,58,1271,jan,2023
          Connecticut                   ,682,150,8,3,521,jan,2023
          Maine                         ,255,230,12,3,10,jan,2023
          Massachusetts                 ,1088,388,42,37,621,jan,2023
          New Hampshire                 ,269,146,12,8,103,jan,2023
          Rhode Island                  ,79,58,14,7,0,jan,2023
          Vermont                       ,71,51,4,0,16,jan,2023
     Middle Atlantic Division      ,5044,2639,208,119,2078,jan,2023
          New Jersey                    ,2482,1121,124,27,1210,jan,2023
          New York                      ,1258,574,30,24,630,jan,2023
          Pennsylvania                  ,1304,944,54,68,238,jan,2023
Midwest Region                ,9820,4829,352,173,4466,jan,2023
     East North Central Division   ,5752,2947,146,106,2553,jan,2023
          Illinois                      ,978,370,16,31,561,jan,2023
          Indiana                       ,1529,783,22,15,709,jan,2023
          Michigan                      ,1187,575,16,20,576,jan,2023
          Ohio                          ,1150,795,26,40,289,jan,2023
          Wisconsin                     ,908,424,66,0,418,jan,2023
     West North Central Division   ,4068,1882,206,67,1913,jan,2023
          Iowa                          ,355,207,4,10,134,jan,2023
          Kansas                        ,492,313,132,3,44,jan,2023
          Minnesota                     ,1366,425,6,7,928,jan,2023
          Missouri                      ,1028,528,54,27,419,jan,2023
          Nebraska                      ,429,276,6,3,144,jan,2023
          North Dakota                  ,137,38,0,3,96,jan,2023
          South Dakota                  ,261,95,4,14,148,jan,2023
South Region                  ,62217,34404,1358,544,25911,jan,2023
     South Atlantic Division       ,37164,20134,458,201,16371,jan,2023
          Delaware                      ,412,339,6,0,67,jan,2023
          District of Columbia          ,800,12,6,0,782,jan,2023
          Florida                       ,14964,8060,260,99,6545,jan,2023
          Georgia                       ,5940,2809,30,28,3073,jan,2023
          Maryland                      ,1502,706,12,33,751,jan,2023
          North Carolina                ,7066,4254,82,3,2727,jan,2023
          South Carolina                ,3018,2400,46,18,554,jan,2023
          Virginia                      ,3272,1399,16,17,1840,jan,2023
          West Virginia                 ,190,155,0,3,32,jan,2023
     East South Central Division   ,5139,3999,104,59,977,jan,2023
          Alabama                       ,1250,1082,18,15,135,jan,2023
          Kentucky                      ,937,476,30,14,417,jan,2023
          Mississippi                   ,585,537,14,3,31,jan,2023
          Tennessee                     ,2367,1904,42,27,394,jan,2023
     West South Central Division   ,19914,10271,796,284,8563,jan,2023
          Arkansas                      ,1034,628,166,31,209,jan,2023
          Louisiana                     ,1392,894,38,3,457,jan,2023
          Oklahoma                      ,641,594,34,3,10,jan,2023
          Texas                         ,16847,8155,558,247,7887,jan,2023
West Region                   ,21473,10167,506,401,10399,jan,2023
     Mountain Division             ,10316,5275,186,184,4671,jan,2023
          Arizona                       ,2033,1592,82,36,323,jan,2023
          Colorado                      ,3235,1181,36,35,1983,jan,2023
          Idaho                         ,922,528,8,39,347,jan,2023
          Montana                       ,225,106,8,9,102,jan,2023
          Nevada                        ,1476,600,8,3,865,jan,2023
          New Mexico                    ,581,410,2,0,169,jan,2023
          Utah                          ,1776,799,36,59,882,jan,2023
          Wyoming                       ,68,59,6,3,0,jan,2023
     Pacific Division              ,11157,4892,320,217,5728,jan,2023
          Alaska                        ,101,47,2,3,49,jan,2023
          California                    ,7138,3068,178,91,3801,jan,2023
          Hawaii                        ,176,144,2,0,30,jan,2023
          Oregon                        ,1484,630,62,29,763,jan,2023
          Washington                    ,2258,1003,76,94,1085,jan,2023
United States                 ,118742,77815,2398,1402,37127,jul,2023
Northeast Region              ,8946,4478,240,156,4072,jul,2023
     New England Division          ,2592,1420,80,47,1045,jul,2023
          Connecticut                   ,302,153,8,12,129,jul,2023
          Maine                         ,503,395,12,6,90,jul,2023
          Massachusetts                 ,1201,450,40,13,698,jul,2023
          New Hampshire                 ,306,258,8,6,34,jul,2023
          Rhode Island                  ,82,65,8,0,9,jul,2023
          Vermont                       ,198,99,4,10,85,jul,2023
     Middle Atlantic Division      ,6354,3058,160,109,3027,jul,2023
          New Jersey                    ,2625,987,92,36,1510,jul,2023
          New York                      ,1912,734,38,43,1097,jul,2023
          Pennsylvania                  ,1817,1337,30,30,420,jul,2023
Midwest Region                ,15422,10174,490,357,4401,jul,2023
     East North Central Division   ,8952,6012,292,197,2451,jul,2023
          Illinois                      ,1165,803,46,53,263,jul,2023
          Indiana                       ,2049,1453,28,17,551,jul,2023
          Michigan                      ,1883,1316,56,17,494,jul,2023
          Ohio                          ,2112,1353,50,95,614,jul,2023
          Wisconsin                     ,1743,1087,112,15,529,jul,2023
     West North Central Division   ,6470,4162,198,160,1950,jul,2023
          Iowa                          ,817,616,32,63,106,jul,2023
          Kansas                        ,630,412,68,4,146,jul,2023
          Minnesota                     ,2145,1239,30,27,849,jul,2023
          Missouri                      ,1486,995,38,28,425,jul,2023
          Nebraska                      ,641,409,12,23,197,jul,2023
          North Dakota                  ,306,155,6,4,141,jul,2023
          South Dakota                  ,445,336,12,11,86,jul,2023
South Region                  ,66530,46342,1004,547,18637,jul,2023
     South Atlantic Division       ,36714,25944,406,190,10174,jul,2023
          Delaware                      ,536,428,0,0,108,jul,2023
          District of Columbia          ,299,7,10,4,278,jul,2023
          Florida                       ,15574,10513,176,92,4793,jul,2023
          Georgia                       ,5423,4013,32,60,1318,jul,2023
          Maryland                      ,1339,644,2,0,693,jul,2023
          North Carolina                ,7218,5255,82,9,1872,jul,2023
          South Carolina                ,3424,3017,82,14,311,jul,2023
          Virginia                      ,2561,1760,20,11,770,jul,2023
          West Virginia                 ,340,307,2,0,31,jul,2023
     East South Central Division   ,6843,5378,78,49,1338,jul,2023
          Alabama                       ,1491,1323,4,4,160,jul,2023
          Kentucky                      ,966,686,52,22,206,jul,2023
          Mississippi                   ,588,565,2,3,18,jul,2023
          Tennessee                     ,3798,2804,20,20,954,jul,2023
     West South Central Division   ,22973,15020,520,308,7125,jul,2023
          Arkansas                      ,1335,1042,58,26,209,jul,2023
          Louisiana                     ,1270,1037,34,3,196,jul,2023
          Oklahoma                      ,1471,779,66,45,581,jul,2023
          Texas                         ,18897,12162,362,234,6139,jul,2023
West Region                   ,27844,16821,664,342,10017,jul,2023
     Mountain Division             ,15049,9549,286,153,5061,jul,2023
          Arizona                       ,5367,3108,164,20,2075,jul,2023
          Colorado                      ,2737,1658,46,18,1015,jul,2023
          Idaho                         ,1599,1086,18,26,469,jul,2023
          Montana                       ,520,184,14,18,304,jul,2023
          Nevada                        ,1766,1250,20,28,468,jul,2023
          New Mexico                    ,682,658,4,0,20,jul,2023
          Utah                          ,2254,1488,16,40,710,jul,2023
          Wyoming                       ,124,117,4,3,0,jul,2023
     Pacific Division              ,12795,7272,378,189,4956,jul,2023
          Alaska                        ,111,52,6,8,45,jul,2023
          California                    ,8190,4545,206,97,3342,jul,2023
          Hawaii                        ,306,187,12,0,107,jul,2023
          Oregon                        ,1525,873,40,13,599,jul,2023
          Washington                    ,2663,1615,114,71,863,jul,2023
United States                 ,135692,91039,3128,1851,39674,jun,2023
Northeast Region              ,10542,5804,312,197,4229,jun,2023
     New England Division          ,3289,1817,140,43,1289,jun,2023
          Connecticut                   ,427,169,14,4,240,jun,2023
          Maine                         ,613,520,48,7,38,jun,2023
          Massachusetts                 ,1355,563,34,20,738,jun,2023
          New Hampshire                 ,525,358,20,6,141,jun,2023
          Rhode Island                  ,140,66,14,0,60,jun,2023
          Vermont                       ,229,141,10,6,72,jun,2023
     Middle Atlantic Division      ,7253,3987,172,154,2940,jun,2023
          New Jersey                    ,2515,1290,80,50,1095,jun,2023
          New York                      ,2346,1023,70,53,1200,jun,2023
          Pennsylvania                  ,2392,1674,22,51,645,jun,2023
Midwest Region                ,18942,11520,566,414,6442,jun,2023
     East North Central Division   ,11275,6971,298,235,3771,jun,2023
          Illinois                      ,1481,841,44,80,516,jun,2023
          Indiana                       ,2772,1720,44,14,994,jun,2023
          Michigan                      ,1906,1506,26,35,339,jun,2023
          Ohio                          ,3052,1723,42,103,1184,jun,2023
          Wisconsin                     ,2064,1181,142,3,738,jun,2023
     West North Central Division   ,7667,4549,268,179,2671,jun,2023
          Iowa                          ,1115,720,40,28,327,jun,2023
          Kansas                        ,750,437,88,7,218,jun,2023
          Minnesota                     ,2484,1322,36,24,1102,jun,2023
          Missouri                      ,1642,1088,58,71,425,jun,2023
          Nebraska                      ,849,438,28,8,375,jun,2023
          North Dakota                  ,204,176,10,0,18,jun,2023
          South Dakota                  ,623,368,8,41,206,jun,2023
South Region                  ,73338,53475,1150,585,18128,jun,2023
     South Atlantic Division       ,41885,30277,540,161,10907,jun,2023
          Delaware                      ,632,551,4,0,77,jun,2023
          District of Columbia          ,290,13,0,0,277,jun,2023
          Florida                       ,18825,12569,270,50,5936,jun,2023
          Georgia                       ,5758,4379,44,62,1273,jun,2023
          Maryland                      ,1210,1074,2,0,134,jun,2023
          North Carolina                ,7820,6012,122,6,1680,jun,2023
          South Carolina                ,3778,3505,56,29,188,jun,2023
          Virginia                      ,3252,1893,38,6,1315,jun,2023
          West Virginia                 ,320,281,4,8,27,jun,2023
     East South Central Division   ,7456,6274,140,99,943,jun,2023
          Alabama                       ,1853,1621,50,6,176,jun,2023
          Kentucky                      ,1157,835,52,33,237,jun,2023
          Mississippi                   ,658,628,4,9,17,jun,2023
          Tennessee                     ,3788,3190,34,51,513,jun,2023
     West South Central Division   ,23997,16924,470,325,6278,jun,2023
          Arkansas                      ,1313,1013,78,26,196,jun,2023
          Louisiana                     ,1270,1140,38,3,89,jun,2023
          Oklahoma                      ,970,893,42,3,32,jun,2023
          Texas                         ,20444,13878,312,293,5961,jun,2023
West Region                   ,32870,20240,1100,655,10875,jun,2023
     Mountain Division             ,14425,10410,714,343,2958,jun,2023
          Arizona                       ,3840,3035,456,103,246,jun,2023
          Colorado                      ,3515,2071,114,55,1275,jun,2023
          Idaho                         ,1687,1274,52,72,289,jun,2023
          Montana                       ,443,213,28,59,143,jun,2023
          Nevada                        ,1528,1305,14,24,185,jun,2023
          New Mexico                    ,834,716,14,0,104,jun,2023
          Utah                          ,2416,1649,24,27,716,jun,2023
          Wyoming                       ,162,147,12,3,0,jun,2023
     Pacific Division              ,18445,9830,386,312,7917,jun,2023
          Alaska                        ,94,48,2,4,40,jun,2023
