Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States                 ,119125,79446,2522,1568,35589,feb,2024
Northeast Region              ,14317,4238,476,193,9410,feb,2024
     New England Division          ,2551,1122,120,52,1257,feb,2024
          Connecticut                   ,312,147,22,4,139,feb,2024
          Maine                         ,367,267,18,7,75,feb,2024
          Massachusetts                 ,1303,383,36,32,852,feb,2024
          New Hampshire                 ,286,188,6,3,89,feb,2024
          Rhode Island                  ,115,55,34,3,23,feb,2024
          Vermont                       ,168,82,4,3,79,feb,2024
     Middle Atlantic Division      ,11766,3116,356,141,8153,feb,2024
          New Jersey                    ,3727,1278,220,49,2180,feb,2024
          New York                      ,6159,666,120,51,5322,feb,2024
          Pennsylvania                  ,1880,1172,16,41,651,feb,2024
Midwest Region                ,14294,8798,470,428,4598,feb,2024
     East North Central Division   ,9007,5325,236,159,3287,feb,2024
          Illinois                      ,982,657,22,28,275,feb,2024
          Indiana                       ,2000,1458,44,42,456,feb,2024
          Michigan                      ,1405,999,32,13,361,feb,2024
          Ohio                          ,2361,1355,44,69,893,feb,2024
          Wisconsin                     ,2259,856,94,7,1302,feb,2024
     West North Central Division   ,5287,3473,234,269,1311,feb,2024
          Iowa                          ,708,562,26,18,102,feb,2024
          Kansas                        ,852,409,102,51,290,feb,2024
          Minnesota                     ,1236,845,22,3,366,feb,2024
          Missouri                      ,1273,904,36,158,175,feb,2024
          Nebraska                      ,851,518,42,16,275,feb,2024
          North Dakota                  ,54,38,0,16,0,feb,2024
          South Dakota                  ,313,197,6,7,103,feb,2024
South Region                  ,64913,49469,972,706,13766,feb,2024
     South Atlantic Division       ,36336,27225,360,347,8404,feb,2024
          Delaware                      ,548,525,18,0,5,feb,2024
          District of Columbia          ,83,11,8,0,64,feb,2024
          Florida                       ,13285,9980,158,141,3006,feb,2024
          Georgia                       ,5397,4030,70,162,1135,feb,2024
          Maryland                      ,1415,875,0,0,540,feb,2024
          North Carolina                ,8004,5757,74,17,2156,feb,2024
          South Carolina                ,4143,3639,12,24,468,feb,2024
          Virginia                      ,3141,2099,20,3,1019,feb,2024
          West Virginia                 ,320,309,0,0,11,feb,2024
     East South Central Division   ,8129,5892,86,122,2029,feb,2024
          Alabama                       ,1574,1495,8,8,63,feb,2024
          Kentucky                      ,1619,736,44,36,803,feb,2024
          Mississippi                   ,640,608,18,3,11,feb,2024
          Tennessee                     ,4296,3053,16,75,1152,feb,2024
     West South Central Division   ,20448,16352,526,237,3333,feb,2024
          Arkansas                      ,1089,873,66,40,110,feb,2024
          Louisiana                     ,1239,1028,52,0,159,feb,2024
          Oklahoma                      ,922,855,50,6,11,feb,2024
          Texas                         ,17198,13596,358,191,3053,feb,2024
West Region                   ,25601,16941,604,241,7815,feb,2024
     Mountain Division             ,13856,9835,292,145,3584,feb,2024
          Arizona                       ,4977,3726,124,11,1116,feb,2024
          Colorado                      ,3079,1801,112,34,1132,feb,2024
          Idaho                         ,1239,1059,6,40,134,feb,2024
          Montana                       ,302,174,10,17,101,feb,2024
          Nevada                        ,1773,1148,4,21,600,feb,2024
          New Mexico                    ,784,640,20,4,120,feb,2024
          Utah                          ,1580,1172,12,15,381,feb,2024
          Wyoming                       ,122,115,4,3,0,feb,2024
     Pacific Division              ,11745,7106,312,96,4231,feb,2024
          Alaska                        ,35,30,2,3,0,feb,2024
          California                    ,7745,4587,170,65,2923,feb,2024
          Hawaii                        ,384,174,10,0,200,feb,2024
          Oregon                        ,873,767,20,7,79,feb,2024
          Washington                    ,2708,1548,110,21,1029,feb,2024
United States                 ,124318,85199,2774,1510,34835,mar,2024
Northeast Region              ,12440,4403,510,244,7283,mar,2024
     New England Division          ,3061,1272,98,67,1624,mar,2024
          Connecticut                   ,297,157,6,6,128,mar,2024
          Maine                         ,568,345,28,11,184,mar,2024
          Massachusetts                 ,1507,401,30,22,1054,mar,2024
          New Hampshire                 ,431,221,6,15,189,mar,2024
          Rhode Island                  ,100,60,18,6,16,mar,2024
          Vermont                       ,158,88,10,7,53,mar,2024
     Middle Atlantic Division      ,9379,3131,412,177,5659,mar,2024
          New Jersey                    ,2826,991,102,73,1660,mar,2024
          New York                      ,4060,806,112,37,3105,mar,2024
          Pennsylvania                  ,2493,1334,198,67,894,mar,2024
Midwest Region                ,15877,10626,632,284,4335,mar,2024
     East North Central Division   ,9646,6541,310,148,2647,mar,2024
          Illinois                      ,2175,873,20,43,1239,mar,2024
          Indiana                       ,2214,1656,38,26,494,mar,2024
          Michigan                      ,1525,1250,42,34,199,mar,2024
          Ohio                          ,2253,1668,64,45,476,mar,2024
          Wisconsin                     ,1479,1094,146,0,239,mar,2024
     West North Central Division   ,6231,4085,322,136,1688,mar,2024
          Iowa                          ,917,753,56,11,97,mar,2024
          Kansas                        ,897,427,132,10,328,mar,2024
          Minnesota                     ,1519,954,20,4,541,mar,2024
          Missouri                      ,1356,1092,76,82,106,mar,2024
          Nebraska                      ,786,482,22,13,269,mar,2024
          North Dakota                  ,117,106,0,6,5,mar,2024
          South Dakota                  ,639,271,16,10,342,mar,2024
South Region                  ,67235,51240,942,619,14434,mar,2024
     South Atlantic Division       ,38110,28789,354,234,8733,mar,2024
          Delaware                      ,596,556,20,0,20,mar,2024
          District of Columbia          ,105,31,2,0,72,mar,2024
          Florida                       ,14849,10648,132,96,3973,mar,2024
          Georgia                       ,6443,4568,104,102,1669,mar,2024
          Maryland                      ,1662,1140,2,3,517,mar,2024
          North Carolina                ,7680,6101,44,15,1520,mar,2024
