Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
Texas                         ,19293,12801,346,223,5923,mar,2020
West Region                   ,29582,18038,490,512,10542,mar,2020
Mountain Division             ,15229,10633,174,251,4171,mar,2020
Arizona                       ,4463,3276,28,16,1143,mar,2020
Colorado                      ,3748,2734,10,119,885,mar,2020
Idaho                         ,1373,992,24,26,331,mar,2020
Montana                       ,323,225,14,31,53,mar,2020
Nevada                        ,1712,1204,66,30,412,mar,2020
New Mexico                    ,431,411,0,0,20,mar,2020
Utah                          ,3056,1690,30,22,1314,mar,2020
Wyoming                       ,123,101,2,7,13,mar,2020
Pacific Division              ,14353,7405,316,261,6371,mar,2020
Alaska                        ,42,34,8,0,0,mar,2020
California                    ,7949,4273,174,157,3345,mar,2020
Hawaii                        ,343,205,2,3,133,mar,2020
Oregon                        ,2143,880,24,13,1226,mar,2020
Washington                    ,3876,2013,108,88,1667,mar,2020
United States                 ,95951,63343,1710,1117,29781,apr,2020
Northeast Region              ,4868,2911,132,109,1716,apr,2020
New England Division          ,1854,1336,32,20,466,apr,2020
Connecticut                   ,401,325,6,0,70,apr,2020
Maine                         ,481,311,6,0,164,apr,2020
Massachusetts                 ,548,360,10,9,169,apr,2020
New Hampshire                 ,231,216,6,4,5,apr,2020
Rhode Island                  ,74,68,2,4,0,apr,2020
Vermont                       ,119,56,2,3,58,apr,2020
Middle Atlantic Division      ,3014,1575,100,89,1250,apr,2020
New Jersey                    ,1227,583,64,50,530,apr,2020
New York                      ,1077,413,18,16,630,apr,2020
Pennsylvania                  ,710,579,18,23,90,apr,2020
Midwest Region                ,13842,9115,308,182,4237,apr,2020
East North Central Division   ,7418,4920,160,110,2228,apr,2020
Illinois                      ,1382,719,38,48,577,apr,2020
Indiana                       ,2064,1318,28,4,714,apr,2020
Michigan                      ,727,474,4,8,241,apr,2020
Ohio                          ,1900,1420,22,38,420,apr,2020
Wisconsin                     ,1345,989,68,12,276,apr,2020
West North Central Division   ,6424,4195,148,72,2009,apr,2020
Iowa                          ,858,682,12,0,164,apr,2020
Kansas                        ,580,406,36,4,134,apr,2020
Minnesota                     ,2107,1279,42,0,786,apr,2020
Missouri                      ,1226,939,34,57,196,apr,2020
Nebraska                      ,829,433,16,4,376,apr,2020
North Dakota                  ,419,188,4,0,227,apr,2020
South Dakota                  ,405,268,4,7,126,apr,2020
South Region                  ,54588,38430,804,395,14959,apr,2020
South Atlantic Division       ,27823,20851,356,154,6462,apr,2020
Delaware                      ,536,437,8,0,91,apr,2020
District of Columbia          ,256,8,4,0,244,apr,2020
Florida                       ,12223,8135,212,94,3782,apr,2020
Georgia                       ,3117,2891,6,10,210,apr,2020
Maryland                      ,1131,878,2,18,233,apr,2020
North Carolina                ,4886,4172,38,0,676,apr,2020
South Carolina                ,2717,2494,2,0,221,apr,2020
Virginia                      ,2635,1618,82,29,906,apr,2020
West Virginia                 ,322,218,2,3,99,apr,2020
East South Central Division   ,6881,5041,40,148,1652,apr,2020
Alabama                       ,1665,1298,4,13,350,apr,2020
Kentucky                      ,778,650,12,35,81,apr,2020
Mississippi                   ,695,645,2,6,42,apr,2020
Tennessee                     ,3743,2448,22,94,1179,apr,2020
West South Central Division   ,19884,12538,408,93,6845,apr,2020
Arkansas                      ,1099,637,94,27,341,apr,2020
Louisiana                     ,1208,1106,52,3,47,apr,2020
Oklahoma                      ,1059,1020,28,3,8,apr,2020
Texas                         ,16518,9775,234,60,6449,apr,2020
West Region                   ,22653,12887,466,431,8869,apr,2020
Mountain Division             ,11811,8042,206,165,3398,apr,2020
Arizona                       ,3316,2462,16,12,826,apr,2020
Colorado                      ,3284,1913,12,11,1348,apr,2020
Idaho                         ,1055,920,36,8,91,apr,2020
Montana                       ,317,172,44,64,37,apr,2020
Nevada                        ,1032,681,58,13,280,apr,2020
New Mexico                    ,361,300,0,3,58,apr,2020
Utah                          ,2228,1465,38,48,677,apr,2020
Wyoming                       ,218,129,2,6,81,apr,2020
Pacific Division              ,10842,4845,260,266,5471,apr,2020
Alaska                        ,98,73,10,3,12,apr,2020
California                    ,5987,2845,150,134,2858,apr,2020
Hawaii                        ,241,141,2,3,95,apr,2020
Oregon                        ,1800,643,20,17,1120,apr,2020
Washington                    ,2716,1143,78,109,1386,apr,2020
United States                 ,119985,79486,2370,1631,36498,nov,2020
Northeast Region              ,12509,5069,450,300,6690,nov,2020
New England Division          ,3262,1604,104,43,1511,nov,2020
Connecticut                   ,446,279,12,4,151,nov,2020
Maine                         ,408,385,4,3,16,nov,2020
Massachusetts                 ,1677,516,56,16,1089,nov,2020
New Hampshire                 ,448,255,12,8,173,nov,2020
Rhode Island                  ,117,85,16,4,12,nov,2020
Vermont                       ,166,84,4,8,70,nov,2020
Middle Atlantic Division      ,9247,3465,346,257,5179,nov,2020
New Jersey                    ,3198,984,192,45,1977,nov,2020
New York                      ,3682,974,112,54,2542,nov,2020
Pennsylvania                  ,2367,1507,42,158,660,nov,2020
Midwest Region                ,16791,10287,422,162,5920,nov,2020
East North Central Division   ,9055,5964,226,65,2800,nov,2020
Illinois                      ,1336,776,26,25,509,nov,2020
Indiana                       ,1834,1555,38,10,231,nov,2020
Michigan                      ,2133,1213,88,6,826,nov,2020
Ohio                          ,2254,1524,22,21,687,nov,2020
Wisconsin                     ,1498,896,52,3,547,nov,2020
West North Central Division   ,7736,4323,196,97,3120,nov,2020
Iowa                          ,1065,803,46,4,212,nov,2020
Kansas                        ,532,496,18,0,18,nov,2020
Minnesota                     ,2402,1256,16,7,1123,nov,2020
Missouri                      ,1615,943,10,59,603,nov,2020
Nebraska                      ,1020,459,90,0,471,nov,2020
North Dakota                  ,248,104,8,0,136,nov,2020
South Dakota                  ,854,262,8,27,557,nov,2020
South Region                  ,61452,45462,698,409,14883,nov,2020
South Atlantic Division       ,32523,24576,242,142,7563,nov,2020
Delaware                      ,561,525,30,0,6,nov,2020
District of Columbia          ,626,16,0,0,610,nov,2020
Florida                       ,11634,9439,140,89,1966,nov,2020
Georgia                       ,4499,3885,28,24,562,nov,2020
Maryland                      ,1403,1002,0,15,386,nov,2020
North Carolina                ,7200,4724,10,3,2463,nov,2020
South Carolina                ,3805,2826,22,3,954,nov,2020
Virginia                      ,2521,1944,12,4,561,nov,2020
West Virginia                 ,274,215,0,4,55,nov,2020
East South Central Division   ,7218,5278,26,105,1809,nov,2020
Alabama                       ,1338,1254,4,12,68,nov,2020
Kentucky                      ,1113,745,16,10,342,nov,2020
Mississippi                   ,653,583,0,30,40,nov,2020
Tennessee                     ,4114,2696,6,53,1359,nov,2020
West South Central Division   ,21711,15608,430,162,5511,nov,2020
Arkansas                      ,1307,698,82,58,469,nov,2020
Louisiana                     ,1342,1247,52,3,40,nov,2020
Oklahoma                      ,1109,988,18,0,103,nov,2020
Texas                         ,17953,12675,278,101,4899,nov,2020
West Region                   ,29233,18668,800,760,9005,nov,2020
Mountain Division             ,15311,11039,338,301,3633,nov,2020
Arizona                       ,4580,3437,104,19,1020,nov,2020
Colorado                      ,3690,2731,108,40,811,nov,2020
Idaho                         ,1490,1130,30,26,304,nov,2020
Montana                       ,274,187,36,20,31,nov,2020
Nevada                        ,1943,1088,16,108,731,nov,2020
New Mexico                    ,407,376,0,3,28,nov,2020
Utah                          ,2783,1953,40,82,708,nov,2020
Wyoming                       ,144,137,4,3,0,nov,2020
Pacific Division              ,13922,7629,462,459,5372,nov,2020
Alaska                        ,124,101,2,9,12,nov,2020
California                    ,8367,4654,252,136,3325,nov,2020
Hawaii                        ,385,165,0,36,184,nov,2020
Oregon                        ,1377,943,26,0,408,nov,2020
Washington                    ,3669,1766,182,278,1443,nov,2020
United States                 ,112849,70386,1740,1247,39476,jan,2020
Northeast Region              ,12329,4125,346,251,7607,jan,2020
New England Division          ,2723,1178,90,47,1408,jan,2020
Connecticut                   ,278,178,22,0,78,jan,2020
Maine                         ,234,172,6,0,56,jan,2020
Massachusetts                 ,1806,531,46,43,1186,jan,2020
New Hampshire                 ,231,172,4,4,51,jan,2020
Rhode Island                  ,91,78,8,0,5,jan,2020
Vermont                       ,83,47,4,0,32,jan,2020
Middle Atlantic Division      ,9606,2947,256,204,6199,jan,2020
New Jersey                    ,2407,1059,96,111,1141,jan,2020
New York                      ,4991,605,78,36,4272,jan,2020
Pennsylvania                  ,2208,1283,82,57,786,jan,2020
Midwest Region                ,12080,6829,264,147,4840,jan,2020
East North Central Division   ,7338,4283,126,98,2831,jan,2020
Illinois                      ,1142,554,28,28,532,jan,2020
Indiana                       ,1304,1116,10,11,167,jan,2020
Michigan                      ,1366,938,8,26,394,jan,2020
Ohio                          ,2624,1065,22,33,1504,jan,2020
Wisconsin                     ,902,610,58,0,234,jan,2020
West North Central Division   ,4742,2546,138,49,2009,jan,2020
Iowa                          ,511,384,8,0,119,jan,2020
Kansas                        ,512,335,32,23,122,jan,2020
Minnesota                     ,1577,634,4,3,936,jan,2020
Missouri                      ,1371,737,86,4,544,jan,2020
Nebraska                      ,600,321,6,12,261,jan,2020
North Dakota                  ,36,36,0,0,0,jan,2020
South Dakota                  ,135,99,2,7,27,jan,2020
South Region                  ,60617,42624,736,438,16819,jan,2020
South Atlantic Division       ,32855,23114,424,160,9157,jan,2020
Delaware                      ,538,487,32,0,19,jan,2020
District of Columbia          ,682,5,12,0,665,jan,2020
Florida                       ,14395,9265,178,77,4875,jan,2020
Georgia                       ,4431,3380,56,25,970,jan,2020
Maryland                      ,1448,1037,14,18,379,jan,2020
North Carolina                ,5553,4272,12,4,1265,jan,2020
South Carolina                ,2868,2602,36,3,227,jan,2020
Virginia                      ,2671,1854,82,33,702,jan,2020
West Virginia                 ,269,212,2,0,55,jan,2020
East South Central Division   ,6930,5323,72,47,1488,jan,2020
Alabama                       ,1548,1303,12,21,212,jan,2020
Kentucky                      ,1157,686,16,11,444,jan,2020
Mississippi                   ,665,633,8,3,21,jan,2020
Tennessee                     ,3560,2701,36,12,811,jan,2020
West South Central Division   ,20832,14187,240,231,6174,jan,2020
Arkansas                      ,842,663,54,27,98,jan,2020
Louisiana                     ,1259,1143,24,4,88,jan,2020
Oklahoma                      ,846,804,20,0,22,jan,2020
Texas                         ,17885,11577,142,200,5966,jan,2020
West Region                   ,27823,16808,394,411,10210,jan,2020
Mountain Division             ,14217,9224,96,264,4633,jan,2020
Arizona                       ,5080,3111,26,35,1908,jan,2020
Colorado                      ,3242,1926,14,9,1293,jan,2020
Idaho                         ,1424,811,12,4,597,jan,2020
Montana                       ,299,171,28,73,27,jan,2020
Nevada                        ,1610,1301,2,91,216,jan,2020
New Mexico                    ,371,348,0,3,20,jan,2020
Utah                          ,2088,1469,14,49,556,jan,2020
Wyoming                       ,103,87,0,0,16,jan,2020
Pacific Division              ,13606,7584,298,147,5577,jan,2020
Alaska                        ,109,86,6,3,14,jan,2020
California                    ,8673,4842,160,69,3602,jan,2020
Hawaii                        ,151,143,8,0,0,jan,2020
Oregon                        ,1058,735,30,3,290,jan,2020
Washington                    ,3615,1778,94,72,1671,jan,2020
United States                 ,135416,92073,2418,1785,39140,jul,2020
Northeast Region              ,12726,5653,320,327,6426,jul,2020
New England Division          ,3234,1832,78,54,1270,jul,2020
Connecticut                   ,501,250,4,4,243,jul,2020
Maine                         ,566,386,14,11,155,jul,2020
Massachusetts                 ,1515,677,34,36,768,jul,2020
New Hampshire                 ,343,330,8,0,5,jul,2020
Rhode Island                  ,89,67,14,3,5,jul,2020
Vermont                       ,220,122,4,0,94,jul,2020
Middle Atlantic Division      ,9492,3821,242,273,5156,jul,2020
New Jersey                    ,2920,947,94,127,1752,jul,2020
New York                      ,3775,1131,92,30,2522,jul,2020
Pennsylvania                  ,2797,1743,56,116,882,jul,2020
Midwest Region                ,21315,13408,462,293,7152,jul,2020
East North Central Division   ,11827,7577,244,198,3808,jul,2020
Illinois                      ,1973,1032,24,94,823,jul,2020
Indiana                       ,2518,1809,62,11,636,jul,2020
Michigan                      ,2038,1667,36,19,316,jul,2020
Ohio                          ,2931,1824,40,71,996,jul,2020
Wisconsin                     ,2367,1245,82,3,1037,jul,2020
West North Central Division   ,9488,5831,218,95,3344,jul,2020
Iowa                          ,1484,1236,6,16,226,jul,2020
Kansas                        ,1034,537,46,8,443,jul,2020
Minnesota                     ,2969,1803,36,22,1108,jul,2020
Missouri                      ,2243,1120,106,27,990,jul,2020
Nebraska                      ,699,586,2,12,99,jul,2020
North Dakota                  ,457,216,18,6,217,jul,2020
South Dakota                  ,602,333,4,4,261,jul,2020
South Region                  ,68728,51388,886,685,15769,jul,2020
South Atlantic Division       ,35148,27348,420,348,7032,jul,2020
Delaware                      ,823,612,48,4,159,jul,2020
District of Columbia          ,414,15,2,4,393,jul,2020
Florida                       ,13053,9864,236,163,2790,jul,2020
Georgia                       ,4552,4200,34,30,288,jul,2020
Maryland                      ,1294,1114,0,17,163,jul,2020
North Carolina                ,6122,5328,20,70,704,jul,2020
South Carolina                ,4137,3468,44,3,622,jul,2020
Virginia                      ,4380,2509,30,27,1814,jul,2020
West Virginia                 ,373,238,6,30,99,jul,2020
East South Central Division   ,9487,6403,68,125,2891,jul,2020
Alabama                       ,2037,1505,12,85,435,jul,2020
Kentucky                      ,984,859,14,12,99,jul,2020
Mississippi                   ,830,778,4,6,42,jul,2020
Tennessee                     ,5636,3261,38,22,2315,jul,2020
West South Central Division   ,24093,17637,398,212,5846,jul,2020
Arkansas                      ,1102,799,80,106,117,jul,2020
Louisiana                     ,1554,1385,46,6,117,jul,2020
Oklahoma                      ,1254,1122,36,0,96,jul,2020
Texas                         ,20183,14331,236,100,5516,jul,2020
West Region                   ,32647,21624,750,480,9793,jul,2020
Mountain Division             ,16906,12758,420,263,3465,jul,2020
Arizona                       ,5758,4002,132,50,1574,jul,2020
Colorado                      ,4117,3444,54,14,605,jul,2020
Idaho                         ,1399,1200,6,19,174,jul,2020
Montana                       ,462,245,28,19,170,jul,2020
Nevada                        ,1962,1458,172,64,268,jul,2020
New Mexico                    ,455,392,2,3,58,jul,2020
Utah                          ,2522,1836,18,88,580,jul,2020
Wyoming                       ,231,181,8,6,36,jul,2020
Pacific Division              ,15741,8866,330,217,6328,jul,2020
Alaska                        ,135,112,6,4,13,jul,2020
California                    ,10350,5243,182,93,4832,jul,2020
Hawaii                        ,261,259,2,0,0,jul,2020
Oregon                        ,1421,950,20,23,428,jul,2020
Washington                    ,3574,2302,120,97,1055,jul,2020
United States                 ,123999,84270,2324,1569,35836,jun,2020
Northeast Region              ,12886,5790,438,276,6382,jun,2020
New England Division          ,3525,2012,146,49,1318,jun,2020
Connecticut                   ,382,252,24,4,102,jun,2020
Maine                         ,607,518,42,3,44,jun,2020
Massachusetts                 ,1760,617,56,16,1071,jun,2020
New Hampshire                 ,391,321,12,4,54,jun,2020
Rhode Island                  ,151,89,6,22,34,jun,2020
Vermont                       ,234,215,6,0,13,jun,2020
Middle Atlantic Division      ,9361,3778,292,227,5064,jun,2020
New Jersey                    ,3329,1068,68,68,2125,jun,2020
New York                      ,3832,1107,100,25,2600,jun,2020
Pennsylvania                  ,2200,1603,124,134,339,jun,2020
Midwest Region                ,18244,12865,368,255,4756,jun,2020
East North Central Division   ,9756,7323,280,169,1984,jun,2020
Illinois                      ,1480,967,56,42,415,jun,2020
Indiana                       ,2286,1826,92,4,364,jun,2020
Michigan                      ,1807,1587,2,6,212,jun,2020
Ohio                          ,2486,1644,58,92,692,jun,2020
Wisconsin                     ,1697,1299,72,25,301,jun,2020
West North Central Division   ,8488,5542,88,86,2772,jun,2020
Iowa                          ,1417,1070,10,11,326,jun,2020
Kansas                        ,537,496,20,0,21,jun,2020
Minnesota                     ,3016,1595,8,11,1402,jun,2020
Missouri                      ,1522,1105,22,47,348,jun,2020
Nebraska                      ,822,537,8,4,273,jun,2020
North Dakota                  ,433,237,10,9,177,jun,2020
South Dakota                  ,741,502,10,4,225,jun,2020
South Region                  ,63427,45374,888,624,16541,jun,2020
South Atlantic Division       ,34131,23780,408,224,9719,jun,2020
Delaware                      ,624,500,18,12,94,jun,2020
District of Columbia          ,1025,13,4,0,1008,jun,2020
Florida                       ,12709,8764,226,71,3648,jun,2020
Georgia                       ,4278,3616,36,23,603,jun,2020
Maryland                      ,1423,1075,0,8,340,jun,2020
North Carolina                ,7052,4745,8,14,2285,jun,2020
South Carolina                ,3624,2978,52,3,591,jun,2020
Virginia                      ,3034,1850,62,63,1059,jun,2020
West Virginia                 ,362,239,2,30,91,jun,2020
East South Central Division   ,7754,5860,120,101,1673,jun,2020
Alabama                       ,1684,1377,16,16,275,jun,2020
Kentucky                      ,1215,864,38,22,291,jun,2020
Mississippi                   ,861,801,8,10,42,jun,2020
Tennessee                     ,3994,2818,58,53,1065,jun,2020
West South Central Division   ,21542,15734,360,299,5149,jun,2020
Arkansas                      ,967,708,36,125,98,jun,2020
Louisiana                     ,1751,1482,38,6,225,jun,2020
Oklahoma                      ,1223,1164,42,3,14,jun,2020
Texas                         ,17601,12380,244,165,4812,jun,2020
West Region                   ,29442,20241,630,414,8157,jun,2020
Mountain Division             ,15176,11170,290,209,3507,jun,2020
Arizona                       ,5394,3485,120,43,1746,jun,2020
Colorado                      ,3644,2822,40,12,770,jun,2020
Idaho                         ,1441,1143,34,20,244,jun,2020
Montana                       ,305,195,60,0,50,jun,2020
Nevada                        ,1437,992,14,73,358,jun,2020
New Mexico                    ,460,447,0,3,10,jun,2020
Utah                          ,2305,1906,18,52,329,jun,2020
Wyoming                       ,190,180,4,6,0,jun,2020
Pacific Division              ,14266,9071,340,205,4650,jun,2020
Alaska                        ,147,114,2,4,27,jun,2020
California                    ,8844,5741,194,110,2799,jun,2020
Hawaii                        ,366,194,0,3,169,jun,2020
Oregon                        ,1511,890,56,3,562,jun,2020
Washington                    ,3398,2132,88,85,1093,jun,2020
United States                 ,133313,94718,2546,1323,34726,sep,2020
Northeast Region              ,13156,6438,336,153,6229,sep,2020
New England Division          ,3612,2202,80,27,1303,sep,2020
Connecticut                   ,820,428,2,8,382,sep,2020
Maine                         ,686,562,12,0,112,sep,2020
Massachusetts                 ,1404,641,26,12,725,sep,2020
New Hampshire                 ,394,344,2,0,48,sep,2020
Rhode Island                  ,136,85,32,4,15,sep,2020
Vermont                       ,172,142,6,3,21,sep,2020
Middle Atlantic Division      ,9544,4236,256,126,4926,sep,2020
New Jersey                    ,3286,1137,98,47,2004,sep,2020
New York                      ,3996,1332,90,36,2538,sep,2020
Pennsylvania                  ,2262,1767,68,43,384,sep,2020
