Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States                 ,133600,88538,2096,1435,41531,dec,2020
Northeast Region              ,12502,5230,320,226,6726,dec,2020
New England Division          ,3116,1621,56,107,1332,dec,2020
Connecticut                   ,395,253,6,0,136,dec,2020
Maine                         ,375,358,8,4,5,dec,2020
Massachusetts                 ,1762,641,16,96,1009,dec,2020
New Hampshire                 ,342,183,8,4,147,dec,2020
Rhode Island                  ,119,90,18,3,8,dec,2020
Vermont                       ,123,96,0,0,27,dec,2020
Middle Atlantic Division      ,9386,3609,264,119,5394,dec,2020
New Jersey                    ,3112,1084,72,40,1916,dec,2020
New York                      ,3941,1046,98,47,2750,dec,2020
Pennsylvania                  ,2333,1479,94,32,728,dec,2020
Midwest Region                ,16034,10275,320,187,5252,dec,2020
East North Central Division   ,8761,6081,144,143,2393,dec,2020
Illinois                      ,1284,753,12,47,472,dec,2020
Indiana                       ,1843,1584,24,8,227,dec,2020
Michigan                      ,2167,1422,48,7,690,dec,2020
Ohio                          ,2498,1572,44,53,829,dec,2020
Wisconsin                     ,969,750,16,28,175,dec,2020
West North Central Division   ,7273,4194,176,44,2859,dec,2020
Iowa                          ,1115,733,32,3,347,dec,2020
Kansas                        ,824,452,60,0,312,dec,2020
Minnesota                     ,2847,1255,48,4,1540,dec,2020
Missouri                      ,1241,1028,18,15,180,dec,2020
Nebraska                      ,730,418,2,3,307,dec,2020
North Dakota                  ,168,55,16,0,97,dec,2020
South Dakota                  ,348,253,0,19,76,dec,2020
South Region                  ,66886,51291,852,515,14228,dec,2020
South Atlantic Division       ,35725,27450,322,204,7749,dec,2020
Delaware                      ,830,784,38,3,5,dec,2020
District of Columbia          ,1224,8,16,0,1200,dec,2020
Florida                       ,14402,11019,154,66,3163,dec,2020
Georgia                       ,4564,4024,18,53,469,dec,2020
Maryland                      ,1785,1155,24,3,603,dec,2020
North Carolina                ,6018,4642,14,46,1316,dec,2020
South Carolina                ,4046,3470,56,33,487,dec,2020
Virginia                      ,2612,2156,0,0,456,dec,2020
West Virginia                 ,244,192,2,0,50,dec,2020
East South Central Division   ,6970,5723,32,140,1075,dec,2020
Alabama                       ,1555,1467,8,15,65,dec,2020
Kentucky                      ,907,733,10,3,161,dec,2020
Mississippi                   ,629,586,2,9,32,dec,2020
Tennessee                     ,3879,2937,12,113,817,dec,2020
West South Central Division   ,24191,18118,498,171,5404,dec,2020
Arkansas                      ,873,757,50,42,24,dec,2020
Louisiana                     ,1514,1407,62,6,39,dec,2020
Oklahoma                      ,1169,1069,22,8,70,dec,2020
Texas                         ,20635,14885,364,115,5271,dec,2020
West Region                   ,38178,21742,604,507,15325,dec,2020
Mountain Division             ,19210,12618,292,212,6088,dec,2020
Arizona                       ,6350,4229,90,24,2007,dec,2020
Colorado                      ,5336,3215,52,19,2050,dec,2020
Idaho                         ,1637,1195,26,36,380,dec,2020
Montana                       ,580,248,42,10,280,dec,2020
Nevada                        ,2141,1573,48,33,487,dec,2020
New Mexico                    ,391,343,0,0,48,dec,2020
Utah                          ,2561,1693,32,75,761,dec,2020
Wyoming                       ,214,122,2,15,75,dec,2020
Pacific Division              ,18968,9124,312,295,9237,dec,2020
Alaska                        ,135,102,4,8,21,dec,2020
California                    ,12584,5859,180,198,6347,dec,2020
Hawaii                        ,383,214,2,4,163,dec,2020
Oregon                        ,1564,998,28,0,538,dec,2020
Washington                    ,4302,1951,98,85,2168,dec,2020
United States                 ,100240,70845,1842,1367,26186,feb,2020
Northeast Region              ,7906,3951,300,224,3431,feb,2020
New England Division          ,2014,1180,56,35,743,feb,2020
Connecticut                   ,442,208,4,11,219,feb,2020
Maine                         ,254,217,8,0,29,feb,2020
Massachusetts                 ,850,395,26,18,411,feb,2020
New Hampshire                 ,277,195,14,0,68,feb,2020
Rhode Island                  ,89,85,4,0,0,feb,2020
Vermont                       ,102,80,0,6,16,feb,2020
Middle Atlantic Division      ,5892,2771,244,189,2688,feb,2020
New Jersey                    ,1757,1050,120,23,564,feb,2020
New York                      ,2180,577,58,51,1494,feb,2020
Pennsylvania                  ,1955,1144,66,115,630,feb,2020
Midwest Region                ,10340,7158,218,154,2810,feb,2020
East North Central Division   ,6203,4424,74,64,1641,feb,2020
Illinois                      ,1247,575,8,39,625,feb,2020
Indiana                       ,1187,1128,16,6,37,feb,2020
Michigan                      ,1155,967,4,10,174,feb,2020
Ohio                          ,1698,1121,14,6,557,feb,2020
Wisconsin                     ,916,633,32,3,248,feb,2020
West North Central Division   ,4137,2734,144,90,1169,feb,2020
Iowa                          ,438,425,4,0,9,feb,2020
Kansas                        ,523,351,68,16,88,feb,2020
Minnesota                     ,1015,648,22,7,338,feb,2020
Missouri                      ,1339,769,38,59,473,feb,2020
Nebraska                      ,568,331,12,8,217,feb,2020
North Dakota                  ,47,47,0,0,0,feb,2020
South Dakota                  ,207,163,0,0,44,feb,2020
South Region                  ,55115,41548,816,401,12350,feb,2020
South Atlantic Division       ,29742,22554,352,151,6685,feb,2020
Delaware                      ,578,521,28,6,23,feb,2020
District of Columbia          ,336,7,22,0,307,feb,2020
Florida                       ,12111,8649,194,91,3177,feb,2020
Georgia                       ,4183,3381,68,21,713,feb,2020
Maryland                      ,1246,1007,2,12,225,feb,2020
North Carolina                ,5691,4414,26,7,1244,feb,2020
South Carolina                ,2824,2625,2,0,197,feb,2020
Virginia                      ,2573,1775,8,14,776,feb,2020
West Virginia                 ,200,175,2,0,23,feb,2020
East South Central Division   ,6227,4740,88,89,1310,feb,2020
Alabama                       ,1380,1276,6,4,94,feb,2020
Kentucky                      ,891,605,52,12,222,feb,2020
Mississippi                   ,557,536,2,3,16,feb,2020
Tennessee                     ,3399,2323,28,70,978,feb,2020
West South Central Division   ,19146,14254,376,161,4355,feb,2020
Arkansas                      ,688,570,48,13,57,feb,2020
Louisiana                     ,1274,1176,26,7,65,feb,2020
Oklahoma                      ,909,847,42,3,17,feb,2020
Texas                         ,16275,11661,260,138,4216,feb,2020
West Region                   ,26879,18188,508,588,7595,feb,2020
Mountain Division             ,13643,9749,152,297,3445,feb,2020
Arizona                       ,4851,3090,40,9,1712,feb,2020
Colorado                      ,3121,2392,12,30,687,feb,2020
Idaho                         ,1244,1006,44,16,178,feb,2020
Montana                       ,273,169,16,29,59,feb,2020
Nevada                        ,1800,1166,30,83,521,feb,2020
New Mexico                    ,374,355,2,0,17,feb,2020
Utah                          ,1877,1486,6,114,271,feb,2020
Wyoming                       ,103,85,2,16,0,feb,2020
Pacific Division              ,13236,8439,356,291,4150,feb,2020
Alaska                        ,114,92,8,4,10,feb,2020
California                    ,8759,5635,240,199,2685,feb,2020
Hawaii                        ,182,137,6,0,39,feb,2020
Oregon                        ,888,736,38,4,110,feb,2020
Washington                    ,3293,1839,64,84,1306,feb,2020
United States                 ,115908,78268,2272,1605,33763,mar,2020
Northeast Region              ,9188,4403,454,333,3998,mar,2020
New England Division          ,2726,1373,200,53,1100,mar,2020
Connecticut                   ,643,223,14,0,406,mar,2020
Maine                         ,378,294,42,7,35,mar,2020
Massachusetts                 ,1105,510,118,26,451,mar,2020
New Hampshire                 ,290,201,14,6,69,mar,2020
Rhode Island                  ,97,79,4,14,0,mar,2020
Vermont                       ,213,66,8,0,139,mar,2020
Middle Atlantic Division      ,6462,3030,254,280,2898,mar,2020
New Jersey                    ,2762,1118,114,136,1394,mar,2020
New York                      ,1949,666,96,25,1162,mar,2020
Pennsylvania                  ,1751,1246,44,119,342,mar,2020
Midwest Region                ,13698,9075,278,144,4201,mar,2020
East North Central Division   ,7542,5240,144,82,2076,mar,2020
Illinois                      ,1850,695,22,32,1101,mar,2020
Indiana                       ,1664,1428,32,12,192,mar,2020
Michigan                      ,1134,1046,12,17,59,mar,2020
Ohio                          ,1449,1299,30,21,99,mar,2020
Wisconsin                     ,1445,772,48,0,625,mar,2020
West North Central Division   ,6156,3835,134,62,2125,mar,2020
Iowa                          ,979,678,24,3,274,mar,2020
Kansas                        ,427,390,22,0,15,mar,2020
Minnesota                     ,2216,972,8,7,1229,mar,2020
Missouri                      ,1187,883,32,14,258,mar,2020
Nebraska                      ,593,488,28,18,59,mar,2020
North Dakota                  ,261,155,16,0,90,mar,2020
South Dakota                  ,493,269,4,20,200,mar,2020
South Region                  ,63440,46752,1050,616,15022,mar,2020
South Atlantic Division       ,33456,24947,424,254,7831,mar,2020
Delaware                      ,593,556,14,7,16,mar,2020
District of Columbia          ,687,8,2,0,677,mar,2020
Florida                       ,13674,9641,222,77,3734,mar,2020
Georgia                       ,3814,3520,48,113,133,mar,2020
Maryland                      ,1604,923,6,19,656,mar,2020
North Carolina                ,6699,4932,24,4,1739,mar,2020
South Carolina                ,3460,3202,28,4,226,mar,2020
Virginia                      ,2632,1907,78,27,620,mar,2020
West Virginia                 ,293,258,2,3,30,mar,2020
East South Central Division   ,6401,5657,116,107,521,mar,2020
Alabama                       ,1573,1489,8,3,73,mar,2020
Kentucky                      ,895,689,52,49,105,mar,2020
Mississippi                   ,723,682,8,9,24,mar,2020
Tennessee                     ,3210,2797,48,46,319,mar,2020
West South Central Division   ,23583,16148,510,255,6670,mar,2020
Arkansas                      ,1143,690,74,21,358,mar,2020
Louisiana                     ,1674,1585,34,4,51,mar,2020
Oklahoma                      ,1473,1072,56,7,338,mar,2020
