Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
          Vermont                       ,171,132,4,0,35,aug,2021
     Middle Atlantic Division      ,10420,4153,184,272,5811,aug,2021
          New Jersey                    ,3039,1322,62,124,1531,aug,2021
          New York                      ,4764,1095,60,57,3552,aug,2021
          Pennsylvania                  ,2617,1736,62,91,728,aug,2021
Midwest Region                ,21232,11992,436,278,8526,aug,2021
     East North Central Division   ,11864,6862,278,124,4600,aug,2021
          Illinois                      ,1793,1197,38,54,504,aug,2021
          Indiana                       ,2317,1642,86,15,574,aug,2021
          Michigan                      ,1771,1321,30,17,403,aug,2021
          Ohio                          ,3526,1632,26,19,1849,aug,2021
          Wisconsin                     ,2457,1070,98,19,1270,aug,2021
     West North Central Division   ,9368,5130,158,154,3926,aug,2021
          Iowa                          ,1023,884,38,6,95,aug,2021
          Kansas                        ,808,492,22,4,290,aug,2021
          Minnesota                     ,3715,1614,16,15,2070,aug,2021
          Missouri                      ,2101,1062,10,88,941,aug,2021
          Nebraska                      ,638,515,8,4,111,aug,2021
          North Dakota                  ,286,229,52,0,5,aug,2021
          South Dakota                  ,797,334,12,37,414,aug,2021
South Region                  ,81979,53269,746,471,27493,aug,2021
     South Atlantic Division       ,46411,29529,376,255,16251,aug,2021
          Delaware                      ,627,595,20,0,12,aug,2021
          District of Columbia          ,360,43,0,0,317,aug,2021
          Florida                       ,22629,12876,226,139,9388,aug,2021
          Georgia                       ,5569,4043,18,50,1458,aug,2021
          Maryland                      ,1606,967,12,4,623,aug,2021
          North Carolina                ,8399,5645,40,49,2665,aug,2021
          South Carolina                ,3629,3176,4,6,443,aug,2021
          Virginia                      ,3265,1867,46,7,1345,aug,2021
          West Virginia                 ,327,317,10,0,0,aug,2021
     East South Central Division   ,8276,6159,58,27,2032,aug,2021
          Alabama                       ,1547,1380,18,10,139,aug,2021
          Kentucky                      ,1118,903,20,6,189,aug,2021
          Mississippi                   ,654,626,2,3,23,aug,2021
          Tennessee                     ,4957,3250,18,8,1681,aug,2021
     West South Central Division   ,27292,17581,312,189,9210,aug,2021
          Arkansas                      ,1092,938,16,17,121,aug,2021
          Louisiana                     ,1519,1413,22,6,78,aug,2021
          Oklahoma                      ,1377,1313,30,0,34,aug,2021
          Texas                         ,23304,13917,244,166,8977,aug,2021
West Region                   ,38066,22153,650,694,14569,aug,2021
     Mountain Division             ,19778,12968,334,245,6231,aug,2021
          Arizona                       ,4939,3702,120,46,1071,aug,2021
          Colorado                      ,5793,3099,60,79,2555,aug,2021
          Idaho                         ,1614,1206,26,42,340,aug,2021
          Montana                       ,511,302,44,10,155,aug,2021
          Nevada                        ,2182,1627,18,20,517,aug,2021
          New Mexico                    ,595,481,52,0,62,aug,2021
          Utah                          ,3867,2396,10,37,1424,aug,2021
          Wyoming                       ,277,155,4,11,107,aug,2021
     Pacific Division              ,18288,9185,316,449,8338,aug,2021
          Alaska                        ,145,103,4,4,34,aug,2021
          California                    ,9869,5628,160,156,3925,aug,2021
          Hawaii                        ,203,189,2,0,12,aug,2021
          Oregon                        ,1722,1107,38,38,539,aug,2021
          Washington                    ,6349,2158,112,251,3828,aug,2021
United States                 ,142251,99122,2816,1795,38518,may,2021
Northeast Region              ,13143,6132,376,253,6382,may,2021
New England Division          ,3805,2223,86,42,1454,may,2021
Connecticut                   ,329,275,4,0,50,may,2021
Maine                         ,745,601,30,6,108,may,2021
Massachusetts                 ,1840,645,24,29,1142,may,2021
New Hampshire                 ,571,434,4,0,133,may,2021
Rhode Island                  ,120,96,12,7,5,may,2021
Vermont                       ,200,172,12,0,16,may,2021
Middle Atlantic Division      ,9338,3909,290,211,4928,may,2021
New Jersey                    ,3108,1215,108,58,1727,may,2021
New York                      ,3573,1092,112,71,2298,may,2021
Pennsylvania                  ,2657,1602,70,82,903,may,2021
Midwest Region                ,20380,13106,452,228,6594,may,2021
East North Central Division   ,11044,7530,246,152,3116,may,2021
Illinois                      ,1460,944,32,43,441,may,2021
Indiana                       ,2357,2102,34,12,209,may,2021
Michigan                      ,1979,1506,20,26,427,may,2021
Ohio                          ,2932,1775,62,68,1027,may,2021
Wisconsin                     ,2316,1203,98,3,1012,may,2021
West North Central Division   ,9336,5576,206,76,3478,may,2021
Iowa                          ,944,868,12,8,56,may,2021
Kansas                        ,745,575,82,4,84,may,2021
Minnesota                     ,3823,1858,76,15,1874,may,2021
Missouri                      ,1592,1045,28,18,501,may,2021
Nebraska                      ,1074,582,2,20,470,may,2021
North Dakota                  ,496,243,2,0,251,may,2021
South Dakota                  ,662,405,4,11,242,may,2021
South Region                  ,74883,57964,1324,477,15118,may,2021
South Atlantic Division       ,40025,30841,672,208,8304,may,2021
Delaware                      ,944,632,54,0,258,may,2021
District of Columbia          ,403,87,10,3,303,may,2021
Florida                       ,17754,12702,414,76,4562,may,2021
Georgia                       ,5334,4614,86,20,614,may,2021
Maryland                      ,1356,976,20,11,349,may,2021
North Carolina                ,6860,5635,32,40,1153,may,2021
South Carolina                ,3928,3534,30,3,361,may,2021
Virginia                      ,3125,2357,22,55,691,may,2021
West Virginia                 ,321,304,4,0,13,may,2021
East South Central Division   ,9422,7043,118,100,2161,may,2021
Alabama                       ,1747,1659,20,16,52,may,2021
Kentucky                      ,1323,932,34,7,350,may,2021
Mississippi                   ,968,696,22,56,194,may,2021
Tennessee                     ,5384,3756,42,21,1565,may,2021
West South Central Division   ,25436,20080,534,169,4653,may,2021
Arkansas                      ,907,776,22,47,62,may,2021
Louisiana                     ,1614,1455,38,11,110,may,2021
Oklahoma                      ,1232,1162,24,3,43,may,2021
Texas                         ,21683,16687,450,108,4438,may,2021
West Region                   ,33845,21920,664,837,10424,may,2021
Mountain Division             ,17617,12621,332,582,4082,may,2021
Arizona                       ,5349,3830,80,27,1412,may,2021
Colorado                      ,4380,2795,122,48,1415,may,2021
Idaho                         ,1489,1236,26,153,74,may,2021
Montana                       ,395,307,14,24,50,may,2021
Nevada                        ,1712,1341,70,62,239,may,2021
New Mexico                    ,569,514,0,3,52,may,2021
Utah                          ,3538,2423,18,262,835,may,2021
Wyoming                       ,185,175,2,3,5,may,2021
Pacific Division              ,16228,9299,332,255,6342,may,2021
Alaska                        ,138,107,2,7,22,may,2021
California                    ,9922,5975,176,135,3636,may,2021
Hawaii                        ,226,192,2,0,32,may,2021
Oregon                        ,1819,1009,10,15,785,may,2021
Washington                    ,4123,2016,142,98,1867,may,2021
