Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
Ohio,1545,1154,22,54,315,feb,2018
Wisconsin,900,619,12,22,247,feb,2018
West North Central D,3963,2591,100,31,1241,feb,2018
Iowa,406,332,20,3,51,feb,2018
Kansas,401,339,16,11,35,feb,2018
Minnesota,1221,644,6,11,560,feb,2018
Missouri,858,768,34,0,56,feb,2018
Nebraska,680,352,22,6,300,feb,2018
North Dakota,44,39,0,0,5,feb,2018
South Dakota,353,117,2,0,234,feb,2018
South,47702,35941,532,364,10865,feb,2018
South Atlantic,28139,19626,212,119,8182,feb,2018
Delaware,445,413,16,4,12,feb,2018
District of Columbia,275,3,2,0,270,feb,2018
Florida,10235,6650,118,91,3376,feb,2018
Georgia,3956,3379,28,6,543,feb,2018
Maryland,1055,952,30,0,73,feb,2018
North Carolina,6325,3967,14,0,2344,feb,2018
South Carolina,2608,2446,0,0,162,feb,2018
Virginia,3048,1665,4,18,1361,feb,2018
West Virginia,192,151,0,0,41,feb,2018
East South Central D,4830,4311,44,99,376,feb,2018
Alabama,1225,1069,6,3,147,feb,2018
Kentucky,700,530,26,3,141,feb,2018
Mississippi,482,458,4,3,17,feb,2018
Tennessee,2423,2254,8,90,71,feb,2018
West South Central D,14733,12004,276,146,2307,feb,2018
Arkansas,654,533,32,40,49,feb,2018
Louisiana,1028,988,10,6,24,feb,2018
Oklahoma,847,802,16,4,25,feb,2018
Texas,12204,9681,218,96,2209,feb,2018
West,26444,15859,614,451,9520,feb,2018
Mountain,12878,8528,98,177,4075,feb,2018
Arizona,3005,2198,40,14,753,feb,2018
Colorado,4177,2365,8,24,1780,feb,2018
Idaho,1226,863,38,38,287,feb,2018
Montana,179,125,4,10,40,feb,2018
Nevada,1588,1087,2,24,475,feb,2018
New Mexico,440,417,0,3,20,feb,2018
Utah,2150,1374,4,52,720,feb,2018
Wyoming,113,99,2,12,0,feb,2018
Pacific,13566,7331,516,274,5445,feb,2018
Alaska,111,84,6,7,14,feb,2018
California,8016,4510,368,201,2937,feb,2018
Hawaii,701,196,8,0,497,feb,2018
Oregon,1694,806,54,3,831,feb,2018
Washington,3044,1735,80,63,1166,feb,2018
United States,95351,53351,1482,1152,39366,dec,2018
Northeast,9100,3723,358,328,4691,dec,2018
New England,2492,1233,126,66,1067,dec,2018
Connecticut,525,293,4,0,228,dec,2018
Maine,282,206,28,3,45,dec,2018
Massachusetts,1339,469,74,59,737,dec,2018
New Hampshire,185,155,8,4,18,dec,2018
Rhode Island,64,58,6,0,0,dec,2018
Vermont,97,52,6,0,39,dec,2018
Middle Atlantic,6608,2490,232,262,3624,dec,2018
New Jersey,1701,651,84,42,924,dec,2018
New York,3277,616,72,84,2505,dec,2018
Pennsylvania,1630,1223,76,136,195,dec,2018
Midwest,8283,5802,216,130,2135,dec,2018
East North Central D,5128,3557,114,77,1380,dec,2018
Illinois,1204,495,12,31,666,dec,2018
Indiana,1091,988,14,3,86,dec,2018
Michigan,981,783,22,15,161,dec,2018
Ohio,1155,730,36,21,368,dec,2018
Wisconsin,697,561,30,7,99,dec,2018
West North Central D,3155,2245,102,53,755,dec,2018
Iowa,417,354,48,4,11,dec,2018
Kansas,379,275,14,3,87,dec,2018
Minnesota,987,643,6,11,327,dec,2018
Missouri,654,612,26,16,0,dec,2018
Nebraska,435,195,2,3,235,dec,2018
North Dakota,112,55,0,0,57,dec,2018
South Dakota,171,111,6,16,38,dec,2018
South,49321,29881,396,325,18719,dec,2018
South Atlantic,27548,16899,176,140,10333,dec,2018
Delaware,500,417,14,3,66,dec,2018
District of Columbia,637,8,2,0,627,dec,2018
Florida,11548,6573,96,45,4834,dec,2018
Georgia,3316,2400,28,12,876,dec,2018
Maryland,1314,816,2,0,496,dec,2018
North Carolina,5512,3089,14,44,2365,dec,2018
South Carolina,2843,2061,8,6,768,dec,2018
Virginia,1665,1380,10,24,251,dec,2018
West Virginia,213,155,2,6,50,dec,2018
East South Central D,4387,3408,58,70,851,dec,2018
Alabama,865,786,4,8,67,dec,2018
Kentucky,887,485,6,18,378,dec,2018
Mississippi,496,455,20,3,18,dec,2018
Tennessee,2139,1682,28,41,388,dec,2018
West South Central D,17386,9574,162,115,7535,dec,2018
Arkansas,789,450,32,13,294,dec,2018
Louisiana,979,952,12,3,12,dec,2018
Oklahoma,634,612,18,4,0,dec,2018
Texas,14984,7560,100,95,7229,dec,2018
West,28647,13945,512,369,13821,dec,2018
Mountain,12521,7736,114,113,4558,dec,2018
Arizona,3166,2855,36,0,275,dec,2018
Colorado,4293,1778,28,29,2458,dec,2018
Idaho,938,717,6,12,203,dec,2018
Montana,324,108,28,4,184,dec,2018
Nevada,1140,703,0,18,419,dec,2018
New Mexico,349,291,0,3,55,dec,2018
Utah,2210,1200,10,47,953,dec,2018
Wyoming,101,84,6,0,11,dec,2018
Pacific,16126,6209,398,256,9263,dec,2018
Alaska,136,72,36,4,24,dec,2018
California,10709,3880,218,178,6433,dec,2018
Hawaii,222,201,2,0,19,dec,2018
Oregon,1495,664,28,13,790,dec,2018
Washington,3564,1392,114,61,1997,dec,2018
United States,119860,79078,1796,1549,37437,apr,2018
Northeast,7838,4622,272,134,2810,apr,2018
New England,1865,1467,104,22,272,apr,2018
Connecticut,290,191,6,3,90,apr,2018
Maine,343,309,10,0,24,apr,2018
Massachusetts,813,601,70,15,127,apr,2018
New Hampshire,226,210,6,0,10,apr,2018
Rhode Island,93,75,12,0,6,apr,2018
Vermont,100,81,0,4,15,apr,2018
Middle Atlantic,5973,3155,168,112,2538,apr,2018
New Jersey,1611,787,56,19,749,apr,2018
New York,2300,960,94,52,1194,apr,2018
Pennsylvania,2062,1408,18,41,595,apr,2018
Midwest,18194,11896,360,214,5724,apr,2018
East North Central D,10563,7019,166,170,3208,apr,2018
Illinois,1985,974,30,48,933,apr,2018
Indiana,2345,1640,28,3,674,apr,2018
Michigan,2129,1817,16,69,227,apr,2018
Ohio,2089,1511,12,39,527,apr,2018
Wisconsin,2015,1077,80,11,847,apr,2018
West North Central D,7631,4877,194,44,2516,apr,2018
Iowa,1294,782,56,13,443,apr,2018
Kansas,792,656,22,11,103,apr,2018
Minnesota,1860,1318,30,0,512,apr,2018
Missouri,1487,1027,52,3,405,apr,2018
Nebraska,1410,522,16,4,868,apr,2018
North Dakota,321,233,0,4,84,apr,2018
South Dakota,467,339,18,9,101,apr,2018
South,63965,43383,650,682,19250,apr,2018
South Atlantic,33206,23715,298,239,8954,apr,2018
Delaware,532,458,12,0,62,apr,2018
District of Columbia,63,11,10,0,42,apr,2018
Florida,13793,8920,128,100,4645,apr,2018
Georgia,4471,3834,8,10,619,apr,2018
Maryland,1555,1168,0,0,387,apr,2018
North Carolina,6368,4425,78,80,1785,apr,2018
South Carolina,3219,2576,28,0,615,apr,2018
Virginia,2909,2094,34,17,764,apr,2018
West Virginia,296,229,0,32,35,apr,2018
East South Central D,7456,5712,150,198,1396,apr,2018
Alabama,1353,1282,10,8,53,apr,2018
Kentucky,1769,854,54,11,850,apr,2018
Mississippi,676,637,4,3,32,apr,2018
Tennessee,3658,2939,82,176,461,apr,2018
West South Central D,23303,13956,202,245,8900,apr,2018
Arkansas,1088,703,26,24,335,apr,2018
Louisiana,1480,1439,18,7,16,apr,2018
Oklahoma,940,917,12,11,0,apr,2018
Texas,19795,10897,146,203,8549,apr,2018
West,29863,19177,514,519,9653,apr,2018
Mountain,13588,10257,142,229,2960,apr,2018
Arizona,4261,2913,52,12,1284,apr,2018
Colorado,3672,2514,14,72,1072,apr,2018
Idaho,1117,1001,14,23,79,apr,2018
Montana,422,328,38,44,12,apr,2018
Nevada,1510,1195,8,0,307,apr,2018
New Mexico,429,415,4,0,10,apr,2018
Utah,2028,1753,8,78,189,apr,2018
Wyoming,149,138,4,0,7,apr,2018
Pacific,16275,8920,372,290,6693,apr,2018
Alaska,129,106,6,4,13,apr,2018
California,10136,5597,218,214,4107,apr,2018
Hawaii,265,178,6,4,77,apr,2018
Oregon,1595,831,66,4,694,apr,2018
Washington,4150,2208,76,64,1802,apr,2018
United States,121639,81663,1698,1717,36561,jun,2018
Northeast,11496,5519,316,256,5405,jun,2018
New England,3184,1926,92,61,1105,jun,2018
Connecticut,413,313,4,6,90,jun,2018
Maine,467,420,8,0,39,jun,2018
Massachusetts,1587,699,30,45,813,jun,2018
New Hampshire,476,300,38,10,128,jun,2018
Rhode Island,88,68,10,0,10,jun,2018
Vermont,153,126,2,0,25,jun,2018
Middle Atlantic,8312,3593,224,195,4300,jun,2018
New Jersey,2909,987,70,46,1806,jun,2018
New York,3276,1017,92,59,2108,jun,2018
Pennsylvania,2127,1589,62,90,386,jun,2018
Midwest,16483,11808,346,277,4052,jun,2018
East North Central D,9054,6878,192,188,1796,jun,2018
Illinois,1896,1019,28,52,797,jun,2018
Indiana,1710,1493,38,14,165,jun,2018
Michigan,1758,1536,2,59,161,jun,2018
Ohio,1737,1569,24,56,88,jun,2018
Wisconsin,1953,1261,100,7,585,jun,2018
West North Central D,7429,4930,154,89,2256,jun,2018
Iowa,1209,769,24,0,416,jun,2018
Kansas,586,448,58,20,60,jun,2018
Minnesota,2621,1590,28,0,1003,jun,2018
Missouri,1797,1091,30,54,622,jun,2018
Nebraska,570,475,2,3,90,jun,2018
North Dakota,304,258,4,4,38,jun,2018
South Dakota,342,299,8,8,27,jun,2018
South,61094,43834,514,444,16302,jun,2018
South Atlantic,31752,24171,304,169,7108,jun,2018
Delaware,489,445,14,17,13,jun,2018
District of Columbia,799,8,4,3,784,jun,2018
Florida,12957,9068,196,94,3599,jun,2018
Georgia,4016,3890,2,14,110,jun,2018
Maryland,1334,1265,6,18,45,jun,2018
North Carolina,5519,4462,40,4,1013,jun,2018
South Carolina,3438,2763,0,4,671,jun,2018
Virginia,2886,2048,40,7,791,jun,2018
West Virginia,314,222,2,8,82,jun,2018
East South Central D,7106,5184,38,67,1817,jun,2018
Alabama,1225,1144,4,4,73,jun,2018
Kentucky,1466,839,30,36,561,jun,2018
Mississippi,799,732,2,4,61,jun,2018
Tennessee,3616,2469,2,23,1122,jun,2018
West South Central D,22236,14479,172,208,7377,jun,2018
Arkansas,916,827,14,23,52,jun,2018
Louisiana,1401,1294,12,4,91,jun,2018
Oklahoma,833,794,24,0,15,jun,2018
Texas,19086,11564,122,181,7219,jun,2018
West,32566,20502,522,740,10802,jun,2018
Mountain,13458,11034,212,434,1778,jun,2018
Arizona,3557,3074,108,23,352,jun,2018
Colorado,3674,2772,30,213,659,jun,2018
Idaho,1400,1159,28,52,161,jun,2018
Montana,436,339,24,38,35,jun,2018
Nevada,1163,1067,0,0,96,jun,2018
New Mexico,497,465,4,0,28,jun,2018
Utah,2535,1993,12,100,430,jun,2018
Wyoming,196,165,6,8,17,jun,2018
Pacific,19108,9468,310,306,9024,jun,2018
Alaska,221,140,14,10,57,jun,2018
California,12952,5950,174,193,6635,jun,2018
Hawaii,464,170,2,12,280,jun,2018
Oregon,1347,901,60,12,374,jun,2018
Washington,4124,2307,60,79,1678,jun,2018
United States,113033,77753,1454,993,32833,jul,2018
Northeast,11138,5135,188,141,5674,jul,2018
New England,2486,1591,72,45,778,jul,2018
Connecticut,494,300,4,0,190,jul,2018
Maine,347,301,2,0,44,jul,2018
Massachusetts,1038,571,52,24,391,jul,2018
New Hampshire,321,240,6,12,63,jul,2018
Rhode Island,99,82,8,9,0,jul,2018
Vermont,187,97,0,0,90,jul,2018
Middle Atlantic,8652,3544,116,96,4896,jul,2018
New Jersey,1960,848,28,14,1070,jul,2018
New York,4095,1207,76,44,2768,jul,2018
Pennsylvania,2597,1489,12,38,1058,jul,2018
Midwest,16504,11082,372,241,4809,jul,2018
East North Central D,9656,6425,258,173,2800,jul,2018
Illinois,1621,910,40,117,554,jul,2018
Indiana,1958,1497,36,0,425,jul,2018
Michigan,1645,1306,52,16,271,jul,2018
Ohio,2603,1595,44,37,927,jul,2018
Wisconsin,1829,1117,86,3,623,jul,2018
West North Central D,6848,4657,114,68,2009,jul,2018
Iowa,1365,826,6,0,533,jul,2018
Kansas,714,522,38,33,121,jul,2018
Minnesota,2595,1559,46,8,982,jul,2018
Missouri,897,847,18,10,22,jul,2018
Nebraska,604,438,2,10,154,jul,2018
North Dakota,308,195,2,4,107,jul,2018
South Dakota,365,270,2,3,90,jul,2018
South,57878,42153,470,320,14935,jul,2018
South Atlantic,32195,23120,214,120,8741,jul,2018
Delaware,499,446,6,0,47,jul,2018
District of Columbia,30,9,0,0,21,jul,2018
Florida,12952,8791,120,60,3981,jul,2018
Georgia,4666,3424,42,23,1177,jul,2018
Maryland,1810,1175,4,14,617,jul,2018
North Carolina,6055,4485,10,4,1556,jul,2018
South Carolina,3021,2722,2,3,294,jul,2018
Virginia,2956,1873,28,12,1043,jul,2018
West Virginia,206,195,2,4,5,jul,2018
East South Central D,6796,5186,40,62,1508,jul,2018
Alabama,1278,1158,4,4,112,jul,2018
Kentucky,1097,758,4,7,328,jul,2018
Mississippi,677,648,6,3,20,jul,2018
Tennessee,3744,2622,26,48,1048,jul,2018
West South Central D,18887,13847,216,138,4686,jul,2018
Arkansas,774,632,40,61,41,jul,2018
Louisiana,1148,1120,16,3,9,jul,2018
Oklahoma,794,747,24,0,23,jul,2018
Texas,16171,11348,136,74,4613,jul,2018
West,27513,19383,424,291,7415,jul,2018
Mountain,13245,10153,150,156,2786,jul,2018
Arizona,4509,2823,48,12,1626,jul,2018
Colorado,3283,2670,60,25,528,jul,2018
Idaho,1205,1020,4,39,142,jul,2018
Montana,398,288,24,32,54,jul,2018
Nevada,1236,1160,0,0,76,jul,2018
New Mexico,413,392,0,0,21,jul,2018
Utah,2032,1652,12,41,327,jul,2018
Wyoming,169,148,2,7,12,jul,2018
Pacific,14268,9230,274,135,4629,jul,2018
Alaska,133,114,6,3,10,jul,2018
California,9497,5894,150,80,3373,jul,2018
Hawaii,270,270,0,0,0,jul,2018
Oregon,1345,914,18,13,400,jul,2018
Washington,3023,2038,100,39,846,jul,2018
United States,100999,60886,1742,1339,37032,nov,2018
Northeast,9450,4218,220,261,4751,nov,2018
New England,2177,1319,62,53,743,nov,2018
Connecticut,354,266,10,0,78,nov,2018
Maine,335,311,14,10,0,nov,2018
Massachusetts,1023,461,32,21,509,nov,2018
New Hampshire,232,143,4,22,63,nov,2018
Rhode Island,80,78,2,0,0,nov,2018
Vermont,153,60,0,0,93,nov,2018
Middle Atlantic,7273,2899,158,208,4008,nov,2018
New Jersey,2058,885,60,52,1061,nov,2018
New York,3575,787,66,35,2687,nov,2018
Pennsylvania,1640,1227,32,121,260,nov,2018
Midwest,13880,8474,264,132,5010,nov,2018
East North Central D,8437,5195,164,116,2962,nov,2018
Illinois,2494,756,36,60,1642,nov,2018
Indiana,1552,1362,30,3,157,nov,2018
Michigan,1353,1083,30,7,233,nov,2018
Ohio,1870,1265,20,42,543,nov,2018
Wisconsin,1168,729,48,4,387,nov,2018
West North Central D,5443,3279,100,16,2048,nov,2018
Iowa,759,565,0,6,188,nov,2018
Kansas,499,355,18,3,123,nov,2018
Minnesota,1787,999,4,0,784,nov,2018
Missouri,1357,735,72,4,546,nov,2018
Nebraska,740,347,2,0,391,nov,2018
North Dakota,111,93,2,0,16,nov,2018
South Dakota,190,185,2,3,0,nov,2018
South,52198,33716,610,448,17424,nov,2018
South Atlantic,29365,18626,246,150,10343,nov,2018
Delaware,548,485,4,7,52,nov,2018
District of Columbia,662,3,2,0,657,nov,2018
Florida,12159,7239,112,65,4743,nov,2018
Georgia,4924,2832,34,16,2042,nov,2018
Maryland,1477,912,4,0,561,nov,2018
North Carolina,4571,3505,78,31,957,nov,2018
South Carolina,2718,2193,6,0,519,nov,2018
Virginia,2073,1285,6,31,751,nov,2018
West Virginia,233,172,0,0,61,nov,2018
East South Central D,5078,3980,48,61,989,nov,2018
Alabama,1111,984,12,6,109,nov,2018
Kentucky,792,546,24,3,219,nov,2018
Mississippi,496,436,4,3,53,nov,2018
Tennessee,2679,2014,8,49,608,nov,2018
West South Central D,17755,11110,316,237,6092,nov,2018
Arkansas,759,542,54,91,72,nov,2018
Louisiana,983,944,16,3,20,nov,2018
Oklahoma,748,718,22,3,5,nov,2018
Texas,15265,8906,224,140,5995,nov,2018
West,25471,14478,648,498,9847,nov,2018
Mountain,11589,7802,300,205,3282,nov,2018
Arizona,2563,2053,36,9,465,nov,2018
Colorado,3649,2107,30,68,1444,nov,2018
Idaho,1138,936,12,43,147,nov,2018
Montana,240,178,22,26,14,nov,2018
Nevada,1632,906,14,0,712,nov,2018
New Mexico,324,304,0,3,17,nov,2018
Utah,1910,1207,184,44,475,nov,2018
Wyoming,133,111,2,12,8,nov,2018
Pacific,13882,6676,348,293,6565,nov,2018
Alaska,106,79,10,4,13,nov,2018
California,7741,4078,170,128,3365,nov,2018
Hawaii,270,196,0,0,74,nov,2018
Oregon,1824,749,24,15,1036,nov,2018
Washington,3941,1574,144,146,2077,nov,2018
United States,96674,61767,1630,1573,31704,jan,2018
Northeast,7500,2976,292,160,4072,jan,2018
New England,2352,839,72,24,1417,jan,2018
Connecticut,342,154,6,4,178,jan,2018
Maine,193,121,2,0,70,jan,2018
Massachusetts,1369,391,44,17,917,jan,2018
New Hampshire,332,87,16,0,229,jan,2018
Rhode Island,59,56,0,3,0,jan,2018
Vermont,57,30,4,0,23,jan,2018
Middle Atlantic,5148,2137,220,136,2655,jan,2018
New Jersey,1510,699,88,32,691,jan,2018
New York,2382,519,100,53,1710,jan,2018
Pennsylvania,1256,919,32,51,254,jan,2018
Midwest,9174,6043,272,214,2645,jan,2018
East North Central D,5203,3825,176,56,1146,jan,2018
Illinois,733,457,18,16,242,jan,2018
Indiana,1008,858,70,0,80,jan,2018
Michigan,1209,1029,24,0,156,jan,2018
Ohio,1487,985,38,30,434,jan,2018
Wisconsin,766,496,26,10,234,jan,2018
West North Central D,3971,2218,96,158,1499,jan,2018
Iowa,459,232,4,0,223,jan,2018
Kansas,451,320,22,74,35,jan,2018
Minnesota,1706,618,22,14,1052,jan,2018
Missouri,840,654,44,64,78,jan,2018
Nebraska,313,245,2,0,66,jan,2018
North Dakota,36,22,0,0,14,jan,2018
South Dakota,166,127,2,6,31,jan,2018
South,53716,36877,674,822,15343,jan,2018
South Atlantic,29879,20279,258,195,9147,jan,2018
Delaware,501,434,12,4,51,jan,2018
District of Columbia,87,21,0,0,66,jan,2018
Florida,11346,7300,110,144,3792,jan,2018
Georgia,5010,3368,36,9,1597,jan,2018
Maryland,1360,983,2,0,375,jan,2018
North Carolina,6168,3924,46,4,2194,jan,2018
South Carolina,2811,2326,4,3,478,jan,2018
Virginia,2437,1791,46,28,572,jan,2018
West Virginia,159,132,2,3,22,jan,2018
East South Central D,5279,4105,110,109,955,jan,2018
Alabama,1212,1021,16,26,149,jan,2018
Kentucky,854,540,40,4,270,jan,2018
Mississippi,453,433,0,7,13,jan,2018
Tennessee,2760,2111,54,72,523,jan,2018
West South Central D,18558,12493,306,518,5241,jan,2018
Arkansas,1278,552,28,53,645,jan,2018
Louisiana,1168,1084,38,10,36,jan,2018
Oklahoma,905,738,106,4,57,jan,2018
Texas,15207,10119,134,451,4503,jan,2018
West,26284,15871,392,377,9644,jan,2018
Mountain,12476,8295,100,151,3930,jan,2018
Arizona,3531,2200,48,27,1256,jan,2018
Colorado,3875,2292,20,12,1551,jan,2018
Idaho,911,774,4,24,109,jan,2018
Montana,138,124,10,4,0,jan,2018
Nevada,1189,1082,6,4,97,jan,2018
New Mexico,393,383,0,0,10,jan,2018
Utah,2363,1366,10,80,907,jan,2018
Wyoming,76,74,2,0,0,jan,2018
Pacific,13808,7576,292,226,5714,jan,2018
Alaska,111,90,4,3,14,jan,2018
California,8730,4715,176,175,3664,jan,2018
Hawaii,224,220,4,0,0,jan,2018
Oregon,1905,799,38,6,1062,jan,2018
Washington,2838,1752,70,42,974,jan,2018
United States,125034,84361,1688,1343,37642,may,2018
Northeast,13507,5749,294,271,7193,may,2018
New England,3751,1845,102,50,1754,may,2018
Connecticut,383,232,2,18,131,may,2018
Maine,429,387,20,0,22,may,2018
Massachusetts,2238,635,46,26,1531,may,2018
New Hampshire,377,339,14,3,21,may,2018
Rhode Island,152,102,16,3,31,may,2018
Vermont,172,150,4,0,18,may,2018
Middle Atlantic,9756,3904,192,221,5439,may,2018
New Jersey,2353,889,60,47,1357,may,2018
New York,4844,1177,114,83,3470,may,2018
Pennsylvania,2559,1838,18,91,612,may,2018
Midwest,21594,13337,376,269,7612,may,2018
East North Central D,12863,7740,260,168,4695,may,2018
Illinois,2998,1127,20,69,1782,may,2018
Indiana,2537,1663,62,18,794,may,2018
Michigan,2148,1811,38,32,267,may,2018
Ohio,3147,1813,66,39,1229,may,2018
Wisconsin,2033,1326,74,10,623,may,2018
West North Central D,8731,5597,116,101,2917,may,2018
Iowa,1279,873,22,4,380,may,2018
Kansas,1001,657,32,11,301,may,2018
Minnesota,2908,1728,4,20,1156,may,2018
Missouri,1587,1120,40,23,404,may,2018
Nebraska,781,589,10,32,150,may,2018
North Dakota,571,267,4,0,300,may,2018
South Dakota,604,363,4,11,226,may,2018
South,58412,44343,550,389,13130,may,2018
South Atlantic,31415,24055,232,181,6947,may,2018
Delaware,677,567,20,28,62,may,2018
District of Columbia,112,4,0,3,105,may,2018
Florida,11192,8619,166,73,2334,may,2018
Georgia,5600,3869,14,35,1682,may,2018
Maryland,1391,1387,4,0,0,may,2018
North Carolina,6649,4664,18,12,1955,may,2018
South Carolina,3072,2741,4,0,327,may,2018
Virginia,2432,1966,4,30,432,may,2018
West Virginia,290,238,2,0,50,may,2018
East South Central D,6943,5566,58,95,1224,may,2018
Alabama,1546,1288,6,10,242,may,2018
Kentucky,1055,789,20,6,240,may,2018
Mississippi,677,655,4,4,14,may,2018
Tennessee,3665,2834,28,75,728,may,2018
West South Central D,20054,14722,260,113,4959,may,2018
Arkansas,792,679,8,0,105,may,2018
Louisiana,1655,1618,14,12,11,may,2018
Oklahoma,1081,872,32,9,168,may,2018
Texas,16526,11553,206,92,4675,may,2018
West,31521,20932,468,414,9707,may,2018
Mountain,14164,10668,152,163,3181,may,2018
Arizona,3621,2941,18,16,646,may,2018
Colorado,3675,2659,48,37,931,may,2018
Idaho,1311,1078,4,11,218,may,2018
Montana,380,259,34,39,48,may,2018
Nevada,2080,1264,38,0,778,may,2018
New Mexico,417,398,0,0,19,may,2018
Utah,2486,1900,6,54,526,may,2018
Wyoming,194,169,4,6,15,may,2018
Pacific,17357,10264,316,251,6526,may,2018
Alaska,186,136,6,7,37,may,2018
California,12089,6690,182,201,5016,may,2018
Hawaii,348,250,2,4,92,may,2018
Oregon,1416,1013,46,4,353,may,2018
Washington,3318,2175,80,35,1028,may,2018
United States,116933,78488,1938,1536,34971,aug,2018
Northeast,8988,4839,388,164,3597,aug,2018
New England,2240,1613,108,29,490,aug,2018
Connecticut,349,221,14,0,114,aug,2018
Maine,375,325,6,6,38,aug,2018
Massachusetts,864,620,38,23,183,aug,2018
New Hampshire,328,248,46,0,34,aug,2018
Rhode Island,187,79,2,0,106,aug,2018
Vermont,137,120,2,0,15,aug,2018
Middle Atlantic,6748,3226,280,135,3107,aug,2018
New Jersey,2083,842,70,44,1127,aug,2018
New York,2825,1002,136,49,1638,aug,2018
Pennsylvania,1840,1382,74,42,342,aug,2018
Midwest,19690,12110,388,295,6897,aug,2018
East North Central D,9755,7109,214,153,2279,aug,2018
Illinois,1853,1083,38,70,662,aug,2018
Indiana,2098,1624,44,0,430,aug,2018
Michigan,2176,1689,30,17,440,aug,2018
Ohio,1962,1455,16,59,432,aug,2018
Wisconsin,1666,1258,86,7,315,aug,2018
West North Central D,9935,5001,174,142,4618,aug,2018
Iowa,1016,844,32,0,140,aug,2018
Kansas,1346,570,32,17,727,aug,2018
Minnesota,4176,1607,6,3,2560,aug,2018
Missouri,1580,1023,76,104,377,aug,2018
