Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States,117572,75811,1630,1683,38448,mar,2018
Northeast,10470,4168,232,284,5786,mar,2018
New England,2362,1297,64,98,903,mar,2018
Connecticut,321,183,4,4,130,mar,2018
Maine,248,213,8,0,27,mar,2018
Massachusetts,1291,534,26,74,657,mar,2018
New Hampshire,247,221,14,7,5,mar,2018
Rhode Island,118,85,6,3,24,mar,2018
Vermont,137,61,6,10,60,mar,2018
Middle Atlantic,8108,2871,168,186,4883,mar,2018
New Jersey,2319,776,76,67,1400,mar,2018
New York,3841,729,78,69,2965,mar,2018
Pennsylvania,1948,1366,14,50,518,mar,2018
Midwest,15918,10089,374,258,5197,mar,2018
East North Central D,9549,5996,232,158,3163,mar,2018
Illinois,2224,1042,32,67,1083,mar,2018
Indiana,2360,1537,72,17,734,mar,2018
Michigan,1644,1246,34,22,342,mar,2018
Ohio,1799,1328,42,46,383,mar,2018
Wisconsin,1522,843,52,6,621,mar,2018
West North Central D,6369,4093,142,100,2034,mar,2018
Iowa,1025,790,10,3,222,mar,2018
Kansas,773,496,36,14,227,mar,2018
Minnesota,1650,868,2,19,761,mar,2018
Missouri,1789,1116,54,50,569,mar,2018
Nebraska,585,469,10,3,103,mar,2018
North Dakota,129,119,2,0,8,mar,2018
South Dakota,418,235,28,11,144,mar,2018
South,57301,41735,576,582,14408,mar,2018
South Atlantic,32267,22930,210,248,8879,mar,2018
Delaware,507,445,8,24,30,mar,2018
District of Columbia,359,10,0,0,349,mar,2018
Florida,11321,7843,144,185,3149,mar,2018
Georgia,5989,4019,6,19,1945,mar,2018
Maryland,1990,1049,26,0,915,mar,2018
North Carolina,5582,4401,16,0,1165,mar,2018
South Carolina,3337,2757,4,3,573,mar,2018
Virginia,2914,2222,4,14,674,mar,2018
West Virginia,268,184,2,3,79,mar,2018
East South Central D,5956,4896,76,145,839,mar,2018
Alabama,1136,995,4,40,97,mar,2018
Kentucky,1230,789,18,40,383,mar,2018
Mississippi,568,522,12,6,28,mar,2018
Tennessee,3022,2590,42,59,331,mar,2018
West South Central D,19078,13909,290,189,4690,mar,2018
Arkansas,1244,839,48,28,329,mar,2018
Louisiana,1449,1340,26,9,74,mar,2018
Oklahoma,899,832,56,11,0,mar,2018
Texas,15486,10898,160,141,4287,mar,2018
West,33883,19819,448,559,13057,mar,2018
Mountain,15175,10069,146,210,4750,mar,2018
Arizona,3132,2667,46,33,386,mar,2018
Colorado,5473,2694,50,63,2666,mar,2018
Idaho,1480,1053,6,40,381,mar,2018
Montana,295,224,10,18,43,mar,2018
Nevada,1577,1266,18,6,287,mar,2018
New Mexico,635,464,2,0,169,mar,2018
Utah,2417,1548,12,44,813,mar,2018
Wyoming,166,153,2,6,5,mar,2018
Pacific,18708,9750,302,349,8307,mar,2018
Alaska,140,111,6,4,19,mar,2018
California,11546,6302,162,236,4846,mar,2018
Hawaii,355,261,6,0,88,mar,2018
Oregon,1661,817,36,4,804,mar,2018
Washington,5006,2259,92,105,2550,mar,2018
United States,92091,62157,1666,1527,26741,feb,2018
Northeast,8197,3447,348,568,3834,feb,2018
New England,2100,1099,100,26,875,feb,2018
Connecticut,470,133,18,3,316,feb,2018
Maine,291,197,14,3,77,feb,2018
Massachusetts,864,460,60,14,330,feb,2018
New Hampshire,314,179,8,3,124,feb,2018
Rhode Island,89,72,0,0,17,feb,2018
Vermont,72,58,0,3,11,feb,2018
Middle Atlantic,6097,2348,248,542,2959,feb,2018
New Jersey,2235,587,100,237,1311,feb,2018
New York,2276,667,104,44,1461,feb,2018
Pennsylvania,1586,1094,44,261,187,feb,2018
Midwest,9748,6910,172,144,2522,feb,2018
East North Central D,5785,4319,72,113,1281,feb,2018
Illinois,946,521,16,37,372,feb,2018
Indiana,1269,1012,12,0,245,feb,2018
Michigan,1125,1013,10,0,102,feb,2018
