Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
United States                 ,104420,50172,2262,1049,50937,dec,2022
Northeast Region              ,10573,3879,360,218,6116,dec,2022
     New England Division          ,2853,1145,112,73,1523,dec,2022
          Connecticut                   ,525,150,4,6,365,dec,2022
          Maine                         ,333,246,18,4,65,dec,2022
          Massachusetts                 ,1510,441,44,22,1003,dec,2022
          New Hampshire                 ,292,195,18,32,47,dec,2022
          Rhode Island                  ,85,53,16,6,10,dec,2022
          Vermont                       ,108,60,12,3,33,dec,2022
     Middle Atlantic Division      ,7720,2734,248,145,4593,dec,2022
          New Jersey                    ,3354,1086,180,69,2019,dec,2022
          New York                      ,2411,625,38,13,1735,dec,2022
          Pennsylvania                  ,1955,1023,30,63,839,dec,2022
Midwest Region                ,11462,5546,322,197,5397,dec,2022
     East North Central Division   ,6970,3427,160,111,3272,dec,2022
          Illinois                      ,1673,420,28,22,1203,dec,2022
          Indiana                       ,1552,805,8,3,736,dec,2022
          Michigan                      ,1238,706,30,36,466,dec,2022
          Ohio                          ,1483,994,20,38,431,dec,2022
          Wisconsin                     ,1024,502,74,12,436,dec,2022
     West North Central Division   ,4492,2119,162,86,2125,dec,2022
          Iowa                          ,711,325,12,6,368,dec,2022
          Kansas                        ,420,284,68,28,40,dec,2022
          Minnesota                     ,1556,520,16,19,1001,dec,2022
          Missouri                      ,1072,618,20,19,415,dec,2022
          Nebraska                      ,396,227,42,8,119,dec,2022
          North Dakota                  ,98,29,0,0,69,dec,2022
          South Dakota                  ,239,116,4,6,113,dec,2022
South Region                  ,56078,30693,850,394,24141,dec,2022
     South Atlantic Division       ,33129,18185,308,192,14444,dec,2022
          Delaware                      ,404,367,2,0,35,dec,2022
          District of Columbia          ,1000,7,4,0,989,dec,2022
          Florida                       ,14958,7758,146,71,6983,dec,2022
          Georgia                       ,4592,2299,28,104,2161,dec,2022
          Maryland                      ,1297,593,2,4,698,dec,2022
          North Carolina                ,5062,3533,106,3,1420,dec,2022
          South Carolina                ,2937,2259,8,3,667,dec,2022
          Virginia                      ,2696,1215,12,7,1462,dec,2022
          West Virginia                 ,183,154,0,0,29,dec,2022
     East South Central Division   ,4800,3232,76,66,1426,dec,2022
          Alabama                       ,1161,874,6,21,260,dec,2022
          Kentucky                      ,1098,450,28,12,608,dec,2022
          Mississippi                   ,437,385,2,6,44,dec,2022
          Tennessee                     ,2104,1523,40,27,514,dec,2022
     West South Central Division   ,18149,9276,466,136,8271,dec,2022
          Arkansas                      ,635,517,10,18,90,dec,2022
          Louisiana                     ,938,773,28,6,131,dec,2022
          Oklahoma                      ,947,623,50,4,270,dec,2022
          Texas                         ,15629,7363,378,108,7780,dec,2022
West Region                   ,26307,10054,730,240,15283,dec,2022
     Mountain Division             ,12648,4734,390,100,7424,dec,2022
          Arizona                       ,5252,1475,134,4,3639,dec,2022
          Colorado                      ,2943,1080,214,30,1619,dec,2022
          Idaho                         ,644,412,12,22,198,dec,2022
          Montana                       ,466,213,10,6,237,dec,2022
          Nevada                        ,883,510,2,12,359,dec,2022
          New Mexico                    ,471,345,0,3,123,dec,2022
          Utah                          ,1907,626,14,23,1244,dec,2022
          Wyoming                       ,82,73,4,0,5,dec,2022
     Pacific Division              ,13659,5320,340,140,7859,dec,2022
          Alaska                        ,70,44,0,3,23,dec,2022
          California                    ,8220,3678,198,82,4262,dec,2022
          Hawaii                        ,189,142,4,0,43,dec,2022
          Oregon                        ,1735,519,46,26,1144,dec,2022
          Washington                    ,3445,937,92,29,2387,dec,2022
United States                 ,131455,87088,2108,1646,40613,feb,2022
Northeast Region              ,11441,4645,292,138,6366,feb,2022
     New England Division          ,3848,1343,96,46,2363,feb,2022
          Connecticut                   ,347,221,12,3,111,feb,2022
          Maine                         ,871,270,20,8,573,feb,2022
          Massachusetts                 ,2127,499,46,28,1554,feb,2022
          New Hampshire                 ,296,200,6,4,86,feb,2022
          Rhode Island                  ,88,72,8,3,5,feb,2022
          Vermont                       ,119,81,4,0,34,feb,2022
     Middle Atlantic Division      ,7593,3302,196,92,4003,feb,2022
          New Jersey                    ,2838,1172,88,33,1545,feb,2022
          New York                      ,2969,862,90,20,1997,feb,2022
          Pennsylvania                  ,1786,1268,18,39,461,feb,2022
Midwest Region                ,13352,8275,292,271,4514,feb,2022
     East North Central Division   ,7339,4991,162,155,2031,feb,2022
          Illinois                      ,917,621,18,50,228,feb,2022
          Indiana                       ,1965,1483,32,6,444,feb,2022
          Michigan                      ,1391,961,18,40,372,feb,2022
          Ohio                          ,1921,1184,32,55,650,feb,2022
          Wisconsin                     ,1145,742,62,4,337,feb,2022
     West North Central Division   ,6013,3284,130,116,2483,feb,2022
          Iowa                          ,601,533,20,15,33,feb,2022
          Kansas                        ,471,419,36,6,10,feb,2022
          Minnesota                     ,2357,884,16,18,1439,feb,2022
          Missouri                      ,1447,758,28,25,636,feb,2022
          Nebraska                      ,775,418,22,14,321,feb,2022
          North Dakota                  ,61,61,0,0,0,feb,2022
          South Dakota                  ,301,211,8,38,44,feb,2022
South Region                  ,72439,53556,746,645,17492,feb,2022
     South Atlantic Division       ,40523,29587,278,217,10441,feb,2022
          Delaware                      ,564,528,36,0,0,feb,2022
          District of Columbia          ,350,71,0,0,279,feb,2022
          Florida                       ,16284,11884,122,97,4181,feb,2022
          Georgia                       ,6377,4399,46,94,1838,feb,2022
          Maryland                      ,1667,892,2,0,773,feb,2022
          North Carolina                ,8329,6324,32,8,1965,feb,2022
          South Carolina                ,3801,3337,12,12,440,feb,2022
          Virginia                      ,2873,1923,16,6,928,feb,2022
          West Virginia                 ,278,229,12,0,37,feb,2022
     East South Central Division   ,7502,6055,54,84,1309,feb,2022
          Alabama                       ,1703,1606,6,3,88,feb,2022
          Kentucky                      ,990,802,28,6,154,feb,2022
          Mississippi                   ,659,594,0,7,58,feb,2022
          Tennessee                     ,4150,3053,20,68,1009,feb,2022
     West South Central Division   ,24414,17914,414,344,5742,feb,2022
          Arkansas                      ,1250,655,50,24,521,feb,2022
          Louisiana                     ,1614,1463,40,3,108,feb,2022
          Oklahoma                      ,1133,1047,54,19,13,feb,2022
          Texas                         ,20417,14749,270,298,5100,feb,2022
West Region                   ,34223,20612,778,592,12241,feb,2022
     Mountain Division             ,18451,12134,454,323,5540,feb,2022
          Arizona                       ,5522,4208,254,65,995,feb,2022
          Colorado                      ,4475,2342,112,33,1988,feb,2022
          Idaho                         ,1802,1115,8,59,620,feb,2022
          Montana                       ,617,401,22,17,177,feb,2022
          Nevada                        ,1833,1574,12,35,212,feb,2022
          New Mexico                    ,462,439,0,0,23,feb,2022
          Utah                          ,3496,1877,34,70,1515,feb,2022
          Wyoming                       ,244,178,12,44,10,feb,2022
     Pacific Division              ,15772,8478,324,269,6701,feb,2022
          Alaska                        ,128,90,4,4,30,feb,2022
          California                    ,9130,5213,162,128,3627,feb,2022
          Hawaii                        ,236,200,10,0,26,feb,2022
          Oregon                        ,1962,972,36,28,926,feb,2022
          Washington                    ,4316,2003,112,109,2092,feb,2022
United States                 ,168996,107357,2814,2156,56669,mar,2022
Northeast Region              ,15873,5285,310,304,9974,mar,2022
     New England Division          ,3174,1676,104,54,1340,mar,2022
          Connecticut                   ,351,244,8,4,95,mar,2022
          Maine                         ,414,353,14,3,44,mar,2022
          Massachusetts                 ,1795,639,66,25,1065,mar,2022
          New Hampshire                 ,358,251,10,19,78,mar,2022
          Rhode Island                  ,84,80,4,0,0,mar,2022
          Vermont                       ,172,109,2,3,58,mar,2022
     Middle Atlantic Division      ,12699,3609,206,250,8634,mar,2022
          New Jersey                    ,4179,1213,112,60,2794,mar,2022
          New York                      ,5928,872,44,112,4900,mar,2022
          Pennsylvania                  ,2592,1524,50,78,940,mar,2022
Midwest Region                ,21628,12306,646,421,8255,mar,2022
     East North Central Division   ,11571,7137,342,309,3783,mar,2022
          Illinois                      ,2090,1037,44,58,951,mar,2022
          Indiana                       ,2806,1908,106,8,784,mar,2022
          Michigan                      ,2208,1384,26,111,687,mar,2022
          Ohio                          ,2680,1734,66,119,761,mar,2022
