Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
          Wisconsin                     ,1787,1074,100,13,600,mar,2022
     West North Central Division   ,10057,5169,304,112,4472,mar,2022
          Iowa                          ,1083,855,78,14,136,mar,2022
          Kansas                        ,735,548,114,13,60,mar,2022
          Minnesota                     ,3913,1373,24,18,2498,mar,2022
          Missouri                      ,1825,1158,36,26,605,mar,2022
          Nebraska                      ,943,576,22,15,330,mar,2022
          North Dakota                  ,214,191,18,0,5,mar,2022
          South Dakota                  ,1344,468,12,26,838,mar,2022
South Region                  ,89518,63987,1068,760,23703,mar,2022
     South Atlantic Division       ,49003,34480,524,336,13663,mar,2022
          Delaware                      ,623,601,22,0,0,mar,2022
          District of Columbia          ,777,39,16,0,722,mar,2022
          Florida                       ,19387,13267,296,151,5673,mar,2022
          Georgia                       ,7692,5511,36,82,2063,mar,2022
          Maryland                      ,2191,1118,0,3,1070,mar,2022
          North Carolina                ,8109,7143,40,26,900,mar,2022
          South Carolina                ,4829,3905,28,71,825,mar,2022
          Virginia                      ,5047,2583,72,3,2389,mar,2022
          West Virginia                 ,348,313,14,0,21,mar,2022
     East South Central Division   ,9255,7789,76,131,1259,mar,2022
          Alabama                       ,2489,1958,6,19,506,mar,2022
          Kentucky                      ,1301,1004,36,30,231,mar,2022
          Mississippi                   ,922,878,12,7,25,mar,2022
          Tennessee                     ,4543,3949,22,75,497,mar,2022
     West South Central Division   ,31260,21718,468,293,8781,mar,2022
          Arkansas                      ,1491,1120,54,31,286,mar,2022
          Louisiana                     ,1565,1449,48,3,65,mar,2022
          Oklahoma                      ,1481,1337,52,0,92,mar,2022
          Texas                         ,26723,17812,314,259,8338,mar,2022
West Region                   ,41977,25779,790,671,14737,mar,2022
     Mountain Division             ,23165,14977,362,340,7486,mar,2022
          Arizona                       ,7221,5127,238,15,1841,mar,2022
          Colorado                      ,5711,3007,24,24,2656,mar,2022
          Idaho                         ,2509,1487,26,159,837,mar,2022
          Montana                       ,566,377,36,17,136,mar,2022
          Nevada                        ,2263,1639,14,40,570,mar,2022
          New Mexico                    ,845,544,0,7,294,mar,2022
          Utah                          ,3811,2568,16,75,1152,mar,2022
          Wyoming                       ,239,228,8,3,0,mar,2022
     Pacific Division              ,18812,10802,428,331,7251,mar,2022
          Alaska                        ,149,112,6,7,24,mar,2022
          California                    ,10883,7018,230,156,3479,mar,2022
          Hawaii                        ,721,273,22,3,423,mar,2022
          Oregon                        ,1690,1130,36,4,520,mar,2022
          Washington                    ,5369,2269,134,161,2805,mar,2022
United States                 ,156589,98219,2964,1793,53613,apr,2022
Northeast Region              ,12836,5302,368,193,6973,apr,2022
     New England Division          ,3709,1783,146,46,1734,apr,2022
          Connecticut                   ,406,222,16,3,165,apr,2022
          Maine                         ,655,472,26,3,154,apr,2022
          Massachusetts                 ,1960,555,62,19,1324,apr,2022
          New Hampshire                 ,373,305,10,17,41,apr,2022
          Rhode Island                  ,121,86,26,4,5,apr,2022
          Vermont                       ,194,143,6,0,45,apr,2022
     Middle Atlantic Division      ,9127,3519,222,147,5239,apr,2022
          New Jersey                    ,3346,1147,110,47,2042,apr,2022
          New York                      ,3674,970,42,44,2618,apr,2022
          Pennsylvania                  ,2107,1402,70,56,579,apr,2022
Midwest Region                ,23277,12859,642,289,9487,apr,2022
     East North Central Division   ,12682,7429,314,167,4772,apr,2022
          Illinois                      ,2270,1021,40,86,1123,apr,2022
          Indiana                       ,3592,1866,66,12,1648,apr,2022
          Michigan                      ,1963,1483,28,20,432,apr,2022
          Ohio                          ,2568,1838,32,42,656,apr,2022
          Wisconsin                     ,2289,1221,148,7,913,apr,2022
     West North Central Division   ,10595,5430,328,122,4715,apr,2022
          Iowa                          ,1580,904,44,35,597,apr,2022
          Kansas                        ,1025,563,188,3,271,apr,2022
          Minnesota                     ,3209,1488,32,17,1672,apr,2022
          Missouri                      ,2029,1167,40,30,792,apr,2022
          Nebraska                      ,1572,549,8,19,996,apr,2022
          North Dakota                  ,254,247,2,0,5,apr,2022
          South Dakota                  ,926,512,14,18,382,apr,2022
South Region                  ,84465,58006,1096,781,24582,apr,2022
     South Atlantic Division       ,46792,31920,612,272,13988,apr,2022
          Delaware                      ,538,503,24,0,11,apr,2022
          District of Columbia          ,81,21,6,0,54,apr,2022
          Florida                       ,20051,13511,326,91,6123,apr,2022
          Georgia                       ,6745,4434,34,66,2211,apr,2022
          Maryland                      ,2054,947,4,0,1103,apr,2022
          North Carolina                ,9028,6506,46,0,2476,apr,2022
          South Carolina                ,4453,3626,104,108,615,apr,2022
          Virginia                      ,3435,2038,62,7,1328,apr,2022
          West Virginia                 ,407,334,6,0,67,apr,2022
     East South Central Division   ,8012,6425,92,115,1380,apr,2022
          Alabama                       ,1920,1647,28,15,230,apr,2022
          Kentucky                      ,1080,822,40,15,203,apr,2022
          Mississippi                   ,712,664,2,14,32,apr,2022
          Tennessee                     ,4300,3292,22,71,915,apr,2022
     West South Central Division   ,29661,19661,392,394,9214,apr,2022
          Arkansas                      ,1319,892,32,122,273,apr,2022
          Louisiana                     ,1617,1409,68,9,131,apr,2022
          Oklahoma                      ,1207,1099,46,26,36,apr,2022
          Texas                         ,25518,16261,246,237,8774,apr,2022
West Region                   ,36011,22052,858,530,12571,apr,2022
     Mountain Division             ,19088,12724,406,179,5779,apr,2022
          Arizona                       ,5268,3897,216,12,1143,apr,2022
          Colorado                      ,4201,2521,100,31,1549,apr,2022
          Idaho                         ,1994,1399,10,61,524,apr,2022
          Montana                       ,566,300,26,17,223,apr,2022
          Nevada                        ,2634,1442,34,22,1136,apr,2022
          New Mexico                    ,1005,727,0,0,278,apr,2022
          Utah                          ,3193,2220,16,36,921,apr,2022
          Wyoming                       ,227,218,4,0,5,apr,2022
     Pacific Division              ,16923,9328,452,351,6792,apr,2022
          Alaska                        ,152,106,6,11,29,apr,2022
          California                    ,10615,6041,260,152,4162,apr,2022
          Hawaii                        ,228,145,20,0,63,apr,2022
          Oregon                        ,1801,1035,46,18,702,apr,2022
          Washington                    ,4127,2001,120,170,1836,apr,2022
United States                 ,102461,55553,2504,1419,42985,nov,2022
Northeast Region              ,9831,3989,376,183,5283,nov,2022
     New England Division          ,2658,1272,148,51,1187,nov,2022
          Connecticut                   ,492,167,32,8,285,nov,2022
          Maine                         ,369,307,22,3,37,nov,2022
          Massachusetts                 ,1293,414,50,22,807,nov,2022
          New Hampshire                 ,319,243,32,10,34,nov,2022
          Rhode Island                  ,66,54,8,4,0,nov,2022
          Vermont                       ,119,87,4,4,24,nov,2022
     Middle Atlantic Division      ,7173,2717,228,132,4096,nov,2022
          New Jersey                    ,2792,851,118,37,1786,nov,2022
          New York                      ,2140,807,38,29,1266,nov,2022
          Pennsylvania                  ,2241,1059,72,66,1044,nov,2022
Midwest Region                ,15592,7307,384,351,7550,nov,2022
     East North Central Division   ,9385,4252,252,192,4689,nov,2022
          Illinois                      ,1534,575,24,40,895,nov,2022
          Indiana                       ,1857,1016,20,8,813,nov,2022
          Michigan                      ,1026,859,18,17,132,nov,2022
          Ohio                          ,3122,1056,112,120,1834,nov,2022
          Wisconsin                     ,1846,746,78,7,1015,nov,2022
     West North Central Division   ,6207,3055,132,159,2861,nov,2022
          Iowa                          ,954,368,22,36,528,nov,2022
          Kansas                        ,460,356,24,6,74,nov,2022
          Minnesota                     ,1870,759,10,9,1092,nov,2022
          Missouri                      ,1393,744,34,53,562,nov,2022
          Nebraska                      ,1070,540,34,4,492,nov,2022
          North Dakota                  ,163,100,2,51,10,nov,2022
          South Dakota                  ,297,188,6,0,103,nov,2022
South Region                  ,55432,33436,1186,583,20227,nov,2022
     South Atlantic Division       ,32886,19178,504,323,12881,nov,2022
          Delaware                      ,498,346,4,0,148,nov,2022
          District of Columbia          ,988,126,0,0,862,nov,2022
          Florida                       ,12504,7562,286,258,4398,nov,2022
          Georgia                       ,5516,2715,50,22,2729,nov,2022
          Maryland                      ,1102,656,12,3,431,nov,2022
          North Carolina                ,7276,4035,94,3,3144,nov,2022
          South Carolina                ,2816,2358,34,31,393,nov,2022
          Virginia                      ,2000,1229,24,0,747,nov,2022
          West Virginia                 ,186,151,0,6,29,nov,2022
     East South Central Division   ,5079,3994,106,88,891,nov,2022
          Alabama                       ,1324,966,8,14,336,nov,2022
          Kentucky                      ,996,628,44,50,274,nov,2022
          Mississippi                   ,457,408,16,4,29,nov,2022
          Tennessee                     ,2302,1992,38,20,252,nov,2022
     West South Central Division   ,17467,10264,576,172,6455,nov,2022
          Arkansas                      ,708,475,60,23,150,nov,2022
          Louisiana                     ,949,786,46,7,110,nov,2022
          Oklahoma                      ,693,587,30,3,73,nov,2022
          Texas                         ,15117,8416,440,139,6122,nov,2022
West Region                   ,21606,10821,558,302,9925,nov,2022
     Mountain Division             ,10184,5650,254,140,4140,nov,2022
          Arizona                       ,2931,2003,136,0,792,nov,2022
          Colorado                      ,2602,1174,20,47,1361,nov,2022
          Idaho                         ,1229,522,16,22,669,nov,2022
          Montana                       ,188,101,34,8,45,nov,2022
          Nevada                        ,1171,590,20,11,550,nov,2022
          New Mexico                    ,439,383,0,0,56,nov,2022
          Utah                          ,1491,774,26,34,657,nov,2022
          Wyoming                       ,133,103,2,18,10,nov,2022
     Pacific Division              ,11422,5171,304,162,5785,nov,2022
          Alaska                        ,68,48,2,3,15,nov,2022
          California                    ,6800,3203,158,100,3339,nov,2022
          Hawaii                        ,532,177,18,0,337,nov,2022
          Oregon                        ,946,666,22,3,255,nov,2022
          Washington                    ,3076,1077,104,56,1839,nov,2022
United States                 ,132316,83404,2360,1425,45127,jan,2022
Northeast Region              ,10309,4592,264,105,5348,jan,2022
     New England Division          ,2498,1407,74,33,984,jan,2022
          Connecticut                   ,454,223,8,0,223,jan,2022
          Maine                         ,437,290,16,4,127,jan,2022
          Massachusetts                 ,1173,534,36,22,581,jan,2022
          New Hampshire                 ,231,207,2,0,22,jan,2022
          Rhode Island                  ,98,77,12,4,5,jan,2022
          Vermont                       ,105,76,0,3,26,jan,2022
     Middle Atlantic Division      ,7811,3185,190,72,4364,jan,2022
          New Jersey                    ,2932,1155,102,24,1651,jan,2022
          New York                      ,3085,667,50,28,2340,jan,2022
          Pennsylvania                  ,1794,1363,38,20,373,jan,2022
Midwest Region                ,14512,7924,454,417,5717,jan,2022
     East North Central Division   ,8147,4863,198,141,2945,jan,2022
          Illinois                      ,1314,532,38,86,658,jan,2022
          Indiana                       ,2301,1539,48,3,711,jan,2022
          Michigan                      ,1351,929,32,19,371,jan,2022
          Ohio                          ,2169,1223,18,33,895,jan,2022
          Wisconsin                     ,1012,640,62,0,310,jan,2022
     West North Central Division   ,6365,3061,256,276,2772,jan,2022
          Iowa                          ,563,401,32,12,118,jan,2022
          Kansas                        ,1161,441,134,6,580,jan,2022
          Minnesota                     ,1564,793,16,19,736,jan,2022
          Missouri                      ,1862,901,40,55,866,jan,2022
          Nebraska                      ,828,324,26,178,300,jan,2022
          North Dakota                  ,35,33,2,0,0,jan,2022
          South Dakota                  ,352,168,6,6,172,jan,2022
South Region                  ,75628,51742,908,422,22556,jan,2022
     South Atlantic Division       ,40621,27683,386,171,12381,jan,2022
          Delaware                      ,586,548,4,0,34,jan,2022
          District of Columbia          ,14,10,4,0,0,jan,2022
          Florida                       ,17533,11878,166,77,5412,jan,2022
          Georgia                       ,5267,4023,52,73,1119,jan,2022
          Maryland                      ,2062,892,0,0,1170,jan,2022
          North Carolina                ,8061,5228,48,6,2779,jan,2022
          South Carolina                ,4124,3185,26,3,910,jan,2022
          Virginia                      ,2714,1704,64,8,938,jan,2022
          West Virginia                 ,260,215,22,4,19,jan,2022
     East South Central Division   ,8043,5887,64,78,2014,jan,2022
          Alabama                       ,1564,1451,2,0,111,jan,2022
          Kentucky                      ,1005,764,50,14,177,jan,2022
          Mississippi                   ,663,635,0,3,25,jan,2022
          Tennessee                     ,4811,3037,12,61,1701,jan,2022
     West South Central Division   ,26964,18172,458,173,8161,jan,2022
          Arkansas                      ,1044,874,40,27,103,jan,2022
          Louisiana                     ,1507,1317,36,6,148,jan,2022
          Oklahoma                      ,1258,1095,40,3,120,jan,2022
          Texas                         ,23155,14886,342,137,7790,jan,2022
West Region                   ,31867,19146,734,481,11506,jan,2022
     Mountain Division             ,17826,11309,336,207,5974,jan,2022
          Arizona                       ,5727,4048,176,7,1496,jan,2022
          Colorado                      ,4122,2203,104,32,1783,jan,2022
          Idaho                         ,1264,1044,16,34,170,jan,2022
          Montana                       ,401,232,14,23,132,jan,2022
          Nevada                        ,2608,1376,8,56,1168,jan,2022
          New Mexico                    ,531,396,0,3,132,jan,2022
          Utah                          ,3022,1873,12,49,1088,jan,2022
          Wyoming                       ,151,137,6,3,5,jan,2022
     Pacific Division              ,14041,7837,398,274,5532,jan,2022
          Alaska                        ,109,77,4,4,24,jan,2022
          California                    ,8276,4977,210,116,2973,jan,2022
          Hawaii                        ,305,163,28,0,114,jan,2022
          Oregon                        ,1333,880,22,40,391,jan,2022
          Washington                    ,4018,1740,134,114,2030,jan,2022
United States                 ,134413,75574,2422,1799,54618,jul,2022
Northeast Region              ,13018,5412,324,206,7076,jul,2022
     New England Division          ,3675,1694,84,46,1851,jul,2022
          Connecticut                   ,743,193,2,7,541,jul,2022
          Maine                         ,551,464,16,3,68,jul,2022
          Massachusetts                 ,1650,521,36,27,1066,jul,2022
          New Hampshire                 ,378,311,12,9,46,jul,2022
          Rhode Island                  ,92,70,12,0,10,jul,2022
          Vermont                       ,261,135,6,0,120,jul,2022
     Middle Atlantic Division      ,9343,3718,240,160,5225,jul,2022
          New Jersey                    ,3537,1343,100,67,2027,jul,2022
          New York                      ,3702,950,60,28,2664,jul,2022
          Pennsylvania                  ,2104,1425,80,65,534,jul,2022
Midwest Region                ,17838,10414,460,330,6634,jul,2022
     East North Central Division   ,9481,6098,182,166,3035,jul,2022
          Illinois                      ,1418,760,16,41,601,jul,2022
          Indiana                       ,2108,1651,22,0,435,jul,2022
          Michigan                      ,1629,1192,20,58,359,jul,2022
          Ohio                          ,2515,1474,34,63,944,jul,2022
          Wisconsin                     ,1811,1021,90,4,696,jul,2022
     West North Central Division   ,8357,4316,278,164,3599,jul,2022
          Iowa                          ,842,676,36,39,91,jul,2022
          Kansas                        ,840,526,112,10,192,jul,2022
          Minnesota                     ,2495,1175,18,34,1268,jul,2022
          Missouri                      ,1625,1015,80,20,510,jul,2022
          Nebraska                      ,778,404,10,3,361,jul,2022
          North Dakota                  ,430,186,16,0,228,jul,2022
          South Dakota                  ,1347,334,6,58,949,jul,2022
South Region                  ,73382,43882,1104,733,27663,jul,2022
     South Atlantic Division       ,38738,24718,506,187,13327,jul,2022
          Delaware                      ,435,402,20,0,13,jul,2022
          District of Columbia          ,254,19,6,0,229,jul,2022
          Florida                       ,15502,9985,286,104,5127,jul,2022
          Georgia                       ,6229,3482,40,63,2644,jul,2022
          Maryland                      ,1981,577,62,6,1336,jul,2022
          North Carolina                ,6605,4917,58,3,1627,jul,2022
          South Carolina                ,3874,3264,16,0,594,jul,2022
          Virginia                      ,3556,1812,14,7,1723,jul,2022
          West Virginia                 ,302,260,4,4,34,jul,2022
     East South Central Division   ,7089,5099,104,308,1578,jul,2022
          Alabama                       ,1677,1274,6,14,383,jul,2022
          Kentucky                      ,1173,652,30,19,472,jul,2022
          Mississippi                   ,605,561,6,9,29,jul,2022
          Tennessee                     ,3634,2612,62,266,694,jul,2022
     West South Central Division   ,27555,14065,494,238,12758,jul,2022
          Arkansas                      ,1238,854,40,51,293,jul,2022
          Louisiana                     ,1494,1066,42,7,379,jul,2022
          Oklahoma                      ,909,728,74,0,107,jul,2022
          Texas                         ,23914,11417,338,180,11979,jul,2022
West Region                   ,30175,15866,534,530,13245,jul,2022
     Mountain Division             ,15981,8697,184,246,6854,jul,2022
          Arizona                       ,5509,2742,38,16,2713,jul,2022
          Colorado                      ,3967,1753,38,54,2122,jul,2022
          Idaho                         ,1499,1048,10,79,362,jul,2022
          Montana                       ,440,223,18,10,189,jul,2022
          Nevada                        ,1174,668,50,7,449,jul,2022
          New Mexico                    ,668,597,2,4,65,jul,2022
          Utah                          ,2435,1499,22,57,857,jul,2022
          Wyoming                       ,289,167,6,19,97,jul,2022
     Pacific Division              ,14194,7169,350,284,6391,jul,2022
          Alaska                        ,110,80,4,6,20,jul,2022
          California                    ,7663,4522,178,97,2866,jul,2022
          Hawaii                        ,244,189,8,0,47,jul,2022
          Oregon                        ,2064,769,24,3,1268,jul,2022
          Washington                    ,4113,1609,136,178,2190,jul,2022
United States                 ,157198,91515,2658,2158,60867,jun,2022
Northeast Region              ,15177,5272,336,164,9405,jun,2022
     New England Division          ,3937,1785,114,43,1995,jun,2022
          Connecticut                   ,394,223,6,3,162,jun,2022
          Maine                         ,593,464,18,4,107,jun,2022
          Massachusetts                 ,2200,568,58,27,1547,jun,2022
          New Hampshire                 ,418,308,8,9,93,jun,2022
          Rhode Island                  ,100,74,16,0,10,jun,2022
          Vermont                       ,232,148,8,0,76,jun,2022
     Middle Atlantic Division      ,11240,3487,222,121,7410,jun,2022
          New Jersey                    ,3636,1129,80,41,2386,jun,2022
          New York                      ,5419,931,80,27,4381,jun,2022
          Pennsylvania                  ,2185,1427,62,53,643,jun,2022
Midwest Region                ,19063,12141,556,430,5936,jun,2022
     East North Central Division   ,9716,7266,336,267,1847,jun,2022
          Illinois                      ,1437,1014,28,95,300,jun,2022
          Indiana                       ,1950,1720,66,14,150,jun,2022
          Michigan                      ,2034,1619,26,73,316,jun,2022
          Ohio                          ,2425,1656,68,74,627,jun,2022
          Wisconsin                     ,1870,1257,148,11,454,jun,2022
     West North Central Division   ,9347,4875,220,163,4089,jun,2022
          Iowa                          ,1481,732,34,40,675,jun,2022
          Kansas                        ,759,509,32,11,207,jun,2022
          Minnesota                     ,3076,1526,38,10,1502,jun,2022
          Missouri                      ,1944,1058,74,89,723,jun,2022
          Nebraska                      ,739,462,18,3,256,jun,2022
          North Dakota                  ,720,201,16,4,499,jun,2022
          South Dakota                  ,628,387,8,6,227,jun,2022
South Region                  ,82942,53939,1088,843,27072,jun,2022
     South Atlantic Division       ,44180,29704,428,234,13814,jun,2022
          Delaware                      ,549,524,12,0,13,jun,2022
          District of Columbia          ,709,12,8,0,689,jun,2022
          Florida                       ,20160,12002,194,83,7881,jun,2022
          Georgia                       ,5645,4381,98,70,1096,jun,2022
          Maryland                      ,2027,889,4,7,1127,jun,2022
          North Carolina                ,7106,5796,84,23,1203,jun,2022
          South Carolina                ,4170,3663,0,37,470,jun,2022
          Virginia                      ,3463,2119,28,14,1302,jun,2022
          West Virginia                 ,351,318,0,0,33,jun,2022
     East South Central Division   ,7654,6182,76,95,1301,jun,2022
          Alabama                       ,1854,1577,2,12,263,jun,2022
          Kentucky                      ,1119,796,50,17,256,jun,2022
          Mississippi                   ,864,668,4,7,185,jun,2022
          Tennessee                     ,3817,3141,20,59,597,jun,2022
     West South Central Division   ,31108,18053,584,514,11957,jun,2022
          Arkansas                      ,1503,939,114,104,346,jun,2022
          Louisiana                     ,1873,1370,70,10,423,jun,2022
          Oklahoma                      ,1650,947,66,3,634,jun,2022
          Texas                         ,26082,14797,334,397,10554,jun,2022
West Region                   ,40016,20163,678,721,18454,jun,2022
     Mountain Division             ,19609,10837,274,372,8126,jun,2022
          Arizona                       ,5537,3198,114,106,2119,jun,2022
          Colorado                      ,4961,2408,56,56,2441,jun,2022
          Idaho                         ,2145,1175,22,57,891,jun,2022
          Montana                       ,895,229,26,82,558,jun,2022
          Nevada                        ,1938,1092,12,10,824,jun,2022
          New Mexico                    ,758,705,2,4,47,jun,2022
          Utah                          ,3106,1822,38,54,1192,jun,2022
