Date,"LT Real Average (10> Yrs)"
12/31/2018,1.17
12/28/2018,1.17
12/27/2018,1.20
12/26/2018,1.18
12/24/2018,1.13
12/21/2018,1.15
12/20/2018,1.14
12/19/2018,1.10
12/18/2018,1.15
12/17/2018,1.19
12/14/2018,1.21
12/13/2018,1.22
12/12/2018,1.22
12/11/2018,1.20
12/10/2018,1.16
12/07/2018,1.14
12/06/2018,1.12
12/04/2018,1.13
12/03/2018,1.20
11/30/2018,1.22
11/29/2018,1.24
11/28/2018,1.30
11/27/2018,1.31
11/26/2018,1.27
11/23/2018,1.25
11/21/2018,1.25
11/20/2018,1.25
11/19/2018,1.23
11/16/2018,1.22
11/15/2018,1.27
11/14/2018,1.27
11/13/2018,1.26
11/09/2018,1.28
11/08/2018,1.30
11/07/2018,1.30
11/06/2018,1.30
11/05/2018,1.30
11/02/2018,1.34
11/01/2018,1.29
10/31/2018,1.27
10/30/2018,1.25
10/29/2018,1.21
10/26/2018,1.20
10/25/2018,1.25
10/24/2018,1.20
10/23/2018,1.23
10/22/2018,1.24
10/19/2018,1.23
10/18/2018,1.21
10/17/2018,1.19
10/16/2018,1.17
10/15/2018,1.17
10/12/2018,1.16
10/11/2018,1.16
10/10/2018,1.20
10/09/2018,1.17
10/05/2018,1.21
10/04/2018,1.16
10/03/2018,1.11
10/02/2018,1.05
10/01/2018,1.07
09/28/2018,1.02
09/27/2018,1.02
09/26/2018,1.02
09/25/2018,1.04
09/24/2018,1.03
09/21/2018,1.02
09/20/2018,1.03
09/19/2018,1.05
09/18/2018,1.03
09/17/2018,1.00
09/14/2018,0.99
09/13/2018,0.97
09/12/2018,0.96
09/11/2018,0.97
09/10/2018,0.95
09/07/2018,0.96
09/06/2018,0.92
09/05/2018,0.93
09/04/2018,0.92
08/31/2018,0.89
08/30/2018,0.87
08/29/2018,0.88
08/28/2018,0.89
08/27/2018,0.86
08/24/2018,0.84
08/23/2018,0.85
08/22/2018,0.86
08/21/2018,0.88
08/20/2018,0.87
08/17/2018,0.90
08/16/2018,0.90
08/15/2018,0.91
08/14/2018,0.92
08/13/2018,0.90
08/10/2018,0.90
08/09/2018,0.93
08/08/2018,0.96
08/07/2018,0.96
08/06/2018,0.94
08/03/2018,0.94
08/02/2018,0.95
08/01/2018,0.96
07/31/2018,0.92
07/30/2018,0.95
07/27/2018,0.93
07/26/2018,0.96
07/25/2018,0.92
07/24/2018,0.94
07/23/2018,0.96
07/20/2018,0.89
07/19/2018,0.85
07/18/2018,0.87
07/17/2018,0.84
07/16/2018,0.82
07/13/2018,0.80
07/12/2018,0.82
07/11/2018,0.81
07/10/2018,0.83
07/09/2018,0.81
07/06/2018,0.79
07/05/2018,0.79
07/03/2018,0.80
07/02/2018,0.83
06/29/2018,0.84
06/28/2018,0.84
06/27/2018,0.83
06/26/2018,0.87
06/25/2018,0.88
06/22/2018,0.88
06/21/2018,0.90
06/20/2018,0.92
06/19/2018,0.88
06/18/2018,0.90
06/15/2018,0.90
06/14/2018,0.91
06/13/2018,0.95
06/12/2018,0.93
06/11/2018,0.93
06/08/2018,0.92
06/07/2018,0.91
06/06/2018,0.94
06/05/2018,0.91
06/04/2018,0.93
06/01/2018,0.91
05/31/2018,0.88
05/30/2018,0.90
05/29/2018,0.86
05/25/2018,0.95
05/24/2018,0.97
05/23/2018,0.99
05/22/2018,1.01
05/21/2018,1.00
05/18/2018,1.01
05/17/2018,1.04
05/16/2018,1.00
05/15/2018,0.99
05/14/2018,0.94
05/11/2018,0.91
05/10/2018,0.90
05/09/2018,0.93
05/08/2018,0.92
05/07/2018,0.90
05/04/2018,0.90
05/03/2018,0.90
05/02/2018,0.91
05/01/2018,0.91
04/30/2018,0.88
04/27/2018,0.90
04/26/2018,0.95
04/25/2018,0.98
04/24/2018,0.96
04/23/2018,0.92
04/20/2018,0.92
04/19/2018,0.88
04/18/2018,0.84
04/17/2018,0.81
04/16/2018,0.84
04/13/2018,0.82
04/12/2018,0.84
04/11/2018,0.82
04/10/2018,0.85
04/09/2018,0.85
04/06/2018,0.85
04/05/2018,0.90
04/04/2018,0.86
04/03/2018,0.86
04/02/2018,0.83
03/29/2018,0.84
03/28/2018,0.87
03/27/2018,0.87
03/26/2018,0.92
03/23/2018,0.91
03/22/2018,0.90
03/21/2018,0.95
03/20/2018,0.96
03/19/2018,0.93
03/16/2018,0.93
03/15/2018,0.89
03/14/2018,0.90
03/13/2018,0.92
03/12/2018,0.93
03/09/2018,0.95
03/08/2018,0.92
03/07/2018,0.95
03/06/2018,0.93
03/05/2018,0.92
03/02/2018,0.90
03/01/2018,0.88
02/28/2018,0.91
02/27/2018,0.94
02/26/2018,0.91
02/23/2018,0.93
02/22/2018,0.97
02/21/2018,0.98
02/20/2018,0.94
02/16/2018,0.93
02/15/2018,0.94
02/14/2018,0.96
02/13/2018,0.92
02/12/2018,0.94
02/09/2018,0.94
02/08/2018,0.92
02/07/2018,0.89
02/06/2018,0.84
02/05/2018,0.83
02/02/2018,0.84
02/01/2018,0.80
01/31/2018,0.74
01/30/2018,0.78
01/29/2018,0.75
01/26/2018,0.73
01/25/2018,0.73
01/24/2018,0.75
01/23/2018,0.74
01/22/2018,0.76
01/19/2018,0.74
01/18/2018,0.74
01/17/2018,0.72
01/16/2018,0.71
01/12/2018,0.73
01/11/2018,0.74
01/10/2018,0.73
01/09/2018,0.73
01/08/2018,0.68
01/05/2018,0.66
01/04/2018,0.66
01/03/2018,0.67
01/02/2018,0.68
