State,Month,Year,Date,Region,Total,City,RegionID,RegionName,RegionType,SizeRank,Median Days To Close,Median Days To Pending,Market Temp Index Values,Median Sale,Median_NH_Values,LT Real Average (10> Yrs),Number of failed banks
NM,aug,2018,2018-08-31,new mexico,416,Albuquerque,394312,"Albuquerque, NM",msa,62,38.0,20.0,50.0,198365.0,204679.8960021518,0.89,0
MI,aug,2018,2018-08-31,michigan,2176,Battle Creek,394368,"Battle Creek, MI",msa,318,39.0,23.0,41.0,109489.0,51312.33665006981,0.89,0
TN,aug,2018,2018-08-31,tennessee,3737,Chattanooga,394460,"Chattanooga, TN",msa,102,33.0,15.0,49.0,161532.0,153723.25052853115,0.89,0
OR,aug,2018,2018-08-31,oregon,1706,Eugene,394576,"Eugene, OR",msa,146,35.0,12.0,58.0,278881.0,327030.64431305404,0.89,0
MI,aug,2018,2018-08-31,michigan,2176,Lansing,394770,"Lansing, MI",msa,107,27.0,29.0,44.0,136192.0,80393.4449439009,0.89,0
OR,aug,2018,2018-08-31,oregon,1706,Newport,753905,"Newport, OR",msa,604,41.0,43.0,41.0,289808.0,316272.4601256918,0.89,0
WA,aug,2018,2018-08-31,washington,4338,Olympia,394937,"Olympia, WA",msa,172,34.0,9.0,60.0,295470.0,311651.5576363132,0.89,0
RI,aug,2018,2018-08-31,rhode island,187,Providence,395005,"Providence, RI",msa,39,42.0,24.0,53.0,261249.0,198222.80704195384,0.89,0
CA,aug,2018,2018-08-31,california,8826,Riverside,395025,"Riverside, CA",msa,13,32.0,24.0,57.0,347205.0,382001.35320171894,0.89,0
IL,aug,2018,2018-08-31,illinois,1853,Rockford,395033,"Rockford, IL",msa,153,37.0,19.0,38.0,117997.0,88855.37834077691,0.89,0
CA,aug,2018,2018-08-31,california,8826,Santa Rosa,395068,"Santa Rosa, CA",msa,112,28.0,18.0,48.0,618231.0,514173.17001843225,0.89,0
FL,aug,2018,2018-08-31,florida,12439,Sebastian,395079,"Sebastian, FL",msa,274,31.0,71.0,36.0,214666.0,238591.65435020463,0.89,0
AZ,aug,2018,2018-08-31,arizona,3738,Tucson,395167,"Tucson, AZ",msa,54,35.0,16.0,55.0,193888.0,171934.63759970336,0.89,0
TX,aug,2018,2018-08-31,texas,15564,Waco,395197,"Waco, TX",msa,178,27.0,33.0,43.0,179377.0,101964.72384288718,0.89,0
KS,aug,2018,2018-08-31,kansas,1346,Wichita,395224,"Wichita, KS",msa,94,32.0,21.0,97.0,150119.0,80534.30271685272,0.89,0
NC,aug,2018,2018-08-31,north carolina,7348,Wilmington,395229,"Wilmington, NC",msa,174,36.0,24.0,46.0,229476.0,232893.86890502693,0.89,0
MI,oct,2018,2018-10-31,michigan,2936,Ann Arbor,394332,"Ann Arbor, MI",msa,148,33.0,22.0,44.0,254902.0,367966.16233351413,1.27,0
OH,oct,2018,2018-10-31,ohio,2167,Columbus,394492,"Columbus, OH",msa,32,35.0,11.0,44.0,177439.0,168307.67903587024,1.27,0
TX,oct,2018,2018-10-31,texas,13241,Dallas,394514,"Dallas, TX",msa,4,21.0,31.0,49.0,251215.0,261753.01704448395,1.27,0
MN,oct,2018,2018-10-31,minnesota,2631,Duluth,394543,"Duluth, MN",msa,171,37.0,32.0,30.0,148762.0,170927.16652415326,1.27,0
CO,oct,2018,2018-10-31,colorado,3326,Fort Collins,394602,"Fort Collins, CO",msa,152,33.0,28.0,50.0,368931.0,409734.8591127312,1.27,0
SC,oct,2018,2018-10-31,south carolina,2856,Greenville,394653,"Greenville, SC",msa,61,35.0,21.0,45.0,176563.0,175223.78124290804,1.27,0
CT,oct,2018,2018-10-31,connecticut,439,Hartford,394669,"Hartford, CT",msa,49,45.0,34.0,48.0,211935.0,117029.04750187504,1.27,0
MS,oct,2018,2018-10-31,mississippi,695,Jackson,394711,"Jackson, MS",msa,98,34.0,36.0,32.0,172435.0,44031.32760821842,1.27,0
TN,oct,2018,2018-10-31,tennessee,3956,Johnson City,394726,"Johnson City, TN",msa,224,34.0,28.0,34.0,143334.0,110309.3609641874,1.27,0
FL,oct,2018,2018-10-31,florida,12123,Lakeland,394766,"Lakeland, FL",msa,82,34.0,18.0,50.0,173974.0,134038.98931658323,1.27,0
PA,oct,2018,2018-10-31,pennsylvania,2768,Lebanon,394783,"Lebanon, PA",msa,306,39.0,22.0,44.0,162920.0,155022.76325664192,1.27,0
WA,oct,2018,2018-10-31,washington,3606,Longview,394804,"Longview, WA",msa,368,35.0,19.0,56.0,241976.0,227753.53408542406,1.27,0
UT,oct,2018,2018-10-31,utah,2146,Provo,395006,"Provo, UT",msa,92,28.0,20.0,57.0,301113.0,285071.66346319503,1.27,0
GA,oct,2018,2018-10-31,georgia,5778,Savannah,395070,"Savannah, GA",msa,138,34.0,34.0,50.0,199626.0,133057.63335269803,1.27,0
CA,oct,2018,2018-10-31,california,8745,Vallejo,395183,"Vallejo, CA",msa,123,29.0,24.0,48.0,426318.0,400628.50824140327,1.27,0
PA,oct,2018,2018-10-31,pennsylvania,2768,York,395244,"York, PA",msa,122,39.0,30.0,50.0,163757.0,165390.18047176945,1.27,0
OH,nov,2018,2018-11-30,ohio,1870,Akron,394304,"Akron, OH",msa,83,23.0,44.0,36.0,138189.0,65855.1468483867,1.22,0
NM,nov,2018,2018-11-30,new mexico,324,Albuquerque,394312,"Albuquerque, NM",msa,62,37.0,33.0,50.0,194332.0,206566.13534572508,1.22,0
MD,nov,2018,2018-11-30,maryland,1477,Baltimore,394358,"Baltimore, MD",msa,20,36.0,34.0,49.0,259375.0,133030.88043990906,1.22,0
NY,nov,2018,2018-11-30,new york,3575,Binghamton,394387,"Binghamton, NY",msa,195,42.0,67.0,22.0,115016.0,101418.69244052311,1.22,0
OH,nov,2018,2018-11-30,ohio,1870,Cleveland,394475,"Cleveland, OH",msa,35,23.0,46.0,37.0,132521.0,56696.094837494136,1.22,0
FL,nov,2018,2018-11-30,florida,12159,Gainesville,394622,"Gainesville, FL",msa,155,33.0,42.0,42.0,175930.0,186533.8022217841,1.22,0
PA,nov,2018,2018-11-30,pennsylvania,1640,Gettysburg,394630,"Gettysburg, PA",msa,382,40.0,39.0,39.0,196208.0,251712.04195199817,1.22,0
MI,nov,2018,2018-11-30,michigan,1353,Kalamazoo,394732,"Kalamazoo, MI",msa,190,38.0,23.0,35.0,150498.0,106235.31107410521,1.22,0
MI,nov,2018,2018-11-30,michigan,1353,Lansing,394770,"Lansing, MI",msa,107,25.0,42.0,42.0,132975.0,78696.46126262144,1.22,0
WA,nov,2018,2018-11-30,washington,3941,Longview,394804,"Longview, WA",msa,368,34.0,21.0,52.0,246702.0,228456.3757685348,1.22,0
NH,nov,2018,2018-11-30,new hampshire,232,Manchester,394820,"Manchester, NH",msa,131,42.0,25.0,50.0,268474.0,232380.39242028192,1.22,0
AZ,nov,2018,2018-11-30,arizona,2563,Phoenix,394976,"Phoenix, AZ",msa,11,23.0,29.0,52.0,257142.0,251094.13423919992,1.22,0
NY,nov,2018,2018-11-30,new york,3575,Rochester,395031,"Rochester, NY",msa,52,46.0,29.0,26.0,140139.0,99912.21147621755,1.22,0
GA,nov,2018,2018-11-30,georgia,4924,Savannah,395070,"Savannah, GA",msa,138,33.0,33.0,50.0,198748.0,133280.4894983799,1.22,0
PA,nov,2018,2018-11-30,pennsylvania,1640,Scranton,395075,"Scranton, PA",msa,101,38.0,80.0,13.0,117037.0,76310.95829028198,1.22,0
IA,nov,2018,2018-11-30,iowa,759,Waterloo,395210,"Waterloo, IA",msa,261,31.0,55.0,23.0,133420.0,63778.8818577037,1.22,0
OR,dec,2018,2018-12-31,oregon,1495,Bend,394380,"Bend, OR",msa,232,35.0,55.0,54.0,382815.0,428242.3667076311,1.17,0
MA,dec,2018,2018-12-31,massachusetts,1339,Boston,394404,"Boston, MA",msa,10,43.0,24.0,55.0,427055.0,649507.9846363202,1.17,0
NY,dec,2018,2018-12-31,new york,3277,Buffalo,394425,"Buffalo, NY",msa,50,59.0,33.0,52.0,150461.0,104636.40731209812,1.17,0
NC,dec,2018,2018-12-31,north carolina,5512,Charlotte,394458,"Charlotte, NC",msa,23,34.0,23.0,51.0,215743.0,219914.089686652,1.17,0
CA,dec,2018,2018-12-31,california,10709,Chico,394464,"Chico, CA",msa,215,30.0,24.0,84.0,296329.0,313744.91020455596,1.17,0
DE,dec,2018,2018-12-31,delaware,500,Dover,394539,"Dover, DE",msa,244,37.0,40.0,50.0,204240.0,223694.3538229342,1.17,0
OR,dec,2018,2018-12-31,oregon,1495,Eugene,394576,"Eugene, OR",msa,146,34.0,28.0,56.0,283413.0,331101.88267849386,1.17,0
AZ,dec,2018,2018-12-31,arizona,3166,Flagstaff,394595,"Flagstaff, AZ",msa,302,33.0,53.0,42.0,341083.0,383714.31586389174,1.17,0
FL,dec,2018,2018-12-31,florida,11548,Gainesville,394622,"Gainesville, FL",msa,155,33.0,44.0,46.0,177339.0,187872.6692349088,1.17,0
NC,dec,2018,2018-12-31,north carolina,5512,Hickory,394679,"Hickory, NC",msa,150,36.0,32.0,41.0,143014.0,141414.28043394882,1.17,0
SC,dec,2018,2018-12-31,south carolina,2843,Hilton Head Island,394681,"Hilton Head Island, SC",msa,216,38.0,60.0,40.0,293604.0,440452.2013780235,1.17,0
AL,dec,2018,2018-12-31,alabama,865,Huntsville,394698,"Huntsville, AL",msa,114,32.0,23.0,53.0,175129.0,200549.6770058527,1.17,0
KS,dec,2018,2018-12-31,kansas,379,Lawrence,394778,"Lawrence, KS",msa,349,33.0,35.0,45.0,203610.0,181924.29887164567,1.17,0
KY,dec,2018,2018-12-31,kentucky,887,Lexington,394792,"Lexington, KY",msa,110,34.0,36.0,40.0,175425.0,153163.4506028945,1.17,0
WI,dec,2018,2018-12-31,wisconsin,697,Madison,394816,"Madison, WI",msa,88,23.0,56.0,48.0,251703.0,261569.85875357286,1.17,0
TN,dec,2018,2018-12-31,tennessee,2139,Memphis,394849,"Memphis, TN",msa,44,20.0,41.0,52.0,152684.0,89029.16194001591,1.17,0
PA,dec,2018,2018-12-31,pennsylvania,1630,Philadelphia,394974,"Philadelphia, PA",msa,7,38.0,37.0,47.0,214261.0,192316.6397130005,1.17,0
RI,dec,2018,2018-12-31,rhode island,64,Providence,395005,"Providence, RI",msa,39,39.0,43.0,49.0,264797.0,207681.51219461713,1.17,0
SC,dec,2018,2018-12-31,south carolina,2843,Spartanburg,395109,"Spartanburg, SC",msa,160,33.0,27.0,43.0,142874.0,95512.53972824484,1.17,0
FL,dec,2018,2018-12-31,florida,11548,Tampa,395148,"Tampa, FL",msa,18,34.0,26.0,46.0,202608.0,239493.02150224816,1.17,0
OH,dec,2018,2018-12-31,ohio,1155,Youngstown,395245,"Youngstown, OH",msa,106,19.0,65.0,26.0,97972.0,25626.998975309238,1.17,0
TX,jan,2019,2019-01-31,texas,14258,Austin,394355,"Austin, TX",msa,29,30.0,36.0,57.0,309412.0,376171.6917392877,1.02,0
VA,jan,2019,2019-01-31,virginia,2859,Charlottesville,394459,"Charlottesville, VA",msa,212,41.0,67.0,42.0,275132.0,327697.5507585124,1.02,0
TX,jan,2019,2019-01-31,texas,14258,Dallas,394514,"Dallas, TX",msa,4,20.0,42.0,56.0,251076.0,263034.82501796953,1.02,0
CO,jan,2019,2019-01-31,colorado,3026,Denver,394530,"Denver, CO",msa,19,31.0,22.0,62.0,392673.0,442843.9970240842,1.02,0
PA,jan,2019,2019-01-31,pennsylvania,1353,Gettysburg,394630,"Gettysburg, PA",msa,382,41.0,44.0,45.0,184945.0,252641.99052348034,1.02,0
SC,jan,2019,2019-01-31,south carolina,3483,Greenville,394653,"Greenville, SC",msa,61,35.0,35.0,50.0,179842.0,184352.28843298886,1.02,0
SC,jan,2019,2019-01-31,south carolina,3483,Hilton Head Island,394681,"Hilton Head Island, SC",msa,216,38.0,64.0,40.0,292018.0,442858.82138792204,1.02,0
AR,jan,2019,2019-01-31,arkansas,643,Jonesboro,394728,"Jonesboro, AR",msa,323,33.0,67.0,34.0,137634.0,155144.41084369356,1.02,0
TN,jan,2019,2019-01-31,tennessee,2733,Knoxville,394753,"Knoxville, TN",msa,65,33.0,35.0,49.0,173891.0,141155.2244073625,1.02,0
NV,jan,2019,2019-01-31,nevada,1204,Las Vegas,394775,"Las Vegas, NV",msa,30,31.0,35.0,54.0,271114.0,278198.808101175,1.02,0
AR,jan,2019,2019-01-31,arkansas,643,Little Rock,394798,"Little Rock, AR",msa,81,23.0,89.0,39.0,153795.0,131162.68980705697,1.02,0
MN,jan,2019,2019-01-31,minnesota,1352,Minneapolis,394865,"Minneapolis, MN",msa,16,27.0,45.0,66.0,253273.0,268398.6512195551,1.02,0
CT,jan,2019,2019-01-31,connecticut,278,Norwich,394924,"Norwich, CT",msa,185,44.0,65.0,49.0,219623.0,190235.20702734563,1.02,0
CA,jan,2019,2019-01-31,california,9373,San Jose,395059,"San Jose, CA",msa,36,28.0,29.0,59.0,1064173.0,957134.3453666315,1.02,0
OK,jan,2019,2019-01-31,oklahoma,740,Tulsa,395169,"Tulsa, OK",msa,56,32.0,61.0,49.0,148088.0,140584.115671106,1.02,0
VA,jan,2019,2019-01-31,virginia,2859,Virginia Beach,395194,"Virginia Beach, VA",msa,38,24.0,71.0,54.0,221771.0,342391.09165518044,1.02,0
OH,feb,2019,2019-02-28,ohio,1506,Akron,394304,"Akron, OH",msa,83,23.0,53.0,52.0,139274.0,69319.10700924281,1.06,0
NY,feb,2019,2019-02-28,new york,2924,Albany,394308,"Albany, NY",msa,64,49.0,60.0,57.0,185594.0,189939.30774507672,1.06,0
CO,feb,2019,2019-02-28,colorado,2676,Breckenridge,753871,"Breckenridge, CO",msa,811,36.0,33.0,48.0,577742.0,851646.5638663486,1.06,0
OH,feb,2019,2019-02-28,ohio,1506,Dayton,845158,"Dayton, OH",msa,74,30.0,39.0,52.0,127334.0,55101.09400594949,1.06,0
IA,feb,2019,2019-02-28,iowa,248,Des Moines,394531,"Des Moines, IA",msa,84,36.0,42.0,53.0,181433.0,141964.77061805586,1.06,0
MI,feb,2019,2019-02-28,michigan,1611,Grand Rapids,394640,"Grand Rapids, MI",msa,53,33.0,19.0,65.0,183977.0,169442.90114006327,1.06,0
SC,feb,2019,2019-02-28,south carolina,2815,Greenville,394653,"Greenville, SC",msa,61,34.0,31.0,53.0,182393.0,187121.35153800354,1.06,0
WI,feb,2019,2019-02-28,wisconsin,734,Madison,394816,"Madison, WI",msa,88,21.0,54.0,68.0,250692.0,263992.6505542058,1.06,0
WA,feb,2019,2019-02-28,washington,2284,Mount Vernon,394890,"Mount Vernon, WA",msa,327,32.0,35.0,50.0,322522.0,299455.0890672546,1.06,0
NC,feb,2019,2019-02-28,north carolina,5092,New Bern,394905,"New Bern, NC",msa,341,35.0,22.0,52.0,139296.0,205310.66667286828,1.06,0
FL,feb,2019,2019-02-28,florida,11099,Panama City,394960,"Panama City, FL",msa,242,37.0,45.0,53.0,188484.0,212840.03989519962,1.06,0
OR,feb,2019,2019-02-28,oregon,1544,Portland,394998,"Portland, OR",msa,25,32.0,32.0,64.0,378322.0,464304.25248211477,1.06,0
CA,feb,2019,2019-02-28,california,6228,San Diego,395056,"San Diego, CA",msa,17,29.0,38.0,56.0,562385.0,550932.7627626597,1.06,0
MO,feb,2019,2019-02-28,missouri,838,Springfield,395116,"Springfield, MO",msa,118,34.0,39.0,52.0,144680.0,113912.78861545392,1.06,0
MI,feb,2019,2019-02-28,michigan,1611,Traverse City,395163,"Traverse City, MI",msa,287,15.0,111.0,43.0,233780.0,299594.68268846016,1.06,0
CA,feb,2019,2019-02-28,california,6228,Vallejo,395183,"Vallejo, CA",msa,123,30.0,35.0,62.0,409544.0,407820.4738765382,1.06,0
VA,apr,2019,2019-04-30,virginia,3186,Blacksburg,394392,"Blacksburg, VA",msa,265,36.0,18.0,57.0,175706.0,292390.2866367409,0.90,0
CT,apr,2019,2019-04-30,connecticut,721,Bridgeport,394415,"Bridgeport, CT",msa,60,46.0,29.0,47.0,383440.0,147508.88049826236,0.90,0
TX,apr,2019,2019-04-30,texas,15895,College Station,394483,"College Station, TX",msa,189,28.0,56.0,42.0,223365.0,274370.54835079546,0.90,0
TN,apr,2019,2019-04-30,tennessee,2948,Johnson City,394726,"Johnson City, TN",msa,224,35.0,30.0,43.0,152274.0,114662.57182617055,0.90,0
TX,apr,2019,2019-04-30,texas,15895,Killeen,394746,"Killeen, TX",msa,120,32.0,15.0,63.0,157956.0,126352.68093305286,0.90,0
NM,apr,2019,2019-04-30,new mexico,484,Las Cruces,394773,"Las Cruces, NM",msa,214,36.0,46.0,49.0,183459.0,235661.60112755746,0.90,0
FL,apr,2019,2019-04-30,florida,14518,Naples,394901,"Naples, FL",msa,147,35.0,75.0,33.0,309585.0,438239.5567936992,0.90,0
CT,apr,2019,2019-04-30,connecticut,721,New Haven,394908,"New Haven, CT",msa,68,44.0,22.0,54.0,210517.0,157603.3182774913,0.90,0
NY,apr,2019,2019-04-30,new york,3752,New York,394913,"New York, NY",msa,1,50.0,51.0,56.0,389625.0,646531.0032061036,0.90,0
UT,apr,2019,2019-04-30,utah,2608,Ogden,394931,"Ogden, UT",msa,87,27.0,14.0,69.0,279427.0,205473.54791737327,0.90,0
WA,apr,2019,2019-04-30,washington,5077,Olympia,394937,"Olympia, WA",msa,172,32.0,7.0,82.0,312947.0,328286.05807257764,0.90,0
OR,apr,2019,2019-04-30,oregon,1820,Portland,394998,"Portland, OR",msa,25,31.0,13.0,68.0,383744.0,467127.0228001699,0.90,0
MN,apr,2019,2019-04-30,minnesota,2570,Rochester,395030,"Rochester, MN",msa,207,30.0,17.0,67.0,207290.0,221255.198496896,0.90,0
IL,apr,2019,2019-04-30,illinois,3378,Rockford,395033,"Rockford, IL",msa,153,35.0,27.0,62.0,122199.0,92673.40523958835,0.90,0
MI,apr,2019,2019-04-30,michigan,2035,Saginaw,395047,"Saginaw, MI",msa,233,30.0,31.0,53.0,102252.0,29302.535840675617,0.90,0
CA,apr,2019,2019-04-30,california,9045,San Diego,395056,"San Diego, CA",msa,17,29.0,24.0,59.0,565982.0,550184.8270626584,0.90,0
TX,apr,2019,2019-04-30,texas,15895,Waco,395197,"Waco, TX",msa,178,30.0,21.0,55.0,175348.0,107169.87563787098,0.90,0
IA,apr,2019,2019-04-30,iowa,1000,Waterloo,395210,"Waterloo, IA",msa,261,39.0,43.0,48.0,137331.0,67259.85743964749,0.90,0
FL,may,2019,2019-05-31,florida,12393,Cape Coral,394440,"Cape Coral, FL",msa,78,36.0,62.0,37.0,222843.0,285436.77093013056,0.71,0
TN,may,2019,2019-05-31,tennessee,4487,Chattanooga,394460,"Chattanooga, TN",msa,102,32.0,15.0,51.0,175012.0,165683.00475206596,0.71,0
WI,may,2019,2019-05-31,wisconsin,1642,Green Bay,394646,"Green Bay, WI",msa,157,10.0,51.0,46.0,174104.0,141415.1631214064,0.71,0
NC,may,2019,2019-05-31,north carolina,7763,Greenville,394651,"Greenville, NC",msa,259,37.0,14.0,52.0,141445.0,174830.65595728002,0.71,0
AL,may,2019,2019-05-31,alabama,1296,Huntsville,394698,"Huntsville, AL",msa,114,33.0,10.0,60.0,176790.0,197459.30858383817,0.71,0
IN,may,2019,2019-05-31,indiana,1838,Indianapolis,394705,"Indianapolis, IN",msa,34,33.0,8.0,53.0,171326.0,152127.5854255663,0.71,0
MO,may,2019,2019-05-31,missouri,1431,Joplin,394729,"Joplin, MO",msa,243,34.0,22.0,39.0,121694.0,,0.71,0
MI,may,2019,2019-05-31,michigan,2387,Monroe,394873,"Monroe, MI",msa,283,33.0,15.0,50.0,169871.0,138414.88118477713,0.71,0
SC,may,2019,2019-05-31,south carolina,3617,Myrtle Beach,394898,"Myrtle Beach, SC",msa,117,35.0,34.0,44.0,179192.0,221023.5969387008,0.71,0
FL,may,2019,2019-05-31,florida,12393,Naples,394901,"Naples, FL",msa,147,36.0,78.0,33.0,311764.0,435554.33973286377,0.71,0
CT,may,2019,2019-05-31,connecticut,341,Norwich,394924,"Norwich, CT",msa,185,45.0,24.0,50.0,227113.0,192182.40516510519,0.71,0
CA,may,2019,2019-05-31,california,9883,Salinas,395050,"Salinas, CA",msa,125,31.0,19.0,52.0,582575.0,426600.18498081836,0.71,0
CA,may,2019,2019-05-31,california,9883,Santa Rosa,395068,"Santa Rosa, CA",msa,112,27.0,13.0,62.0,603939.0,500896.7440535908,0.71,0
GA,may,2019,2019-05-31,georgia,4346,Savannah,395070,"Savannah, GA",msa,138,34.0,25.0,53.0,203919.0,139168.22650799723,0.71,0
TX,may,2019,2019-05-31,texas,19081,Tyler,395174,"Tyler, TX",msa,201,30.0,19.0,47.0,201648.0,205503.0995263022,0.71,1
TX,may,2019,2019-05-31,texas,19081,Waco,395197,"Waco, TX",msa,178,30.0,18.0,53.0,176835.0,108392.45164477007,0.71,1
PA,may,2019,2019-05-31,pennsylvania,1872,York,395244,"York, PA",msa,122,37.0,14.0,56.0,169907.0,172000.00843939895,0.71,0
TX,jul,2019,2019-07-31,texas,17515,College Station,394483,"College Station, TX",msa,189,24.0,46.0,41.0,227150.0,271160.2993676173,0.67,0
GA,jul,2019,2019-07-31,georgia,4151,Columbus,394488,"Columbus, GA",msa,158,35.0,30.0,39.0,144505.0,182172.22525448984,0.67,0
OH,jul,2019,2019-07-31,ohio,1839,Columbus,394492,"Columbus, OH",msa,32,34.0,6.0,58.0,188532.0,180488.29058795632,0.67,0
IA,jul,2019,2019-07-31,iowa,1042,Des Moines,394531,"Des Moines, IA",msa,84,37.0,22.0,51.0,183948.0,143775.19770943152,0.67,0
NC,jul,2019,2019-07-31,north carolina,5746,Durham,394549,"Durham, NC",msa,95,36.0,10.0,55.0,245049.0,282196.6948138842,0.67,0
NC,jul,2019,2019-07-31,north carolina,5746,Fayetteville,394589,"Fayetteville, NC",msa,109,37.0,17.0,55.0,152783.0,118385.23539422818,0.67,0
PA,jul,2019,2019-07-31,pennsylvania,2146,Gettysburg,394630,"Gettysburg, PA",msa,382,42.0,28.0,44.0,195004.0,255005.5954850594,0.67,0
NC,jul,2019,2019-07-31,north carolina,5746,Hickory,394679,"Hickory, NC",msa,150,38.0,15.0,51.0,155573.0,148976.4485677363,0.67,0
WA,jul,2019,2019-07-31,washington,4428,Longview,394804,"Longview, WA",msa,368,35.0,10.0,72.0,252540.0,249047.49239472393,0.67,0
PA,jul,2019,2019-07-31,pennsylvania,2146,Philadelphia,394974,"Philadelphia, PA",msa,7,42.0,19.0,53.0,223065.0,204297.58564574627,0.67,0
IL,jul,2019,2019-07-31,illinois,2095,Rockford,395033,"Rockford, IL",msa,153,38.0,13.0,45.0,121633.0,92719.95090660703,0.67,0
AL,jul,2019,2019-07-31,alabama,1556,Tuscaloosa,395171,"Tuscaloosa, AL",msa,188,33.0,30.0,43.0,171659.0,144527.8398367634,0.67,0
PA,jul,2019,2019-07-31,pennsylvania,2146,York,395244,"York, PA",msa,122,39.0,14.0,57.0,169419.0,174137.49577324287,0.67,0
OH,jul,2019,2019-07-31,ohio,1839,Youngstown,395245,"Youngstown, OH",msa,106,22.0,43.0,31.0,102422.0,26282.540403730825,0.67,0
FL,sep,2019,2019-09-30,florida,15067,Cape Coral,394440,"Cape Coral, FL",msa,78,36.0,60.0,41.0,225558.0,285159.6434263732,0.49,0
MI,sep,2019,2019-09-30,michigan,2202,Detroit,394532,"Detroit, MI",msa,14,34.0,20.0,43.0,173534.0,44944.36831400462,0.49,0
DE,sep,2019,2019-09-30,delaware,537,Dover,394539,"Dover, DE",msa,244,40.0,35.0,55.0,218617.0,233476.81873574984,0.49,0
CA,sep,2019,2019-09-30,california,9920,Fresno,394619,"Fresno, CA",msa,57,34.0,17.0,57.0,266587.0,239516.032126866,0.49,0
NC,sep,2019,2019-09-30,north carolina,5589,Greensboro,394648,"Greensboro, NC",msa,76,37.0,11.0,53.0,152958.0,176833.342149035,0.49,0
MO,sep,2019,2019-09-30,missouri,1339,Joplin,394729,"Joplin, MO",msa,243,33.0,28.0,37.0,123315.0,,0.49,0
MI,sep,2019,2019-09-30,michigan,2202,Kalamazoo,394732,"Kalamazoo, MI",msa,190,37.0,14.0,40.0,164318.0,114578.88445763552,0.49,0
CA,sep,2019,2019-09-30,california,9920,Los Angeles,753899,"Los Angeles, CA",msa,2,32.0,23.0,64.0,636557.0,700921.1637614421,0.49,0
NC,sep,2019,2019-09-30,north carolina,5589,New Bern,394905,"New Bern, NC",msa,341,38.0,23.0,42.0,158970.0,213533.00586235788,0.49,0
OK,sep,2019,2019-09-30,oklahoma,1010,Oklahoma City,394935,"Oklahoma City, OK",msa,42,32.0,21.0,53.0,163548.0,118496.10876903836,0.49,0
RI,sep,2019,2019-09-30,rhode island,137,Providence,395005,"Providence, RI",msa,39,40.0,28.0,56.0,282151.0,214415.57630669326,0.49,0
CA,sep,2019,2019-09-30,california,9920,San Diego,395056,"San Diego, CA",msa,17,30.0,24.0,57.0,568576.0,552954.4729338441,0.49,0
WA,sep,2019,2019-09-30,washington,4121,Seattle,395078,"Seattle, WA",msa,15,31.0,12.0,56.0,451908.0,696436.5320272812,0.49,0
IA,sep,2019,2019-09-30,iowa,1037,Waterloo,395210,"Waterloo, IA",msa,261,39.0,31.0,27.0,143382.0,69971.22137007776,0.49,0
IA,oct,2019,2019-10-31,iowa,1699,Des Moines,394531,"Des Moines, IA",msa,84,37.0,32.0,47.0,188369.0,144580.91913264256,0.51,0
PA,oct,2019,2019-10-31,pennsylvania,1903,Gettysburg,394630,"Gettysburg, PA",msa,382,43.0,38.0,44.0,200685.0,256611.62274923013,0.51,0
NY,oct,2019,2019-10-31,new york,3976,Jamestown,394719,"Jamestown, NY",msa,328,49.0,64.0,18.0,113097.0,114261.30215928859,0.51,0
MI,oct,2019,2019-10-31,michigan,2298,Kalamazoo,394732,"Kalamazoo, MI",msa,190,37.0,19.0,35.0,164887.0,115529.18233094046,0.51,0
FL,oct,2019,2019-10-31,florida,15381,Orlando,394943,"Orlando, FL",msa,22,30.0,27.0,51.0,242875.0,237098.50297926285,0.51,0
CA,oct,2019,2019-10-31,california,10176,Oxnard,394952,"Oxnard, CA",msa,71,33.0,24.0,59.0,598061.0,474068.63207870105,0.51,0
FL,oct,2019,2019-10-31,florida,15381,Pensacola,394971,"Pensacola, FL",msa,111,36.0,27.0,50.0,192220.0,142767.33131208527,0.51,0
WA,oct,2019,2019-10-31,washington,3768,Port Angeles,394994,"Port Angeles, WA",msa,463,39.0,19.0,48.0,290190.0,253404.95187522462,0.51,0
NC,oct,2019,2019-10-31,north carolina,6325,Raleigh,395012,"Raleigh, NC",msa,43,36.0,13.0,56.0,264367.0,341861.66745854996,0.51,0
MI,oct,2019,2019-10-31,michigan,2298,Saginaw,395047,"Saginaw, MI",msa,233,34.0,25.0,41.0,103266.0,31286.57814338585,0.51,0
TX,oct,2019,2019-10-31,texas,19861,San Antonio,395055,"San Antonio, TX",msa,24,21.0,42.0,52.0,221478.0,197298.26705732328,0.51,0
FL,oct,2019,2019-10-31,florida,15381,Sebastian,395079,"Sebastian, FL",msa,274,28.0,66.0,36.0,226533.0,243339.24710591006,0.51,0
OK,oct,2019,2019-10-31,oklahoma,1072,Tulsa,395169,"Tulsa, OK",msa,56,31.0,31.0,51.0,157986.0,144803.33101759295,0.51,0
KS,oct,2019,2019-10-31,kansas,893,Wichita,395224,"Wichita, KS",msa,94,33.0,19.0,37.0,158793.0,88254.1225621973,0.51,0
PA,dec,2019,2019-12-31,pennsylvania,2214,Allentown,394318,"Allentown, PA",msa,70,40.0,63.0,48.0,188023.0,139115.72421737533,0.53,0
MD,dec,2019,2019-12-31,maryland,1557,Baltimore,394358,"Baltimore, MD",msa,20,37.0,35.0,58.0,271955.0,142721.30822753,0.53,0
